run,seed,gen,evals,best_so_far,pop_best,pop_mean,pop_median,sigma_med
0,1000,0,100,100.628,100.628,293.485,304.432,0.01
0,1000,5,590,13.0581,13.0581,56.029,48.7074,0.0110344
0,1000,10,1080,3.06256,3.06256,7.74746,7.09791,0.0109305
0,1000,15,1570,1.43541,1.43541,2.51784,2.33464,0.0106721
0,1000,20,2060,0.848177,0.848177,1.47577,1.4536,0.0136787
0,1000,25,2550,0.848177,0.848177,1.23361,1.20022,0.0109201
0,1000,30,3040,0.528557,0.528557,1.10187,1.08803,0.00750836
0,1000,35,3530,0.528557,0.528557,1.06411,1.05679,0.00672299
0,1000,40,4020,0.528557,0.528557,1.04095,1.04218,0.0051264
0,1000,45,4510,0.528557,0.528557,1.03036,1.03505,0.00480134
0,1000,50,5000,0.528557,0.528557,1.03668,1.03932,0.00332178
0,1000,55,5490,0.435382,0.435382,1.01868,1.0248,0.00283822
0,1000,60,5980,0.435382,0.435382,1.02755,1.02863,0.0033462
0,1000,65,6470,0.435382,0.435382,1.02911,1.03397,0.00449808
0,1000,70,6960,0.334876,0.334876,1.03718,1.04077,0.00399898
0,1000,75,7450,0.334876,0.334876,1.02603,1.03463,0.0027383
0,1000,80,7940,0.334876,0.334876,1.02465,1.03307,0.00256667
0,1000,85,8430,0.334876,0.334876,1.01397,1.03997,0.0026418
0,1000,90,8920,0.334876,0.334876,1.01901,1.04021,0.00300512
0,1000,95,9410,0.334876,0.334876,1.02467,1.04451,0.00308461
0,1000,100,9900,0.281855,0.281855,0.932301,1.02253,0.00248277
0,1000,105,10390,0.159034,0.159034,0.621676,0.54944,0.00159684
0,1000,110,10880,0.0906044,0.0906044,0.383189,0.264847,0.000944852
0,1000,115,11370,0.0717149,0.0717149,0.235603,0.184527,0.000813265
0,1000,120,11860,0.0672607,0.0672607,0.241682,0.13029,0.000701964
0,1000,125,12350,0.0581911,0.0581911,0.152729,0.0969621,0.00049672
0,1000,130,12840,0.0576523,0.0576523,0.107962,0.0834164,0.000436391
0,1000,135,13330,0.0553543,0.0553543,0.0970854,0.0732471,0.000405728
0,1000,140,13820,0.0553543,0.0553543,0.10515,0.0767426,0.000346092
0,1000,145,14310,0.0544853,0.0544853,0.0757648,0.0630764,0.00028045
0,1000,150,14800,0.0543466,0.0543466,0.0707665,0.0599101,0.000200567
0,1000,155,15290,0.0543466,0.0543466,0.0666104,0.0582463,0.000207046
0,1000,160,15780,0.0543067,0.0543067,0.0726815,0.0574793,0.0002527
0,1000,165,16270,0.0542171,0.0542171,0.065942,0.0581639,0.000185682
0,1000,170,16760,0.0542171,0.0542171,0.0630745,0.0566171,0.000132622
0,1000,175,17250,0.0541751,0.0541751,0.0576596,0.0550012,0.000102372
0,1000,180,17740,0.0541744,0.0541744,0.0560343,0.0546826,7.69261e-05
0,1000,185,18230,0.0541526,0.0541526,0.0552441,0.0545848,6.54453e-05
0,1000,190,18720,0.054136,0.054136,0.0548276,0.0543707,5.16812e-05
0,1000,195,19210,0.0541274,0.0541274,0.0549236,0.0542557,4.23839e-05
0,1000,200,19700,0.0541255,0.0541255,0.0545354,0.0542724,3.95891e-05
0,1000,205,20190,0.0541255,0.0541255,0.0545105,0.0542492,3.06518e-05
0,1000,210,20680,0.0541242,0.0541242,0.0543689,0.0541801,2.32368e-05
0,1000,215,21170,0.0541214,0.0541214,0.0543939,0.054174,2.64074e-05
0,1000,220,21660,0.0541214,0.0541214,0.0544451,0.0541766,2.51687e-05
0,1000,225,22150,0.0541209,0.0541209,0.0545579,0.0541648,2.66623e-05
0,1000,230,22640,0.0541206,0.0541206,0.054516,0.0542093,3.29957e-05
0,1000,235,23130,0.0541206,0.0541206,0.0543224,0.0541548,2.37341e-05
0,1000,240,23620,0.05412,0.05412,0.0542198,0.0541514,1.98448e-05
0,1000,245,24110,0.0541198,0.0541198,0.0542042,0.0541428,1.83039e-05
0,1000,250,24600,0.0541192,0.0541192,0.0541477,0.0541308,1.01823e-05
0,1000,255,25090,0.0541188,0.0541188,0.0541398,0.0541286,7.45957e-06
0,1000,260,25580,0.0541186,0.0541186,0.0541411,0.0541225,9.74536e-06
0,1000,265,26070,0.0541183,0.0541183,0.0541354,0.0541229,9.50797e-06
0,1000,270,26560,0.0541183,0.0541183,0.0541524,0.0541255,1.00659e-05
0,1000,275,27050,0.0541182,0.0541182,0.0541578,0.0541253,9.176e-06
0,1000,280,27540,0.0541182,0.0541182,0.0541382,0.0541248,8.05962e-06
0,1000,285,28030,0.0541182,0.0541182,0.0541448,0.0541228,1.04035e-05
0,1000,290,28520,0.0541181,0.0541181,0.0541444,0.0541213,9.03343e-06
0,1000,295,29010,0.0541181,0.0541181,0.0541394,0.054123,9.67067e-06
0,1000,300,29500,0.0541181,0.0541181,0.0541433,0.0541222,9.44109e-06
0,1000,305,29990,0.0541181,0.0541181,0.0542216,0.0541314,1.21274e-05
0,1000,310,30480,0.0541181,0.0541181,0.0541528,0.0541262,1.28019e-05
0,1000,315,30970,0.0541181,0.0541181,0.0541697,0.0541242,1.34064e-05
0,1000,320,31460,0.0541181,0.0541181,0.0541653,0.0541315,1.34942e-05
0,1000,325,31950,0.0541181,0.0541181,0.0541669,0.0541366,1.56033e-05
0,1000,330,32440,0.0541181,0.0541181,0.0542352,0.0541396,2.05779e-05
0,1000,335,32930,0.0541181,0.0541181,0.0542165,0.0541512,2.00106e-05
0,1000,340,33420,0.0541181,0.0541181,0.0542107,0.0541411,1.87175e-05
0,1000,345,33910,0.0541181,0.0541181,0.0542722,0.0541376,2.31884e-05
0,1000,350,34400,0.0541181,0.0541181,0.0542807,0.0541417,2.08858e-05
0,1000,355,34890,0.0541181,0.0541181,0.0542297,0.0541332,1.53236e-05
0,1000,360,35380,0.0541181,0.0541181,0.0541613,0.0541256,1.50789e-05
0,1000,365,35870,0.0541181,0.0541181,0.0542035,0.0541313,1.61225e-05
0,1000,370,36360,0.0541181,0.0541181,0.0541826,0.0541389,1.62365e-05
0,1000,375,36850,0.0541181,0.0541181,0.0541752,0.0541399,1.56496e-05
0,1000,380,37340,0.0541181,0.0541181,0.0543181,0.0541472,2.24357e-05
0,1000,385,37830,0.0541181,0.0541181,0.0543149,0.0541517,2.45931e-05
0,1000,390,38320,0.0541181,0.0541181,0.0542371,0.0541531,2.01215e-05
0,1000,395,38810,0.0541181,0.0541181,0.054231,0.0541677,2.10495e-05
0,1000,400,39300,0.0541181,0.0541181,0.0542695,0.0541562,2.20731e-05
0,1000,405,39790,0.0541181,0.0541181,0.0541744,0.0541385,1.34205e-05
0,1000,410,40280,0.0541181,0.0541181,0.0542871,0.0541495,1.993e-05
0,1000,415,40770,0.0541181,0.0541181,0.0543272,0.0541483,2.23331e-05
0,1000,420,41260,0.0541181,0.0541181,0.0543138,0.0541517,1.81635e-05
0,1000,425,41750,0.0541181,0.0541181,0.0542273,0.0541618,2.17557e-05
0,1000,430,42240,0.0541181,0.0541181,0.0542031,0.0541404,1.89364e-05
0,1000,435,42730,0.0541181,0.0541181,0.0542114,0.054141,1.64373e-05
0,1000,440,43220,0.0541181,0.0541181,0.0542063,0.0541392,1.66348e-05
0,1000,445,43710,0.0541181,0.0541181,0.0541614,0.0541273,1.06759e-05
0,1000,450,44200,0.0541181,0.0541181,0.0542046,0.05413,1.53528e-05
0,1000,455,44690,0.0541181,0.0541181,0.0542089,0.0541368,1.42303e-05
0,1000,460,45180,0.0541181,0.0541181,0.054143,0.0541295,9.15139e-06
0,1000,465,45670,0.0541181,0.0541181,0.0541711,0.05413,1.24322e-05
0,1000,470,46160,0.0541181,0.0541181,0.054192,0.0541307,1.61432e-05
0,1000,475,46650,0.0541181,0.0541181,0.0542376,0.0541327,1.83163e-05
0,1000,480,47140,0.0541181,0.0541181,0.0542303,0.054137,1.75387e-05
0,1000,485,47630,0.0541181,0.0541181,0.0542414,0.0541479,1.54937e-05
0,1000,490,48120,0.0541181,0.0541181,0.0541757,0.0541343,1.15016e-05
0,1000,495,48610,0.0541181,0.0541181,0.0541579,0.0541307,8.23491e-06
0,1000,500,49100,0.0541181,0.0541181,0.0543465,0.0541239,7.93536e-06
0,1000,505,49590,0.0541181,0.0541181,0.0541624,0.054123,1.15814e-05
0,1000,510,50000,0.0541181,0.0541181,0.0541542,0.0541223,1.43673e-05
1,1001,0,100,108.37,108.37,295.742,290.623,0.01
1,1001,5,590,14.0436,14.0436,61.8922,56.6609,0.00820001
1,1001,10,1080,3.22221,3.22221,11.293,10.1003,0.00904921
1,1001,15,1570,1.46944,1.46944,3.09888,2.85256,0.00920858
1,1001,20,2060,1.14209,1.14209,1.43498,1.41538,0.00776068
1,1001,25,2550,0.944847,0.944847,1.13094,1.12083,0.00652806
1,1001,30,3040,0.835583,0.835583,1.06496,1.05827,0.00578061
1,1001,35,3530,0.722464,0.722464,1.054,1.04787,0.00405332
1,1001,40,4020,0.722464,0.722464,1.03723,1.03288,0.00286048
1,1001,45,4510,0.484009,0.484009,1.03541,1.03041,0.00414966
1,1001,50,5000,0.290843,0.290843,0.995089,1.01634,0.0031979
1,1001,55,5490,0.290843,0.290843,1.00632,1.02747,0.00282958
1,1001,60,5980,0.290843,0.290843,1.00707,1.01971,0.00207063
1,1001,65,6470,0.290843,0.290843,0.985149,1.0142,0.00134318
1,1001,70,6960,0.290843,0.290843,0.980561,1.01193,0.00144249
1,1001,75,7450,0.290843,0.290843,0.991027,1.01245,0.00143073
1,1001,80,7940,0.284575,0.284575,0.960145,1.01736,0.00164265
1,1001,85,8430,0.226532,0.226532,0.800016,0.866694,0.00140414
1,1001,90,8920,0.0880177,0.0880177,0.44226,0.362523,0.000993223
1,1001,95,9410,0.0505059,0.0505059,0.314122,0.212655,0.000791999
1,1001,100,9900,0.0310149,0.0310149,0.114987,0.0812694,0.000476007
1,1001,105,10390,0.0266866,0.0266866,0.0793612,0.0439109,0.00030234
1,1001,110,10880,0.0254719,0.0254719,0.0401968,0.0321635,0.000178401
1,1001,115,11370,0.0250193,0.0250193,0.0317106,0.0275535,0.000138478
1,1001,120,11860,0.0248377,0.0248377,0.028465,0.0264568,0.00011704
1,1001,125,12350,0.0247422,0.0247422,0.0284356,0.0265372,0.000100321
1,1001,130,12840,0.0246657,0.0246657,0.0269441,0.0253271,8.6186e-05
1,1001,135,13330,0.0246546,0.0246546,0.0266477,0.0253075,6.81215e-05
1,1001,140,13820,0.0246286,0.0246286,0.025732,0.0249898,5.49582e-05
1,1001,145,14310,0.0246286,0.0246286,0.0254657,0.0248319,5.05702e-05
1,1001,150,14800,0.0246221,0.0246221,0.0250768,0.0247571,3.61392e-05
1,1001,155,15290,0.0246155,0.0246155,0.0249939,0.0247419,3.34911e-05
1,1001,160,15780,0.0246105,0.0246105,0.0249896,0.0247285,2.7541e-05
