run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,0.113196,50000,510,0.0425123,1,9.42007;4.43844;-5.43325;-6.27064;-7.00729;7.67228;8.28287;-1.49504e-07;5.02007e-08;9.88515
1,1001,0.147511,50000,510,0.0435754,1,-3.14002;-4.43844;1.71121e-07;6.27064;1.55722e-07;-7.67227;16.5657;-5.35939e-08;-9.38254;9.88514
2,1002,0.00739604,50000,510,0.041814,1,3.14002;4.43844;2.55578e-07;7.03142e-08;-1.15392e-07;-2.67585e-07;2.49624e-08;4.15155e-08;1.24287e-07;8.44085e-08
3,1003,0.00739604,50000,510,0.0417995,1,-3.14002;-4.43844;-8.07181e-08;-2.55812e-07;-3.38559e-09;-2.75326e-07;4.28107e-07;2.99058e-08;2.4301e-08;5.64677e-08
4,1004,0.0836261,50000,510,0.0424257,1,6.26703e-08;-1.90197e-07;-5.43325;-6.27064;7.00729;-7.67228;-8.28288;1.48882e-07;9.38255;-1.77374e-07
5,1005,1.92069e-14,50000,510,0.0421953,1,4.46198e-09;-8.25866e-08;-1.22219e-07;1.62788e-08;8.35669e-08;-7.49889e-08;-4.1016e-07;7.83336e-09;-1.89964e-07;-1.29718e-08
6,1006,2.16493e-14,50000,510,0.0426852,1,4.15333e-08;9.67106e-08;2.13628e-07;-8.76589e-08;3.61858e-08;7.72064e-08;-1.03315e-07;2.84647e-07;-2.44349e-07;-9.00855e-09
7,1007,0.0320134,50000,510,0.0426863,1,3.14002;3.35988e-08;5.43325;-6.27064;7.0073;-2.25467e-08;2.35117e-08;6.04588e-08;-4.90367e-08;6.42025e-08
8,1008,5.4956e-14,50000,510,0.0417969,1,-1.01636e-07;-5.05482e-08;-3.61245e-07;-1.76861e-07;-3.10032e-07;-2.76334e-07;2.18215e-07;-1.28779e-07;1.44158e-07;-1.80408e-07
9,1009,0.0123161,50000,510,0.0415248,1,-3.14002;1.45907e-07;-6.17648e-08;-6.27064;-1.12011e-07;-3.70337e-07;-2.68383e-07;-2.91153e-07;9.73172e-08;-1.21878e-07
10,1010,7.43849e-15,50000,510,0.0417979,1,-1.18845e-08;2.0921e-08;-3.48788e-08;6.61407e-09;-3.90879e-08;1.59798e-07;5.19782e-08;1.44346e-07;-2.16798e-07;1.01691e-07
11,1011,0.00739604,50000,510,0.0424648,1,-3.14002;4.43844;-6.69571e-08;2.6155e-07;-1.16908e-08;2.18917e-07;-1.44904e-07;4.15014e-07;3.95855e-07;-3.8571e-07
12,1012,0.017241,50000,510,0.041567,1,3.9624e-08;8.36579e-08;5.43325;6.27064;-4.8867e-07;7.78193e-08;-4.52459e-07;-3.83447e-07;-2.80195e-07;2.77304e-08
13,1013,0.0320061,50000,510,0.04176,1,3.14002;-4.43844;-1.42109e-07;6.27064;2.59309e-08;-7.67228;-9.65268e-08;3.67179e-07;4.74917e-07;1.70595e-07
14,1014,0.00985728,50000,510,0.0421296,1,3.14002;-1.62019e-07;-5.43325;2.26484e-08;-1.54652e-07;-1.1893e-08;-2.41566e-07;-1.5584e-07;8.10189e-08;-2.27753e-08
15,1015,2.44249e-14,50000,510,0.041908,1,-5.11288e-08;2.52248e-09;2.40477e-08;2.44291e-07;1.73727e-07;9.04065e-08;1.57458e-07;3.83861e-07;5.07266e-08;-1.27588e-07
16,1016,0.00739604,50000,510,0.0423695,1,3.14002;4.43844;3.36682e-08;-1.9913e-07;2.91148e-07;-5.15763e-08;1.04188e-07;-4.10626e-07;-2.60995e-07;1.79578e-07
17,1017,0.0172263,50000,510,0.0436556,1,-3.14002;-2.11073e-07;-9.91474e-08;-1.05221e-07;-3.62334e-08;7.67228;-1.50216e-07;4.15024e-08;-3.32193e-07;1.11791e-07
18,1018,5.44009e-14,50000,510,0.0434222,1,2.11286e-07;-1.01417e-07;-1.84326e-08;2.86853e-07;-3.23801e-08;7.71585e-08;1.28017e-07;3.4445e-07;-3.37318e-07;2.59135e-07
19,1019,0.012321,50000,510,0.0419605,1,-7.6011e-08;4.43844;-5.43325;7.53513e-08;-1.9149e-07;5.71401e-09;-2.03701e-07;1.06644e-08;5.28584e-08;1.93676e-07
