run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,0.0541181,50000,510,0.0459671,1,4.4304e-05;0.000156062;-5.43323;1.74772e-05;7.00711;7.67215;2.26434e-05;8.84998;-0.000211998;5.30287e-05
1,1001,0.0246027,50000,510,0.0419812,1,-6.20832e-09;-3.73768e-08;-5.43325;-4.0872e-08;-4.15865e-08;4.78484e-08;-8.28288;-8.03108e-08;-4.82688e-08;-2.11298e-08
2,1002,0.0344134,50000,510,0.0419671,1,3.81492e-08;1.51924e-07;-5.22397e-07;-1.2032e-07;7.0073;-1.04576e-06;2.42798e-06;1.96495e-07;-9.38256;-2.97718e-07
3,1003,0.0345018,50000,510,0.0417,1,-9.42007;-3.07381e-08;-3.58693e-08;-3.9054e-08;7.0073;-4.25001e-08;4.5361e-10;-4.96494e-08;3.84489e-09;-2.75493e-08
4,1004,3.21965e-14,50000,510,0.0416422,1,8.73523e-08;-5.96947e-09;1.13133e-07;-1.38988e-07;2.24797e-07;-1.52302e-07;6.36414e-08;2.1461e-07;-2.95416e-07;-4.18263e-07
5,1005,0.0295866,50000,510,0.0416691,1,-9.42007;-8.11497e-09;5.43325;-9.42407e-09;-1.34924e-08;-2.02616e-08;1.54092e-08;-3.63456e-08;-4.96323e-09;6.72151e-08
6,1006,0.0640392,50000,510,0.0419591,1,6.28004;6.24246e-08;-10.8665;6.27064;-6.75959e-08;7.67228;-8.629e-08;-9.31479e-08;-2.45462e-08;7.2223e-08
7,1007,0.0123161,50000,510,0.0413814,1,3.14002;2.09695e-09;5.32248e-09;6.27064;2.18124e-08;-1.30068e-08;9.91781e-09;1.98029e-08;4.48115e-08;5.45498e-08
8,1008,0.031957,50000,510,0.0417879,1,7.48992e-09;5.12599e-08;2.17462e-08;-6.27064;5.95151e-09;-2.52019e-08;1.29385e-08;8.93559e-08;9.38255;7.99736e-08
9,1009,0.0590651,50000,510,0.042136,1,6.28004;-4.43844;2.77447e-07;-6.27064;-5.86984e-08;-7.67228;-2.67254e-07;8.85036;-9.50978e-08;2.14739e-07
10,1010,0.00739604,50000,510,0.0424042,1,3.14002;-4.43844;-2.06187e-08;3.12998e-08;-1.92088e-08;-6.54134e-08;-2.13898e-08;4.59537e-08;3.39298e-08;1.53766e-08
11,1011,2.55351e-15,50000,510,0.0424477,1,-6.10419e-09;5.56871e-08;1.92132e-08;-4.92017e-08;-5.99592e-08;1.12196e-08;-3.32534e-08;-3.52336e-08;6.71808e-08;1.06048e-07
12,1012,0.0221267,50000,510,0.0427008,1,-3.14002;3.82212e-08;-7.49083e-10;-3.63218e-09;8.39476e-08;4.41435e-08;-4.21402e-08;8.85036;7.4916e-08;1.64401e-08
13,1013,0.0245904,50000,510,0.0432685,1,-1.5741e-08;-4.43844;-1.22545e-08;6.7572e-09;2.20633e-08;4.60955e-08;1.80837e-08;-8.85036;-1.53921e-08;2.78777e-08
14,1014,0.0295522,50000,510,0.042185,1,-3.14002;4.43844;-1.11176e-07;-6.27064;-7.0073;4.38643e-07;2.39954e-07;-3.04289e-07;3.84878e-07;-4.08274e-07
15,1015,0.0245733,50000,510,0.0427288,1,-3.14002;-7.6717e-09;-2.3762e-08;-2.08522e-08;2.2311e-09;-1.83511e-08;7.99674e-08;1.66324e-09;9.38256;6.56978e-08
16,1016,0.0221857,50000,510,0.0421207,1,6.28005;-4.43844;-5.43325;1.37858e-08;-3.28772e-07;2.86055e-07;-9.21813e-07;7.16254e-08;9.89084e-07;1.28319e-06
17,1017,4.58522e-14,50000,510,0.0421046,1,-6.40013e-08;5.57123e-08;-1.69658e-07;2.36638e-07;2.82379e-07;2.63941e-07;3.6182e-07;2.23263e-07;2.93728e-08;3.13794e-07
18,1018,9.13825e-13,50000,510,0.042036,1,-2.4899e-08;-5.42466e-07;1.92751e-07;-1.6254e-06;-1.15674e-06;-1.05849e-06;1.52684e-06;-1.01757e-06;4.63384e-07;7.83082e-07
19,1019,0.00986467,50000,510,0.0426997,1,6.28005;-1.43463e-08;2.90146e-08;6.85226e-07;-3.42369e-07;1.61563e-08;7.86143e-07;7.38103e-07;-9.14118e-08;-8.55288e-07
