run,seed,gen,evals,best_so_far,pop_best,pop_mean,pop_median,sigma_med
0,1000,0,100,100.628,100.628,293.485,304.432,0.01
0,1000,5,590,14.9559,14.9559,62.5962,61.9671,0.01
0,1000,10,1080,5.05392,5.05392,13.6783,12.638,0.01
0,1000,15,1570,1.71444,1.71444,3.57431,3.45586,0.01
0,1000,20,2060,1.15919,1.15919,1.64519,1.60347,0.01
0,1000,25,2550,0.909435,0.909435,1.23377,1.18839,0.01
0,1000,30,3040,0.909435,0.909435,1.1723,1.13693,0.01
0,1000,35,3530,0.909435,0.909435,1.13501,1.12576,0.01
0,1000,40,4020,0.909435,0.909435,1.09686,1.06571,0.01
0,1000,45,4510,0.887617,0.887617,1.08224,1.06627,0.01
0,1000,50,5000,0.818604,0.818604,1.0838,1.07027,0.01
0,1000,55,5490,0.780263,0.780263,1.07221,1.0619,0.01
0,1000,60,5980,0.590469,0.590469,1.08495,1.06665,0.01
0,1000,65,6470,0.492044,0.492044,1.0457,1.04505,0.01
0,1000,70,6960,0.492044,0.492044,1.05664,1.04365,0.01
0,1000,75,7450,0.480961,0.480961,1.06623,1.04769,0.01
0,1000,80,7940,0.369254,0.369254,1.05788,1.04808,0.01
0,1000,85,8430,0.369254,0.369254,1.08192,1.06399,0.01
0,1000,90,8920,0.369254,0.369254,1.08831,1.06764,0.01
0,1000,95,9410,0.369254,0.369254,1.05263,1.05764,0.01
0,1000,100,9900,0.324117,0.324117,1.05538,1.05923,0.01
0,1000,105,10390,0.324117,0.324117,1.07302,1.07509,0.01
0,1000,110,10880,0.31113,0.31113,1.05478,1.05686,0.01
0,1000,115,11370,0.31113,0.31113,1.07936,1.07066,0.01
0,1000,120,11860,0.31113,0.31113,1.07171,1.06682,0.01
0,1000,125,12350,0.31113,0.31113,1.11557,1.0829,0.01
0,1000,130,12840,0.310982,0.310982,1.10063,1.08269,0.01
0,1000,135,13330,0.310982,0.310982,1.07603,1.08409,0.01
0,1000,140,13820,0.310982,0.310982,1.08058,1.08659,0.01
0,1000,145,14310,0.310982,0.310982,1.09506,1.09935,0.01
0,1000,150,14800,0.310982,0.310982,1.06104,1.0707,0.01
0,1000,155,15290,0.310982,0.310982,1.08511,1.07816,0.01
0,1000,160,15780,0.310982,0.310982,1.09529,1.08081,0.01
0,1000,165,16270,0.310982,0.310982,1.06886,1.07323,0.01
0,1000,170,16760,0.261131,0.261131,1.05543,1.06058,0.01
0,1000,175,17250,0.261131,0.261131,1.09788,1.07441,0.01
0,1000,180,17740,0.261131,0.261131,1.09459,1.07673,0.01
0,1000,185,18230,0.261131,0.261131,1.08484,1.07898,0.01
0,1000,190,18720,0.247629,0.247629,1.06233,1.06174,0.01
0,1000,195,19210,0.247629,0.247629,1.08842,1.07491,0.01
0,1000,200,19700,0.247629,0.247629,1.06541,1.06878,0.01
0,1000,205,20190,0.247629,0.247629,1.06771,1.0586,0.01
0,1000,210,20680,0.247629,0.247629,1.09515,1.07953,0.01
0,1000,215,21170,0.247629,0.247629,1.08729,1.07661,0.01
0,1000,220,21660,0.247629,0.247629,1.08172,1.0884,0.01
0,1000,225,22150,0.247629,0.247629,1.09534,1.10371,0.01
0,1000,230,22640,0.247629,0.247629,1.09622,1.08671,0.01
0,1000,235,23130,0.247629,0.247629,1.07047,1.0761,0.01
0,1000,240,23620,0.247629,0.247629,1.08766,1.08518,0.01
0,1000,245,24110,0.247629,0.247629,1.11007,1.09382,0.01
0,1000,250,24600,0.247629,0.247629,1.06225,1.05246,0.01
0,1000,255,25090,0.247629,0.247629,1.0725,1.06871,0.01
0,1000,260,25580,0.247629,0.247629,1.07324,1.07114,0.01
0,1000,265,26070,0.247629,0.247629,1.04507,1.05877,0.01
0,1000,270,26560,0.247629,0.247629,1.08251,1.08615,0.01
0,1000,275,27050,0.247629,0.247629,1.09519,1.08212,0.01
0,1000,280,27540,0.247629,0.247629,1.09933,1.06941,0.01
0,1000,285,28030,0.247629,0.247629,1.08883,1.07069,0.01
0,1000,290,28520,0.247629,0.247629,1.06772,1.06868,0.01
0,1000,295,29010,0.210883,0.210883,1.07333,1.07721,0.01
0,1000,300,29500,0.210883,0.210883,1.11563,1.10598,0.01
0,1000,305,29990,0.210883,0.210883,1.07372,1.079,0.01
0,1000,310,30480,0.210883,0.210883,1.0801,1.07979,0.01
0,1000,315,30970,0.210883,0.210883,1.07118,1.067,0.01
0,1000,320,31460,0.210883,0.210883,1.11591,1.09557,0.01
0,1000,325,31950,0.210883,0.210883,1.07339,1.08554,0.01
0,1000,330,32440,0.210883,0.210883,1.09098,1.07938,0.01
0,1000,335,32930,0.210883,0.210883,1.0342,1.04959,0.01
0,1000,340,33420,0.210883,0.210883,1.06258,1.0655,0.01
0,1000,345,33910,0.210883,0.210883,1.09198,1.10458,0.01
0,1000,350,34400,0.210883,0.210883,1.07936,1.08335,0.01
0,1000,355,34890,0.210883,0.210883,1.08562,1.08126,0.01
0,1000,360,35380,0.210862,0.210862,1.10561,1.08057,0.01
0,1000,365,35870,0.210862,0.210862,1.07174,1.08427,0.01
0,1000,370,36360,0.210862,0.210862,1.05533,1.05362,0.01
0,1000,375,36850,0.210862,0.210862,1.08319,1.07184,0.01
0,1000,380,37340,0.197744,0.197744,1.08885,1.09072,0.01
0,1000,385,37830,0.197744,0.197744,1.09648,1.06842,0.01
0,1000,390,38320,0.197744,0.197744,1.0717,1.07471,0.01
0,1000,395,38810,0.197744,0.197744,1.07015,1.05861,0.01
0,1000,400,39300,0.197744,0.197744,1.09031,1.08585,0.01
0,1000,405,39790,0.197744,0.197744,1.08134,1.07525,0.01
0,1000,410,40280,0.197744,0.197744,1.08633,1.07477,0.01
0,1000,415,40770,0.197744,0.197744,1.04325,1.05825,0.01
0,1000,420,41260,0.197744,0.197744,1.07763,1.05861,0.01
