run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,0.19586,50000,510,0.0415778,1,0.0418352;-8.88354;0.105799;-12.8372;-0.316427;-0.796163;0.581475;0.0537683;-0.0309741;-0.931563
1,1001,0.259037,50000,510,0.0424645,1,-3.40891;-13.0898;-0.16152;-0.122563;6.93397;-7.89591;16.3318;-0.0792727;9.05909;10.0789
2,1002,0.135033,50000,510,0.0436116,1,-6.26198;-4.27087;0.0382469;0.246771;0.356622;-0.126557;-0.848545;0.242237;0.165262;-9.36072
3,1003,0.146889,50000,510,0.0436336,1,-0.184579;4.36868;-11.2702;-6.29722;0.0371017;7.9232;-0.488986;-8.8419;0.177329;0.0400625
4,1004,0.0656423,50000,510,0.043763,1,-0.152069;-0.0746518;5.27014;0.215917;-0.241443;7.90824;-0.350053;0.00699582;0.149767;0.105242
5,1005,0.268037,50000,510,0.0436225,1,0.17247;-0.339811;-0.19943;-12.6082;0.287269;-1.01095;0.308186;9.13698;-0.871751;10.0022
6,1006,0.183706,50000,510,0.0437568,1,3.30082;-13.4971;5.65889;-5.81422;0.0114689;-7.97025;-0.140153;0.216669;-8.87239;0.277618
7,1007,0.220995,50000,510,0.0436947,1,9.66868;-0.0168452;-0.304927;-5.57075;-0.629153;-0.0771803;0.873192;-0.108155;0.198583;-0.109937
8,1008,0.117674,50000,510,0.0437351,1,2.93815;-4.73454;5.29797;-6.18643;-7.04947;-0.147797;-0.16746;-0.327334;-0.00308314;9.7815
9,1009,0.175291,50000,510,0.043803,1,6.01509;0.0287917;0.161717;5.95496;-14.2897;7.60053;-0.0141161;-0.0179109;0.772979;-0.17928
10,1010,0.0946767,50000,510,0.042586,1,-3.15472;4.37161;10.8516;0.332182;-7.04108;0.0800207;0.221284;-0.13193;9.16319;0.101206
11,1011,0.210316,50000,510,0.04304,1,9.44238;0.128972;-0.11605;0.0347132;-14.0659;7.33968;-0.030145;-0.982203;0.970275;-0.134992
12,1012,0.190461,50000,510,0.041447,1,3.04072;-0.22084;5.49846;-0.320594;7.04838;-7.87862;-0.0306789;8.49352;-0.822062;-10.71
13,1013,0.186322,50000,510,0.0429042,1,3.3923;-4.53046;0.0178297;-12.9179;6.68866;-0.335272;0.0327996;0.747947;-0.110553;9.87121
14,1014,0.136281,50000,510,0.0438574,1,-3.35289;-4.45113;-0.585293;6.36202;-0.360089;-0.0857258;-0.0518627;-0.15764;0.0822047;10.0322
15,1015,0.142945,50000,510,0.0434487,1,3.20651;8.9709;-5.78286;-6.38459;-0.127251;-0.271409;-0.692944;0.0338147;-0.0349473;-9.37851
16,1016,0.122773,50000,510,0.0417983,1,-0.0462898;-0.0662029;5.66917;-6.34258;-7.00478;7.8247;0.39502;-9.01176;0.249264;-10.1786
17,1017,0.143188,50000,510,0.041566,1,-3.17498;-4.51222;-0.277429;-6.30395;6.92649;-0.0547794;0.142827;9.40213;-10.1875;0.14251
18,1018,0.181693,50000,510,0.0418724,1,-3.29045;-4.76714;-5.0868;-0.0256553;-7.15352;0.523734;0.225915;-8.19452;0.127493;-10.0373
19,1019,0.188119,50000,510,0.0426122,1,0.134755;0.0909642;-10.6954;-6.18495;-14.0088;7.55832;0.0843609;-8.88252;-0.599571;10.1091
