run,seed,gen,evals,best_so_far,pop_best,pop_mean,pop_median,sigma_med
0,1000,0,100,100.628,100.628,293.485,304.432,0.1
0,1000,5,590,20.2357,20.2357,64.5839,59.6903,0.1
0,1000,10,1080,5.77561,5.77561,20.3697,17.469,0.1
0,1000,15,1570,2.04502,2.04502,9.00995,7.00558,0.1
0,1000,20,2060,1.39976,1.39976,7.15886,5.07542,0.1
0,1000,25,2550,1.30245,1.30245,7.40222,4.55502,0.1
0,1000,30,3040,1.12787,1.12787,6.08361,3.67296,0.1
0,1000,35,3530,1.04056,1.04056,6.27918,3.5935,0.1
0,1000,40,4020,1.04056,1.04056,4.87304,2.58457,0.1
0,1000,45,4510,1.04056,1.04056,5.3762,3.29467,0.1
0,1000,50,5000,1.04056,1.04056,5.90593,2.94445,0.1
0,1000,55,5490,1.01378,1.01378,6.11788,3.31673,0.1
0,1000,60,5980,1.01378,1.01378,6.04399,3.45081,0.1
0,1000,65,6470,1.01378,1.01378,5.88862,2.89739,0.1
0,1000,70,6960,1.01378,1.01378,4.62963,2.6076,0.1
0,1000,75,7450,1.01378,1.01378,4.88788,2.29569,0.1
0,1000,80,7940,1.01378,1.01378,5.66482,2.72936,0.1
0,1000,85,8430,1.01296,1.01296,5.57052,2.61866,0.1
0,1000,90,8920,0.984191,0.984191,6.11241,3.18244,0.1
0,1000,95,9410,0.981765,0.981765,5.18421,3.39243,0.1
0,1000,100,9900,0.981765,0.981765,5.14661,2.98972,0.1
0,1000,105,10390,0.968124,0.968124,6.31103,3.56486,0.1
0,1000,110,10880,0.968124,0.968124,5.36705,2.83165,0.1
0,1000,115,11370,0.968124,0.968124,5.80911,2.64129,0.1
0,1000,120,11860,0.968124,0.968124,6.37114,3.62761,0.1
0,1000,125,12350,0.968124,0.968124,7.14127,3.1831,0.1
0,1000,130,12840,0.968124,0.968124,6.73453,2.77577,0.1
0,1000,135,13330,0.968124,0.968124,6.7651,4.17236,0.1
0,1000,140,13820,0.968124,0.968124,6.17972,2.83063,0.1
0,1000,145,14310,0.968124,0.968124,5.46758,2.94397,0.1
0,1000,150,14800,0.968124,0.968124,5.45006,3.04177,0.1
0,1000,155,15290,0.968124,0.968124,7.58845,4.26186,0.1
0,1000,160,15780,0.968124,0.968124,5.39362,3.21606,0.1
0,1000,165,16270,0.968124,0.968124,5.01339,2.96375,0.1
0,1000,170,16760,0.968124,0.968124,5.60406,3.33924,0.1
0,1000,175,17250,0.968124,0.968124,7.58261,3.26204,0.1
0,1000,180,17740,0.968124,0.968124,7.51655,3.89675,0.1
0,1000,185,18230,0.968124,0.968124,5.89318,2.99528,0.1
0,1000,190,18720,0.968124,0.968124,5.01108,2.86915,0.1
0,1000,195,19210,0.968124,0.968124,6.18042,3.09604,0.1
0,1000,200,19700,0.968124,0.968124,4.89664,2.64333,0.1
0,1000,205,20190,0.968124,0.968124,5.9079,3.31171,0.1
0,1000,210,20680,0.968124,0.968124,5.9149,4.04493,0.1
0,1000,215,21170,0.968124,0.968124,5.92421,3.28505,0.1
0,1000,220,21660,0.968124,0.968124,6.45243,3.48898,0.1
0,1000,225,22150,0.968124,0.968124,5.92853,4.10592,0.1
0,1000,230,22640,0.968124,0.968124,6.48729,3.18532,0.1
0,1000,235,23130,0.968124,0.968124,5.46501,2.89621,0.1
0,1000,240,23620,0.968124,0.968124,6.30246,2.49149,0.1
0,1000,245,24110,0.968124,0.968124,7.07471,3.98492,0.1
0,1000,250,24600,0.968124,0.968124,6.24915,3.37929,0.1
0,1000,255,25090,0.968124,0.968124,6.69298,4.06351,0.1
0,1000,260,25580,0.968124,0.968124,6.22693,2.86995,0.1
0,1000,265,26070,0.968124,0.968124,4.68682,2.60774,0.1
0,1000,270,26560,0.968124,0.968124,6.27111,4.38186,0.1
0,1000,275,27050,0.968124,0.968124,5.67567,3.49652,0.1
0,1000,280,27540,0.968124,0.968124,7.30569,3.0194,0.1
0,1000,285,28030,0.968124,0.968124,6.3288,2.6685,0.1
0,1000,290,28520,0.968124,0.968124,5.47861,3.75068,0.1
0,1000,295,29010,0.968124,0.968124,4.65219,3.03373,0.1
0,1000,300,29500,0.968124,0.968124,7.58711,4.53153,0.1
0,1000,305,29990,0.968124,0.968124,6.42084,3.0728,0.1
0,1000,310,30480,0.968124,0.968124,6.58188,3.63339,0.1
0,1000,315,30970,0.968124,0.968124,6.64279,4.13823,0.1
0,1000,320,31460,0.968124,0.968124,7.04231,4.15366,0.1
0,1000,325,31950,0.968124,0.968124,5.34337,2.99194,0.1
0,1000,330,32440,0.968124,0.968124,5.67682,2.6904,0.1
0,1000,335,32930,0.968124,0.968124,5.79729,3.55157,0.1
0,1000,340,33420,0.968124,0.968124,5.29772,2.61646,0.1
0,1000,345,33910,0.968124,0.968124,6.76736,3.94048,0.1
0,1000,350,34400,0.968124,0.968124,5.80228,3.5777,0.1
0,1000,355,34890,0.968124,0.968124,6.64524,4.29122,0.1
0,1000,360,35380,0.910052,0.910052,6.93087,3.82939,0.1
0,1000,365,35870,0.910052,0.910052,5.73594,3.33156,0.1
0,1000,370,36360,0.894657,0.894657,5.49241,3.14467,0.1
0,1000,375,36850,0.894657,0.894657,6.38641,3.12313,0.1
0,1000,380,37340,0.894657,0.894657,6.17699,4.68152,0.1
0,1000,385,37830,0.894657,0.894657,6.65881,3.58126,0.1
0,1000,390,38320,0.894657,0.894657,6.02087,3.59753,0.1
0,1000,395,38810,0.894657,0.894657,5.99767,3.19007,0.1
0,1000,400,39300,0.894657,0.894657,5.87238,3.55983,0.1
0,1000,405,39790,0.894657,0.894657,5.88404,2.83221,0.1
0,1000,410,40280,0.894657,0.894657,6.66195,4.05038,0.1
0,1000,415,40770,0.894657,0.894657,5.728,3.24659,0.1
0,1000,420,41260,0.894657,0.894657,5.98488,3.33848,0.1
0,1000,425,41750,0.894657,0.894657,5.76187,3.29538,0.1
0,1000,430,42240,0.894657,0.894657,6.00351,3.65715,0.1
0,1000,435,42730,0.894657,0.894657,7.00368,3.65473,0.1
0,1000,440,43220,0.879859,0.879859,7.30538,5.01202,0.1
0,1000,445,43710,0.879859,0.879859,6.3605,3.95424,0.1
0,1000,450,44200,0.844808,0.844808,5.65097,3.09781,0.1
0,1000,455,44690,0.844808,0.844808,4.89374,3.27871,0.1
0,1000,460,45180,0.844808,0.844808,4.96418,2.92421,0.1
0,1000,465,45670,0.784425,0.784425,6.08292,3.48624,0.1
0,1000,470,46160,0.784425,0.784425,5.77616,3.09067,0.1
0,1000,475,46650,0.784425,0.784425,5.92192,3.23252,0.1
0,1000,480,47140,0.784425,0.784425,4.9468,3.04052,0.1
0,1000,485,47630,0.784425,0.784425,5.61432,3.14369,0.1
0,1000,490,48120,0.784425,0.784425,6.46983,3.36002,0.1
0,1000,495,48610,0.784425,0.784425,5.12369,2.33664,0.1
0,1000,500,49100,0.784425,0.784425,7.04279,3.38718,0.1
0,1000,505,49590,0.784425,0.784425,6.79152,3.26801,0.1
0,1000,510,50000,0.784425,0.784425,5.50896,3.68837,0.1
1,1001,0,100,108.37,108.37,295.742,290.623,0.1
1,1001,5,590,19.284,19.284,67.793,61.1372,0.1
1,1001,10,1080,6.3787,6.3787,23.0169,19.5864,0.1
1,1001,15,1570,2.71174,2.71174,11.3283,9.43437,0.1
1,1001,20,2060,1.63868,1.63868,8.55991,5.56507,0.1
1,1001,25,2550,1.2451,1.2451,7.12967,5.33988,0.1
1,1001,30,3040,1.2451,1.2451,5.51729,3.98072,0.1
1,1001,35,3530,1.08304,1.08304,6.88162,3.44921,0.1
1,1001,40,4020,1.08304,1.08304,6.74619,2.73472,0.1
1,1001,45,4510,1.08304,1.08304,5.13394,3.23872,0.1
