run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,0.784425,50000,510,0.041332,1,-9.14469;-0.121235;-5.8726;-25.3392;-22.506;0.808861;7.63434;-0.783205;1.00688;1.49292
1,1001,0.650127,50000,510,0.0423324,1,-3.43645;-4.12831;-5.29179;-5.65375;14.7048;-7.33368;7.30305;25.7362;0.627383;8.39198
2,1002,0.516267,50000,510,0.0434706,1,9.48641;-4.42738;-0.515347;12.277;0.675189;-7.92237;6.89149;17.1741;19.186;0.435711
3,1003,0.472986,50000,510,0.0422599,1,0.383811;-5.08581;-5.10892;6.35044;7.05319;14.9773;-0.839382;0.26378;-0.333218;-1.93628
4,1004,0.41584,50000,510,0.0433118,1,3.00228;-8.83749;15.7991;12.3059;6.54277;-0.764956;-8.64131;0.761315;10.4108;-9.73307
5,1005,0.506236,50000,510,0.0435914,1,-15.8545;13.2559;0.544606;5.50551;1.41082;0.267888;0.324347;0.348547;8.83295;1.16735
6,1006,0.580014,50000,510,0.0432214,1,18.6394;-5.26683;-6.16733;6.22966;-7.63531;-15.0905;8.74386;-0.955767;-0.488933;-10.2959
7,1007,0.671778,50000,510,0.041865,1,-3.03713;-13.9374;-4.64242;6.72624;15.0675;-14.7727;16.611;-8.92667;8.01652;0.0988691
8,1008,0.50586,50000,510,0.0424688,1,-15.5989;4.50719;4.95897;0.441465;-6.63707;0.0998156;6.60025;0.734099;-8.33121;-1.29442
9,1009,0.538965,50000,510,0.0427747,1,0.111915;-0.416899;-0.704718;11.49;-6.40141;6.49979;8.06814;7.6372;-0.90139;0.229497
10,1010,0.73212,50000,510,0.0424702,1,-9.61007;-0.514401;-5.97281;1.30252;-14.7368;-15.9669;-7.6007;-17.0953;0.281801;-8.29797
11,1011,0.442922,50000,510,0.0424586,1,9.13451;0.163527;-10.832;6.91978;6.25796;-15.4968;7.12082;-0.456689;-0.609651;-1.01508
12,1012,0.521081,50000,510,0.0422529,1,3.4114;13.5044;-5.96877;6.26537;-13.6886;2.02185;0.517845;0.107548;-0.00928123;-0.389955
13,1013,0.487034,50000,510,0.042471,1,-0.0252003;8.49136;4.91537;-6.70221;0.0363632;1.03344;-1.0368;-7.96277;-10.1755;20.1232
14,1014,0.323578,50000,510,0.0438483,1,2.98396;-4.59539;-0.338947;-0.00689307;0.676097;15.2051;0.0875019;0.749678;-8.13982;10.6001
15,1015,0.516299,50000,510,0.0417993,1,9.36081;-4.54982;-0.610099;5.37852;5.65872;-8.98634;-0.522951;-0.569438;-9.29388;-0.310844
16,1016,0.398633,50000,510,0.0419706,1,0.332121;3.97538;5.44784;12.1856;6.95923;-7.63845;0.324231;-7.16321;9.29039;-0.264971
17,1017,0.36807,50000,510,0.0423267,1,3.45863;-4.6496;-4.87343;6.11746;-0.58271;0.266615;0.537261;-10.2965;0.145694;9.03943
18,1018,0.687404,50000,510,0.0417985,1,-9.57;8.01299;11.61;-11.518;-0.603083;7.63548;-7.99094;7.44098;10.2185;9.72398
19,1019,0.560966,50000,510,0.041863,1,3.75339;4.24598;-5.32055;6.52778;-6.77489;-7.66179;-24.5253;-1.554;0.0589892;10.2648
