run,seed,gen,evals,best_so_far,pop_best,pop_mean,pop_median,sigma_med
0,1000,0,100,100.628,100.628,293.485,304.432,0.001
0,1000,5,590,19.445,19.445,68.026,63.084,0.001
0,1000,10,1080,5.73625,5.73625,14.3241,13.9811,0.001
0,1000,15,1570,1.57508,1.57508,3.14224,2.97656,0.001
0,1000,20,2060,1.17783,1.17783,1.45545,1.43885,0.001
0,1000,25,2550,0.857428,0.857428,1.08805,1.08205,0.001
0,1000,30,3040,0.496438,0.496438,1.01567,1.02421,0.001
0,1000,35,3530,0.496438,0.496438,1.01265,1.02185,0.001
0,1000,40,4020,0.378019,0.378019,0.956126,1.01168,0.001
0,1000,45,4510,0.155559,0.155559,0.696134,0.698468,0.001
0,1000,50,5000,0.0672133,0.0672133,0.353922,0.243279,0.001
0,1000,55,5490,0.0467057,0.0467057,0.305023,0.188456,0.001
0,1000,60,5980,0.0362358,0.0362358,0.234112,0.139556,0.001
0,1000,65,6470,0.0318252,0.0318252,0.237065,0.0998476,0.001
0,1000,70,6960,0.0290545,0.0290545,0.162261,0.0841392,0.001
0,1000,75,7450,0.0284289,0.0284289,0.18903,0.0709511,0.001
0,1000,80,7940,0.0270607,0.0270607,0.218789,0.0951896,0.001
0,1000,85,8430,0.0269836,0.0269836,0.259064,0.10424,0.001
0,1000,90,8920,0.0269836,0.0269836,0.233177,0.119675,0.001
0,1000,95,9410,0.0256031,0.0256031,0.20274,0.0960145,0.001
0,1000,100,9900,0.0256031,0.0256031,0.189896,0.0886198,0.001
0,1000,105,10390,0.0256031,0.0256031,0.236803,0.130773,0.001
0,1000,110,10880,0.0256031,0.0256031,0.21163,0.0970941,0.001
0,1000,115,11370,0.0256031,0.0256031,0.210608,0.105773,0.001
0,1000,120,11860,0.0253172,0.0253172,0.245365,0.14171,0.001
0,1000,125,12350,0.0253172,0.0253172,0.249962,0.106837,0.001
0,1000,130,12840,0.0251311,0.0251311,0.233442,0.0834268,0.001
0,1000,135,13330,0.0251311,0.0251311,0.268462,0.128194,0.001
0,1000,140,13820,0.0251311,0.0251311,0.22915,0.0912153,0.001
0,1000,145,14310,0.0251311,0.0251311,0.186767,0.0797845,0.001
0,1000,150,14800,0.0251311,0.0251311,0.236638,0.0961276,0.001
0,1000,155,15290,0.0251311,0.0251311,0.258198,0.131933,0.001
0,1000,160,15780,0.0250412,0.0250412,0.226485,0.132167,0.001
0,1000,165,16270,0.0250412,0.0250412,0.193182,0.118916,0.001
0,1000,170,16760,0.0250412,0.0250412,0.203048,0.121974,0.001
0,1000,175,17250,0.0249548,0.0249548,0.272425,0.0982801,0.001
0,1000,180,17740,0.0249548,0.0249548,0.276105,0.120383,0.001
0,1000,185,18230,0.0249548,0.0249548,0.22399,0.101945,0.001
0,1000,190,18720,0.0249548,0.0249548,0.199696,0.0909071,0.001
0,1000,195,19210,0.0249548,0.0249548,0.235862,0.130332,0.001
0,1000,200,19700,0.0249548,0.0249548,0.214044,0.111826,0.001
0,1000,205,20190,0.0249548,0.0249548,0.249291,0.11615,0.001
0,1000,210,20680,0.0249548,0.0249548,0.24458,0.143473,0.001
0,1000,215,21170,0.0249548,0.0249548,0.237532,0.12473,0.001
0,1000,220,21660,0.0249548,0.0249548,0.267191,0.134686,0.001
0,1000,225,22150,0.0249548,0.0249548,0.192983,0.123264,0.001
0,1000,230,22640,0.0249548,0.0249548,0.260295,0.116306,0.001
0,1000,235,23130,0.0249548,0.0249548,0.218529,0.093852,0.001
0,1000,240,23620,0.0249548,0.0249548,0.230916,0.0843433,0.001
0,1000,245,24110,0.0249548,0.0249548,0.250103,0.10524,0.001
0,1000,250,24600,0.0249548,0.0249548,0.184171,0.0946995,0.001
0,1000,255,25090,0.0249548,0.0249548,0.230616,0.105668,0.001
0,1000,260,25580,0.0249548,0.0249548,0.204608,0.0927817,0.001
0,1000,265,26070,0.0249548,0.0249548,0.147269,0.080949,0.001
0,1000,270,26560,0.0249548,0.0249548,0.218999,0.128042,0.001
0,1000,275,27050,0.0249368,0.0249368,0.225138,0.107353,0.001
0,1000,280,27540,0.0249368,0.0249368,0.220649,0.10095,0.001
0,1000,285,28030,0.0249368,0.0249368,0.215117,0.0774271,0.001
0,1000,290,28520,0.0249368,0.0249368,0.219215,0.11423,0.001
0,1000,295,29010,0.0249368,0.0249368,0.200057,0.0834092,0.001
0,1000,300,29500,0.0249368,0.0249368,0.304517,0.154495,0.001
0,1000,305,29990,0.0249368,0.0249368,0.233941,0.0937906,0.001
0,1000,310,30480,0.0249368,0.0249368,0.225048,0.116913,0.001
0,1000,315,30970,0.0249368,0.0249368,0.24476,0.146042,0.001
0,1000,320,31460,0.0249368,0.0249368,0.250172,0.12523,0.001
0,1000,325,31950,0.0249368,0.0249368,0.208437,0.103499,0.001
0,1000,330,32440,0.0249368,0.0249368,0.192211,0.0754827,0.001
0,1000,335,32930,0.0249368,0.0249368,0.207448,0.0981064,0.001
0,1000,340,33420,0.0249342,0.0249342,0.190561,0.0731838,0.001
0,1000,345,33910,0.0249296,0.0249296,0.222472,0.148724,0.001
