run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,0.0249081,50000,510,0.0509796,1,-3.15167;4.43938;5.42701;-6.2651;-0.0150129;-0.0371042;-0.0163824;0.0176813;0.0024018;0.017742
1,1001,0.012503,50000,510,0.0452561,1,-3.14675;-0.00353815;-0.00838487;-6.25056;0.0136124;-0.0140581;-0.00709313;0.0145473;-0.010427;-0.0285311
2,1002,9.73242e-05,50000,510,0.0451525,1,0.00214611;0.00106425;-0.00637952;-0.00544318;-0.00475512;-0.0111968;0.0263275;-0.0168612;0.00146629;0.00875063
3,1003,0.0394117,50000,510,0.0447736,1,6.28309;-0.000145447;-5.43878;0.00759212;-0.00254613;0.00455774;3.91247e-05;-0.00304479;-9.39582;-0.0194883
4,1004,0.000132462,50000,510,0.043333,1,0.000406952;0.00532932;0.017799;-0.00825193;-0.00509319;0.00286734;-0.020187;0.0114141;0.0154893;0.0139714
5,1005,0.0395659,50000,510,0.0447925,1,6.27647;-0.0143858;-5.43516;-0.0277869;-0.00706875;-0.00399917;-0.00961505;-0.0118663;9.3767;0.0217683
6,1006,0.0369472,50000,510,0.0443431,1,-3.14515;4.43836;5.42811;-0.00394415;0.00375491;-0.00344601;-0.000366217;0.0200639;-9.38994;0.00731239
7,1007,0.0173139,50000,510,0.0449298,1,3.13884;0.000414804;0.0023184;0.00125735;-0.00657321;-7.7012;-0.00917519;-0.00077406;-0.00986585;-0.000523009
8,1008,0.0296355,50000,510,0.0438121,1,0.00338237;-0.00445074;-0.00266495;-6.27949;0.0105045;0.00317242;-0.00698996;-8.84795;0.0248425;-0.0325355
9,1009,0.0149126,50000,510,0.0434255,1,-3.13861;-0.00562728;0.00373515;-0.00127586;-7.02278;0.0181114;-0.00188522;0.0341966;0.000304232;-0.00851763
10,1010,4.52452e-05,50000,510,0.043241,1,-0.00322948;-0.00397138;0.00154647;0.00628547;-0.000135556;0.00464556;0.00936058;-0.00367282;0.0176938;0.00928334
11,1011,0.0123711,50000,510,0.043415,1,3.13912;0.00273541;0.0051706;-6.2625;0.00133218;1.44855e-05;0.00107399;0.00284219;0.0141;0.0236421
12,1012,0.00750262,50000,510,0.0434456,1,3.13193;4.44469;-0.00778716;0.00451222;0.0170959;0.0124812;0.00520275;0.000828079;-0.0112801;3.29151e-05
13,1013,0.0419658,50000,510,0.0442302,1,-0.00854609;8.88025;5.44102;0.00247803;0.00257959;-7.66698;-0.021978;-0.00442559;0.00241418;0.0106111
14,1014,0.0198036,50000,510,0.0429812,1,-0.00068782;-0.00705388;-5.43995;0.00752383;7.00347;-0.0115317;0.010935;-0.00902541;0.0185587;0.0258288
15,1015,0.00761987,50000,510,0.0428675,1,-3.14395;4.4334;0.00341786;0.00230215;0.0144199;-0.036317;-0.0070868;0.0177042;0.00232542;-0.0323274
16,1016,0.0764406,50000,510,0.0444139,1,-0.00860118;0.00137403;-16.2976;-6.27238;0.0057;-0.00304794;-0.0162232;0.00559001;0.00550944;0.0104465
17,1017,0.000209364,50000,510,0.0451947,1,0.00455498;-0.00770298;-0.0225843;-0.0176667;-0.0161067;-0.00746241;-5.49193e-05;-0.0191179;-0.00721292;-0.0082566
18,1018,0.0149283,50000,510,0.0441399,1,3.14306;-0.00831038;0.0121851;-0.0132369;7.00615;-0.00522625;-0.0244227;0.00599039;0.000905548;-0.0281471
19,1019,0.0345636,50000,510,0.0460717,1,-0.00409612;-4.43754;5.42141;6.27234;-7.00652;0.0205535;-0.00263675;-0.00462963;-0.000857736;-0.0182947
