run,seed,best_f,evals,gens,time_s,feasible,best_x
0,1000,47.2825,50000,500,0.010995,1,-46.0313;164.515;92.7151;-241.458;-151.994;-106.292;-15.9296;-65.7711;43.2622;-219.512
1,1001,35.2783,50000,500,0.0110629,1,-121.629;-61.3649;151.713;-136.547;27.6955;-27.9062;47.3998;42.013;31.4878;-265.328
2,1002,30.5485,50000,500,0.0109478,1,-1.92695;188.417;-26.8782;-22.6635;80.4354;-151.621;-139.979;94.3189;-140.38;61.6487
3,1003,32.3866,50000,500,0.0110045,1,-214.082;-2.81034;61.8232;179.817;-3.62816;155.229;80.6127;-46.3959;-77.7059;-68.9651
4,1004,32.5204,50000,500,0.0111019,1,13.4248;105.702;-16.5545;52.8238;-51.5631;108.74;-21.4175;-285.58;118.477;-33.5394
5,1005,37.4745,50000,500,0.0111334,1,36.4928;-292.235;10.0111;43.4227;70.9047;47.805;58.1791;16.3421;-120.076;-177.288
6,1006,39.6932,50000,500,0.0109023,1,-29.8385;0.195896;25.3247;-43.9028;314.617;60.6189;-111.83;92.1992;-133.492;-99.1369
7,1007,43.439,50000,500,0.011062,1,-205.039;66.3325;-133.765;-136.821;35.5209;-224.057;-42.9977;-24.9082;-104.709;-146.852
8,1008,36.58,50000,500,0.0111745,1,51.3644;66.8716;-214.104;-132.937;64.566;120.552;-155.513;71.2821;154.022;6.02613
9,1009,31.6075,50000,500,0.0109969,1,93.2023;126.252;154.718;-126.499;8.51299;-24.6561;-80.2328;143.661;-150.316;-86.59
10,1010,25.182,50000,500,0.0110967,1,-101.184;29.5858;76.2898;-115.179;-22.8646;-111.336;-82.6188;-125.62;37.1696;-172.036
11,1011,30.2757,50000,500,0.011016,1,-102.631;160.669;62.5984;-48.4209;-45.8001;-159.303;159.95;-109.84;-59.3778;76.4364
12,1012,31.9243,50000,500,0.0111101,1,-81.8058;-86.4222;-152.319;36.3353;-51.1986;-113.085;-71.4044;49.7914;116.594;220.088
13,1013,32.9309,50000,500,0.0113477,1,52.9618;25.6713;84.7783;-10.3671;243.979;154.535;-39.3215;-158.084;-82.5262;12.763
14,1014,38.2949,50000,500,0.0114635,1,257.195;55.3726;32.1009;91.2249;39.2487;211.294;-118.579;16.9294;89.1817;-46.1038
15,1015,34.9375,50000,500,0.0115336,1,-167.753;-188.405;52.5485;-100.098;-58.4585;-151.49;-16.3878;144.215;107.597;-18.1601
16,1016,44.1522,50000,500,0.011444,1,-36.2552;-84.2474;-10.3776;40.7523;-10.1016;272.84;206.444;-209.999;-33.9806;-3.37794
17,1017,32.8116,50000,500,0.0115374,1,109.08;42.1619;34.1715;87.647;43.7894;223.596;94.0038;-73.8532;177.636;83.4209
18,1018,33.4933,50000,500,0.0115718,1,-142.818;35.5374;-184.189;24.7753;10.207;-135.531;92.7459;27.5964;208.904;47.7878
19,1019,39.2819,50000,500,0.0116156,1,-106.863;-18.1729;-166.102;-129.484;33.8776;-48.3961;18.3895;-245.474;30.3443;178.963
