run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
0,2000,0,100,233.3,233.3,-418.609,0.09
0,2000,2,296,295,398.802,-75.3178,0.27
0,2000,4,492,399.6,405.06,-19.5766,0.28
0,2000,6,688,412.4,412.4,115.691,0.38
0,2000,8,884,434.2,455.441,206.385,0.4
0,2000,10,1080,460.1,489.35,267.847,0.31
0,2000,12,1276,460.1,489.35,253.757,0.21
0,2000,14,1472,478.7,489.35,257.704,0.29
0,2000,16,1668,484.1,490.636,330.481,0.26
0,2000,18,1864,484.1,490.636,314.17,0.25
0,2000,20,2060,485.5,510.615,338.655,0.24
0,2000,22,2256,505,510.615,317.777,0.32
0,2000,24,2452,505,513.044,354.83,0.25
0,2000,26,2648,509.3,518.593,319.458,0.29
0,2000,28,2844,509.3,518.593,367.679,0.3
0,2000,30,3040,511.5,518.593,395.97,0.29
0,2000,32,3236,511.5,525.474,353.119,0.22
0,2000,34,3432,511.5,525.474,391.662,0.26
0,2000,36,3628,518.4,525.474,358.317,0.23
0,2000,38,3824,518.4,525.474,382.616,0.27
0,2000,40,4020,518.4,525.474,388.43,0.26
0,2000,42,4216,518.4,525.474,382.13,0.19
0,2000,44,4412,518.4,525.474,409.861,0.24
0,2000,46,4608,518.4,525.474,402.308,0.18
0,2000,48,4804,518.4,525.474,379.434,0.23
0,2000,50,5000,518.4,525.474,362.778,0.23
0,2000,52,5196,518.4,525.474,372.706,0.23
0,2000,54,5392,518.4,525.474,386.84,0.22
0,2000,56,5588,518.4,525.474,363.526,0.23
0,2000,58,5784,518.4,525.474,413.923,0.21
0,2000,60,5980,518.4,525.474,389.227,0.28
0,2000,62,6176,521.8,525.474,376.224,0.28
0,2000,64,6372,521.8,525.474,386.071,0.25
0,2000,66,6568,521.8,525.474,370.762,0.19
0,2000,68,6764,521.8,525.474,387.754,0.2
0,2000,70,6960,521.8,525.474,362.574,0.21
0,2000,72,7156,521.8,525.474,372.813,0.18
0,2000,74,7352,521.8,525.474,406.316,0.22
0,2000,76,7548,521.8,525.474,394.586,0.13
0,2000,78,7744,521.8,525.474,399.276,0.17
0,2000,80,7940,521.8,525.474,409.383,0.18
0,2000,82,8136,521.8,525.474,368.091,0.16
0,2000,84,8332,521.8,525.474,417.231,0.23
0,2000,86,8528,521.8,525.474,354.463,0.23
0,2000,88,8724,521.8,525.474,413.326,0.2
0,2000,90,8920,521.8,525.474,388.406,0.27
0,2000,92,9116,521.8,525.474,393.856,0.21
0,2000,94,9312,521.8,525.474,399.927,0.33
0,2000,96,9508,521.8,525.474,350.181,0.23
0,2000,98,9704,521.8,525.474,372.074,0.29
0,2000,100,9900,521.8,525.474,391.233,0.22
0,2000,102,10096,521.8,525.474,369.292,0.26
0,2000,104,10292,521.8,525.474,346.293,0.2
0,2000,106,10488,521.8,525.474,365.421,0.19
0,2000,108,10684,521.8,525.474,373.556,0.19
0,2000,110,10880,521.8,525.474,397.239,0.24
0,2000,112,11076,521.8,525.474,396.355,0.22
0,2000,114,11272,521.8,525.474,347.415,0.12
0,2000,116,11468,521.8,525.474,386.393,0.23
0,2000,118,11664,521.8,525.474,326.651,0.25
0,2000,120,11860,521.8,525.474,391.416,0.18
0,2000,122,12056,521.8,525.474,345.948,0.31
0,2000,124,12252,521.8,525.474,357.014,0.35
0,2000,126,12448,521.8,525.474,395.975,0.3
0,2000,128,12644,521.8,525.474,389.422,0.27
0,2000,130,12840,521.8,525.474,383.865,0.27
0,2000,132,13036,521.8,525.474,379.451,0.28
0,2000,134,13232,521.8,525.474,376.303,0.31
0,2000,136,13428,521.8,525.474,362.91,0.18
0,2000,138,13624,521.8,525.474,407.359,0.28
0,2000,140,13820,521.8,525.474,353.535,0.2
0,2000,142,14016,521.8,525.474,374.007,0.24
0,2000,144,14212,521.8,525.474,390.622,0.33
0,2000,146,14408,521.8,525.474,334.988,0.28
0,2000,148,14604,521.8,525.474,392.278,0.27
0,2000,150,14800,521.8,525.474,389.994,0.25
0,2000,152,14996,521.8,525.474,382.575,0.25
0,2000,154,15192,521.8,525.474,391.765,0.29
0,2000,156,15388,521.8,525.474,413.322,0.26
0,2000,158,15584,521.8,525.474,434.375,0.19
0,2000,160,15780,521.8,525.474,378.348,0.19
0,2000,162,15976,521.8,525.474,380.602,0.25
0,2000,164,16172,521.8,525.474,403.013,0.17
0,2000,166,16368,521.8,525.474,378.948,0.28
