run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,392.5,1,20000,204,0.0145733,16290,12.4,16,0100110001110110110011000010000000101001
1,2001,403.3,1,20000,204,0.0149757,15939,10.84,17,1100011001111010100010110000001001100001
2,2002,411.1,1,20000,204,0.0142636,16141,13.16,17,0101000101010000101101110100001100100011
3,2003,451.8,1,20000,204,0.0140742,16654,14.27,21,1101001000101010110110010110001110101101
4,2004,414.5,1,20000,204,0.0140092,16556,12.35,19,0101111001110101110110000010000110100100
5,2005,431.6,1,20000,204,0.0139873,15323,10.91,18,1101100001110010000000111110111000100001
6,2006,427.9,1,20000,204,0.0139825,16377,10.29,18,1101111001101010000110010100101000100001
7,2007,409,1,20000,204,0.014029,16798,12.46,16,1101101000000000001010111010111100000001
8,2008,409.8,1,20000,204,0.014011,16638,13.14,17,0101000000010100110110010010111010100011
9,2009,447.3,1,20000,204,0.0139189,15808,12,21,1101110001010000110110110010111100100011
10,2010,424.5,1,20000,204,0.0139105,16515,10.43,17,1100101001111000000110010100110110000001
11,2011,381,1,20000,204,0.0139148,13421,12.52,18,1101100001100001100100111100110010000101
12,2012,411.4,1,20000,204,0.0139139,16849,13.05,17,0101001001111010100100000110100010010101
13,2013,438,1,20000,204,0.0139493,15556,12.69,20,1000111001111010000010111100110110100010
14,2014,408.5,1,20000,204,0.0139192,16396,10.09,16,1101000001111010000010010010001010101001
15,2015,413.9,1,20000,204,0.0139196,15520,10.05,18,1101010000111010000110110100101100000101
16,2016,423.9,1,20000,204,0.0139195,16445,9.93,16,1101001000111010000110000100101000100011
17,2017,373.2,1,20000,204,0.0139253,15755,11.62,15,1101001000110101000000000110101000010101
18,2018,447.2,1,20000,204,0.0138891,16651,10.53,19,1101010001101000100110111100001101100001
19,2019,396.7,1,20000,204,0.013902,15173,12.12,16,0101100000110100100011010100101110000001
