run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,521.8,1,20000,204,0.015226,16542,14.33,25,1101111001110000110111111100001110101011
1,2001,523.8,1,20000,204,0.0148886,16965,14.18,23,1101111000110010010111111100111100100001
2,2002,523.8,1,20000,204,0.0148226,16965,14.18,23,1101111000110010010111111100111100100001
3,2003,521.8,1,20000,204,0.0148209,16542,14.33,25,1101111001110000110111111100001110101011
4,2004,509.8,1,20000,204,0.0147718,16394,14.28,24,1101111001110000110011111100001110101011
5,2005,521.8,1,20000,204,0.0147805,16542,14.33,25,1101111001110000110111111100001110101011
6,2006,516.9,1,20000,204,0.014839,16517,13.9,25,1101111001110010110111111100001110100101
7,2007,523.8,1,20000,204,0.0147476,16965,14.18,23,1101111000110010010111111100111100100001
8,2008,523.2,1,20000,204,0.0151341,16924,14.42,25,1101111001110010110110111100111100100011
9,2009,523.2,1,20000,204,0.0148073,16924,14.42,25,1101111001110010110110111100111100100011
10,2010,523.2,1,20000,204,0.0147826,16924,14.42,25,1101111001110010110110111100111100100011
11,2011,523.2,1,20000,204,0.0147758,16924,14.42,25,1101111001110010110110111100111100100011
12,2012,521.8,1,20000,204,0.0147988,16542,14.33,25,1101111001110000110111111100001110101011
13,2013,523.2,1,20000,204,0.0149511,16924,14.42,25,1101111001110010110110111100111100100011
14,2014,523.2,1,20000,204,0.0148046,16924,14.42,25,1101111001110010110110111100111100100011
15,2015,523.8,1,20000,204,0.0147914,16965,14.18,23,1101111000110010010111111100111100100001
16,2016,523.2,1,20000,204,0.0147777,16924,14.42,25,1101111001110010110110111100111100100011
17,2017,521.8,1,20000,204,0.0148174,16542,14.33,25,1101111001110000110111111100001110101011
18,2018,521.8,1,20000,204,0.014796,16542,14.33,25,1101111001110000110111111100001110101011
19,2019,523.2,1,20000,204,0.0147605,16924,14.42,25,1101111001110010110110111100111100100011
