run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,518.1,1,20000,204,0.156081,16886,13.95,24,1101111001110000110110111100111100100101
1,2001,523.8,1,20000,204,0.155897,16965,14.18,23,1101111000110010010111111100111100100001
2,2002,514.8,1,20000,204,0.157255,16880,14.51,24,1101111000110010110110111110111100100001
3,2003,521.3,1,20000,204,0.158185,16950,13.15,22,1101111000110000100111111100111100100001
4,2004,516.2,1,20000,204,0.158371,16853,14.01,22,1101011000110010100111111100111100100001
5,2005,506.4,1,20000,204,0.158944,16628,13.95,23,1101110001110000110111111100101110100001
6,2006,511.7,1,20000,204,0.15969,16362,14.22,24,1101111001110000110110111100111110100001
7,2007,516.8,1,20000,204,0.162074,16968,13.97,23,1101110000110010010111111100111100100011
8,2008,516.9,1,20000,204,0.160946,16915,14.13,23,1101011001110000110111111100111100010001
9,2009,521.3,1,20000,204,0.160324,16950,13.15,22,1101111000110000100111111100111100100001
10,2010,521.3,1,20000,204,0.160572,16950,13.15,22,1101111000110000100111111100111100100001
11,2011,515.9,1,20000,204,0.160596,16861,13.8,24,1101111001110000100110111100111110100011
12,2012,521.3,1,20000,204,0.160583,16950,13.15,22,1101111000110000100111111100111100100001
13,2013,516.9,1,20000,204,0.161201,16915,14.13,23,1101011001110000110111111100111100010001
14,2014,516.1,1,20000,204,0.16123,16973,13.14,22,1101011001110000110101111100111100100001
15,2015,518.6,1,20000,204,0.161433,16939,13.96,22,1101111000110000110011111100111100100001
16,2016,517,1,20000,204,0.161535,16809,14.6,24,1101111000110010110111111100101100100011
17,2017,511.4,1,20000,204,0.16211,16925,12.51,22,1101111001110000100111111100111100000001
18,2018,518.7,1,20000,204,0.162195,16877,14.35,22,1101101000110000100111111100111110100001
19,2019,517,1,20000,204,0.162408,16809,14.6,24,1101111000110010110111111100101100100011
