run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
0,2000,0,100,515.5,515.5,438.526,1
0,2000,2,296,521.8,521.8,487.311,1
0,2000,4,492,523.2,523.2,503.912,1
0,2000,6,688,523.2,523.2,519.014,1
0,2000,8,884,523.2,523.2,519.519,1
0,2000,10,1080,523.2,523.2,516.406,1
0,2000,12,1276,523.2,523.2,519.168,1
0,2000,14,1472,523.2,523.2,517.544,1
0,2000,16,1668,523.2,523.2,519.885,1
0,2000,18,1864,523.2,523.2,519.048,1
0,2000,20,2060,523.2,523.2,517.614,1
0,2000,22,2256,523.2,523.2,518.165,1
0,2000,24,2452,523.2,523.2,516.132,1
0,2000,26,2648,523.2,523.2,518.879,1
0,2000,28,2844,523.2,523.2,518.942,1
0,2000,30,3040,523.2,523.2,519.893,1
0,2000,32,3236,523.2,523.2,519.531,1
0,2000,34,3432,523.2,523.2,520.513,1
0,2000,36,3628,523.2,523.2,517.895,1
0,2000,38,3824,523.2,523.2,519.582,1
0,2000,40,4020,523.2,523.2,520.489,1
0,2000,42,4216,523.2,523.2,520.006,1
0,2000,44,4412,523.2,523.2,519.209,1
0,2000,46,4608,523.2,523.2,517.765,1
0,2000,48,4804,523.2,523.2,516.432,1
0,2000,50,5000,523.2,523.2,519.289,1
0,2000,52,5196,523.2,523.2,517.866,1
0,2000,54,5392,523.2,523.2,517.105,1
0,2000,56,5588,523.2,523.2,519.637,1
0,2000,58,5784,523.2,523.2,520.657,1
0,2000,60,5980,523.2,523.2,517.629,1
0,2000,62,6176,523.2,523.2,518.735,1
0,2000,64,6372,523.2,523.2,519.442,1
0,2000,66,6568,523.2,523.2,518.535,1
0,2000,68,6764,523.2,523.2,518.312,1
0,2000,70,6960,523.2,523.2,518.218,1
0,2000,72,7156,523.2,523.2,518.956,1
0,2000,74,7352,523.2,523.2,517.963,1
0,2000,76,7548,523.2,523.2,519.294,1
0,2000,78,7744,523.2,523.2,517.591,1
0,2000,80,7940,523.2,523.2,521.425,1
0,2000,82,8136,523.2,523.2,519.467,1
0,2000,84,8332,523.2,523.2,517.408,1
0,2000,86,8528,523.2,523.2,518.773,1
0,2000,88,8724,523.2,523.2,521.314,1
0,2000,90,8920,523.2,523.2,516.348,1
0,2000,92,9116,523.2,523.2,520.804,1
0,2000,94,9312,523.2,523.2,516.795,1
0,2000,96,9508,523.2,523.2,517.142,1
0,2000,98,9704,523.2,523.2,519.404,1
0,2000,100,9900,523.2,523.2,518.599,1
0,2000,102,10096,523.2,523.2,517.578,1
0,2000,104,10292,523.2,523.2,517.108,1
0,2000,106,10488,523.2,523.2,516.066,1
0,2000,108,10684,523.2,523.2,519.109,1
0,2000,110,10880,523.2,523.2,519.856,1
0,2000,112,11076,523.2,523.2,518.995,1
0,2000,114,11272,523.2,523.2,517.559,1
0,2000,116,11468,523.2,523.2,518.239,1
0,2000,118,11664,523.2,523.2,518.231,1
0,2000,120,11860,523.2,523.2,519.205,1
0,2000,122,12056,523.2,523.2,518.171,1
