run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
0,2000,0,100,349.3,349.3,184.129,1
0,2000,2,296,396,396,283.958,1
0,2000,4,492,413.4,413.4,332.18,1
0,2000,6,688,443.6,443.6,364.589,1
0,2000,8,884,443.6,443.6,382.45,1
0,2000,10,1080,454.7,454.7,395.748,1
0,2000,12,1276,470,470,397.211,1
0,2000,14,1472,485,485,405.047,1
0,2000,16,1668,485,485,419.325,1
0,2000,18,1864,488.1,488.1,428.428,1
0,2000,20,2060,496.6,496.6,439.791,1
0,2000,22,2256,496.6,496.6,444.624,1
0,2000,24,2452,497.4,497.4,445.293,1
0,2000,26,2648,499.5,499.5,447.744,1
0,2000,28,2844,503.9,503.9,460.88,1
0,2000,30,3040,503.9,503.9,463.934,1
0,2000,32,3236,515.2,515.2,471.379,1
0,2000,34,3432,515.2,515.2,478.977,1
0,2000,36,3628,515.2,515.2,475.373,1
0,2000,38,3824,515.2,515.2,479.808,1
0,2000,40,4020,515.2,515.2,482.557,1
0,2000,42,4216,515.2,515.2,488.004,1
0,2000,44,4412,515.2,515.2,495.714,1
0,2000,46,4608,515.2,515.2,490.619,1
0,2000,48,4804,515.2,515.2,488.337,1
0,2000,50,5000,515.2,515.2,488.214,1
0,2000,52,5196,515.2,515.2,490.985,1
0,2000,54,5392,515.2,515.2,494.28,1
0,2000,56,5588,515.2,515.2,491.597,1
0,2000,58,5784,515.2,515.2,495.949,1
0,2000,60,5980,515.2,515.2,490.31,1
0,2000,62,6176,515.2,515.2,491.617,1
0,2000,64,6372,515.2,515.2,491.029,1
0,2000,66,6568,515.2,515.2,491.685,1
0,2000,68,6764,515.2,515.2,488.361,1
0,2000,70,6960,515.2,515.2,488.469,1
0,2000,72,7156,515.2,515.2,490.81,1
0,2000,74,7352,515.2,515.2,494.926,1
0,2000,76,7548,515.2,515.2,496.287,1
0,2000,78,7744,515.2,515.2,496.312,1
0,2000,80,7940,515.2,515.2,494.412,1
0,2000,82,8136,515.2,515.2,489.605,1
0,2000,84,8332,515.2,515.2,491.971,1
0,2000,86,8528,515.2,515.2,484.045,1
0,2000,88,8724,518.6,518.6,493.807,1
0,2000,90,8920,518.6,518.6,487.121,1
0,2000,92,9116,521.3,521.3,485.369,1
0,2000,94,9312,521.3,521.3,483.985,1
0,2000,96,9508,521.3,521.3,472.441,1
0,2000,98,9704,521.3,521.3,475.352,1
0,2000,100,9900,521.3,521.3,478.711,1
0,2000,102,10096,521.3,521.3,474.728,1
0,2000,104,10292,521.3,521.3,477.596,1
0,2000,106,10488,521.3,521.3,480.272,1
0,2000,108,10684,521.3,521.3,478.582,1
0,2000,110,10880,521.3,521.3,483.443,1
0,2000,112,11076,521.3,521.3,487.662,1
0,2000,114,11272,521.3,521.3,483.478,1
0,2000,116,11468,521.3,521.3,492.005,1
0,2000,118,11664,521.3,521.3,484.271,1
0,2000,120,11860,521.3,521.3,489.113,1
0,2000,122,12056,521.3,521.3,487.339,1
0,2000,124,12252,521.3,521.3,493.618,1
0,2000,126,12448,521.3,521.3,490.178,1
0,2000,128,12644,521.3,521.3,485.217,1
0,2000,130,12840,521.3,521.3,487.733,1
0,2000,132,13036,521.3,521.3,496.749,1
0,2000,134,13232,521.3,521.3,492.341,1
0,2000,136,13428,521.3,521.3,489.659,1
0,2000,138,13624,521.3,521.3,490.7,1
0,2000,140,13820,521.3,521.3,484.749,1
0,2000,142,14016,521.3,521.3,475.206,1
0,2000,144,14212,521.3,521.3,490.864,1
0,2000,146,14408,521.3,521.3,476.547,1
0,2000,148,14604,521.3,521.3,479.243,1
0,2000,150,14800,521.3,521.3,487.52,1
0,2000,152,14996,521.3,521.3,487.453,1
0,2000,154,15192,521.3,521.3,486.134,1
0,2000,156,15388,521.3,521.3,488.708,1
0,2000,158,15584,521.3,521.3,497.129,1
0,2000,160,15780,521.3,521.3,486.97,1
0,2000,162,15976,521.3,521.3,490.937,1
0,2000,164,16172,521.3,521.3,497.712,1
0,2000,166,16368,521.3,521.3,490.731,1
0,2000,168,16564,521.3,521.3,491.221,1
0,2000,170,16760,521.3,521.3,488.594,1
0,2000,172,16956,521.3,521.3,488.858,1
0,2000,174,17152,521.3,521.3,488.029,1
0,2000,176,17348,521.3,521.3,495.214,1
0,2000,178,17544,521.3,521.3,498.634,1
0,2000,180,17740,521.3,521.3,496.612,1
0,2000,182,17936,521.3,521.3,496.599,1
0,2000,184,18132,521.3,521.3,492.762,1
0,2000,186,18328,521.3,521.3,494.222,1
0,2000,188,18524,521.3,521.3,492.028,1
0,2000,190,18720,521.3,521.3,492.87,1
0,2000,192,18916,521.3,521.3,495.448,1
0,2000,194,19112,521.3,521.3,492.096,1
0,2000,196,19308,521.3,521.3,491.114,1
0,2000,198,19504,521.3,521.3,490.522,1
0,2000,200,19700,521.3,521.3,486.582,1
0,2000,202,19896,521.3,521.3,493.197,1
0,2000,204,20000,521.3,521.3,486.262,1
1,2001,0,100,343.7,343.7,171.626,1
1,2001,2,296,353.9,353.9,266.893,1
1,2001,4,492,400.4,400.4,325.036,1
1,2001,6,688,430.8,430.8,354.184,1
1,2001,8,884,443.8,443.8,384.433,1
1,2001,10,1080,458.7,458.7,410.864,1
1,2001,12,1276,466.1,466.1,422.578,1
1,2001,14,1472,470.2,470.2,433.784,1
1,2001,16,1668,475.2,475.2,449.052,1
1,2001,18,1864,475.2,475.2,455.513,1
1,2001,20,2060,475.2,475.2,453.754,1
1,2001,22,2256,478.2,478.2,460.082,1
1,2001,24,2452,491,491,460.145,1
1,2001,26,2648,491,491,454.964,1
1,2001,28,2844,491,491,456.337,1
1,2001,30,3040,491,491,452.93,1
1,2001,32,3236,491,491,458.655,1
1,2001,34,3432,493.8,493.8,455.469,1
1,2001,36,3628,493.8,493.8,457.195,1
1,2001,38,3824,495.5,495.5,463.801,1
1,2001,40,4020,495.5,495.5,467.658,1
1,2001,42,4216,495.5,495.5,470.15,1
1,2001,44,4412,495.5,495.5,469.24,1
1,2001,46,4608,495.5,495.5,466.6,1
1,2001,48,4804,495.5,495.5,468.084,1
1,2001,50,5000,497.7,497.7,463.629,1
1,2001,52,5196,497.7,497.7,465.724,1
1,2001,54,5392,497.7,497.7,470.487,1
1,2001,56,5588,497.7,497.7,474.401,1
1,2001,58,5784,497.7,497.7,471.794,1
1,2001,60,5980,500.6,500.6,473.985,1
1,2001,62,6176,500.6,500.6,473.816,1
1,2001,64,6372,500.6,500.6,468.425,1
1,2001,66,6568,500.6,500.6,466.099,1
1,2001,68,6764,500.6,500.6,466.692,1
1,2001,70,6960,502.4,502.4,467.801,1
1,2001,72,7156,502.4,502.4,471.451,1
1,2001,74,7352,502.4,502.4,466.661,1
1,2001,76,7548,503.2,503.2,470.981,1
1,2001,78,7744,503.2,503.2,474.993,1
1,2001,80,7940,503.2,503.2,476.102,1
1,2001,82,8136,503.2,503.2,476.624,1
1,2001,84,8332,503.2,503.2,480.759,1
1,2001,86,8528,503.2,503.2,473.862,1
1,2001,88,8724,503.2,503.2,475.337,1
1,2001,90,8920,503.2,503.2,471.695,1
1,2001,92,9116,503.2,503.2,470.745,1
1,2001,94,9312,503.2,503.2,476.57,1
1,2001,96,9508,503.2,503.2,478.263,1
1,2001,98,9704,503.2,503.2,478.775,1
1,2001,100,9900,503.2,503.2,478.082,1
1,2001,102,10096,503.2,503.2,483.319,1
1,2001,104,10292,503.2,503.2,479.2,1
1,2001,106,10488,503.2,503.2,478.3,1
1,2001,108,10684,503.2,503.2,477.074,1
1,2001,110,10880,503.2,503.2,477.099,1
1,2001,112,11076,503.2,503.2,479.821,1
1,2001,114,11272,503.2,503.2,482.82,1
1,2001,116,11468,503.2,503.2,477.512,1
1,2001,118,11664,503.2,503.2,476.584,1
1,2001,120,11860,503.2,503.2,480.582,1
1,2001,122,12056,503.2,503.2,477.794,1
1,2001,124,12252,503.2,503.2,481.708,1
1,2001,126,12448,503.2,503.2,480.904,1
1,2001,128,12644,503.2,503.2,478.109,1
1,2001,130,12840,503.2,503.2,481.094,1
1,2001,132,13036,503.2,503.2,484.279,1
1,2001,134,13232,503.2,503.2,478.233,1
1,2001,136,13428,503.2,503.2,476.438,1
1,2001,138,13624,503.2,503.2,482.207,1
1,2001,140,13820,503.2,503.2,478.475,1
1,2001,142,14016,503.2,503.2,476.556,1
