run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,521.3,1,20000,204,0.269962,16950,13.15,22,1101111000110000100111111100111100100001
1,2001,503.2,1,20000,204,0.271293,16932,12.25,23,1101111000111010110110111100001100101001
2,2002,521.8,1,20000,204,0.278459,16542,14.33,25,1101111001110000110111111100001110101011
3,2003,521.8,1,20000,204,0.275936,16542,14.33,25,1101111001110000110111111100001110101011
4,2004,503.2,1,20000,204,0.274141,16932,12.25,23,1101111000111010110110111100001100101001
5,2005,503.2,1,20000,204,0.273431,16932,12.25,23,1101111000111010110110111100001100101001
6,2006,521.3,1,20000,204,0.27197,16950,13.15,22,1101111000110000100111111100111100100001
7,2007,521.8,1,20000,204,0.273757,16542,14.33,25,1101111001110000110111111100001110101011
8,2008,503.2,1,20000,204,0.272038,16932,12.25,23,1101111000111010110110111100001100101001
9,2009,503.2,1,20000,204,0.271437,16932,12.25,23,1101111000111010110110111100001100101001
10,2010,521.8,1,20000,204,0.276956,16542,14.33,25,1101111001110000110111111100001110101011
11,2011,521.8,1,20000,204,0.278155,16542,14.33,25,1101111001110000110111111100001110101011
12,2012,503.2,1,20000,204,0.272851,16932,12.25,23,1101111000111010110110111100001100101001
13,2013,521.8,1,20000,204,0.276322,16542,14.33,25,1101111001110000110111111100001110101011
14,2014,503.2,1,20000,204,0.274158,16932,12.25,23,1101111000111010110110111100001100101001
15,2015,521.8,1,20000,204,0.278891,16542,14.33,25,1101111001110000110111111100001110101011
16,2016,521.8,1,20000,204,0.276556,16542,14.33,25,1101111001110000110111111100001110101011
17,2017,503.2,1,20000,204,0.272689,16932,12.25,23,1101111000111010110110111100001100101001
18,2018,521.8,1,20000,204,0.281128,16542,14.33,25,1101111001110000110111111100001110101011
19,2019,521.8,1,20000,204,0.279169,16542,14.33,25,1101111001110000110111111100001110101011
