run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,523.2,1,20000,204,0.516505,16924,14.42,25,1101111001110010110110111100111100100011
1,2001,523.2,1,20000,204,0.512397,16924,14.42,25,1101111001110010110110111100111100100011
2,2002,523.2,1,20000,204,0.517877,16924,14.42,25,1101111001110010110110111100111100100011
3,2003,521.8,1,20000,204,0.514239,16542,14.33,25,1101111001110000110111111100001110101011
4,2004,523.2,1,20000,204,0.515362,16924,14.42,25,1101111001110010110110111100111100100011
5,2005,523.2,1,20000,204,0.513414,16924,14.42,25,1101111001110010110110111100111100100011
6,2006,523.2,1,20000,204,0.511025,16924,14.42,25,1101111001110010110110111100111100100011
7,2007,523.2,1,20000,204,0.512163,16924,14.42,25,1101111001110010110110111100111100100011
8,2008,523.2,1,20000,204,0.513976,16924,14.42,25,1101111001110010110110111100111100100011
9,2009,523.2,1,20000,204,0.513117,16924,14.42,25,1101111001110010110110111100111100100011
10,2010,523.2,1,20000,204,0.512256,16924,14.42,25,1101111001110010110110111100111100100011
11,2011,523.2,1,20000,204,0.512771,16924,14.42,25,1101111001110010110110111100111100100011
12,2012,523.2,1,20000,204,0.511155,16924,14.42,25,1101111001110010110110111100111100100011
13,2013,523.2,1,20000,204,0.511638,16924,14.42,25,1101111001110010110110111100111100100011
14,2014,523.2,1,20000,204,0.51373,16924,14.42,25,1101111001110010110110111100111100100011
15,2015,523.2,1,20000,204,0.512134,16924,14.42,25,1101111001110010110110111100111100100011
16,2016,523.2,1,20000,204,0.513948,16924,14.42,25,1101111001110010110110111100111100100011
17,2017,521.8,1,20000,204,0.509421,16542,14.33,25,1101111001110000110111111100001110101011
18,2018,523.2,1,20000,204,0.510907,16924,14.42,25,1101111001110010110110111100111100100011
19,2019,523.2,1,20000,204,0.511266,16924,14.42,25,1101111001110010110110111100111100100011
