run,seed,best_value,feasible,evals,gens,time_s,cost,power,items,x
0,2000,502.5,1,20000,200,0.419196,16790,14.25,24,1101111001110010110111010110001100101011
1,2001,500.9,1,20000,200,0.413996,16297,14.36,25,1101111001110000110110111110001110101101
2,2002,506.6,1,20000,200,0.414504,16894,14.24,25,1101111001110010110111110110001110100101
3,2003,504.5,1,20000,200,0.413886,16864,14.49,24,1101111001110000110111010110001110101011
4,2004,507.4,1,20000,200,0.411409,16862,14.19,22,1101111001110000100111010100111110100001
5,2005,511.5,1,20000,200,0.412382,16937,14.29,25,1101111001110000010111111110001110011011
6,2006,504.5,1,20000,200,0.412541,16864,14.49,24,1101111001110000110111010110001110101011
7,2007,504.4,1,20000,200,0.413307,16807,13.96,24,1101111001110000110111110110001100101101
8,2008,509.8,1,20000,200,0.412713,16804,14.56,24,1101111001110000110111111100101100010101
9,2009,511.3,1,20000,200,0.412481,16734,14.56,24,1101110001110001100111111100001110101101
10,2010,505.6,1,20000,200,0.414661,16849,13.95,23,1101111000110000100011111110001110101011
11,2011,504.5,1,20000,200,0.413068,16864,14.49,24,1101111001110000110111010110001110101011
12,2012,517,1,20000,200,0.415803,16809,14.6,24,1101111000110010110111111100101100100011
13,2013,509.5,1,20000,200,0.415421,16845,14.43,25,1101111001110010110111110110001100101011
14,2014,509.5,1,20000,200,0.414987,16845,14.43,25,1101111001110010110111110110001100101011
15,2015,506.1,1,20000,200,0.413647,16850,14.27,24,1101011001110000110111111110001100011101
16,2016,506.6,1,20000,200,0.413996,16912,13.86,25,1101111001110010010111111110001110010101
17,2017,509.5,1,20000,200,0.417418,16863,14.05,25,1101111001110010010111111110001100011011
18,2018,509.9,1,20000,200,0.414066,16912,14.53,25,1101111000110001110111111110001110010101
19,2019,502.5,1,20000,200,0.413821,16790,14.25,24,1101111001110010110111010110001100101011
