run,seed,water,deficit,wet
0,3000,167.561,0,22.0366
0,3000,19.9637,476.876,1.23805
0,3000,15.5296,490.891,1.24967
0,3000,156.59,0.0717733,36.9853
0,3000,11.649,480.836,1.56214
0,3000,147.442,1.92497,29.3484
0,3000,145.635,2.64155,31.7871
0,3000,113.831,50.3631,13.2765
0,3000,146.534,2.11567,30.0442
0,3000,103.972,78.2745,9.07204
0,3000,138.174,5.1454,26.9913
0,3000,28.5281,429.214,1.39453
0,3000,139.376,21.8824,15.3805
0,3000,107.978,69.5511,9.6803
0,3000,92.552,107.449,7.23049
0,3000,159.483,0,32.7966
0,3000,151.801,0.571781,33.5515
0,3000,142.658,17.8081,16.3685
0,3000,34.6986,379.258,1.99735
0,3000,47.2154,288.768,2.82763
0,3000,154.756,0.192,35.4667
0,3000,41.9269,319.717,3.17188
0,3000,124.556,31.8315,14.7969
0,3000,66.3505,204.075,4.9044
0,3000,76.6981,158.396,5.1554
0,3000,33.3333,389.474,1.82864
0,3000,87.4044,114.186,9.13394
0,3000,20.4442,464.376,1.4286
0,3000,78.4311,145.89,6.78842
0,3000,136.216,6.73119,24.6243
0,3000,95.4218,98.0323,7.92262
0,3000,80.6138,137.767,7.93492
0,3000,144.442,14.2559,17.228
0,3000,77.3213,151.152,5.68979
0,3000,137.76,5.95917,25.272
0,3000,163.405,1.73195,20.0814
0,3000,115.486,56.8244,12.0862
0,3000,71.1762,183.358,4.73696
0,3000,82.2194,136.629,5.91885
0,3000,140.934,4.41734,26.576
0,3000,164.887,0.982558,21.1796
0,3000,138.576,5.55218,25.8273
0,3000,109.208,62.5083,11.3229
0,3000,25.1854,397.564,2.98506
0,3000,22.8435,444.889,1.65311
0,3000,128.552,21.6418,18.5831
0,3000,40.2724,331.254,2.8689
0,3000,74.8639,165.312,5.31366
0,3000,48.5402,280.903,2.98535
0,3000,85.2778,129.037,6.28589
0,3000,57.3494,250.798,3.29754
0,3000,45.1009,301.126,2.74193
0,3000,116.508,44.0217,14.4933
0,3000,91.99,105.968,11.8113
0,3000,108.878,67.2897,10.0278
0,3000,110.194,63.8389,10.5075
0,3000,55.0815,240.999,4.2413
0,3000,32.2301,408.489,1.93594
0,3000,118.476,55.2137,11.5093
0,3000,73.609,173.234,4.58688
0,3000,110.605,63.2295,10.4619
0,3000,51.0633,273.214,3.69215
0,3000,52.7955,263.456,3.93832
0,3000,102.07,98.042,7.03407
0,3000,64.158,222.889,3.43962
0,3000,99.9131,86.9661,9.6029
0,3000,157.828,0,36.201
0,3000,26.4933,435.761,1.63487
0,3000,130.991,18.9218,18.9284
0,3000,121.675,41.9816,13.3309
0,3000,38.5298,356.487,2.18274
0,3000,133.056,12.6728,21.4836
0,3000,39.7106,349.042,2.3043
0,3000,55.7104,258.41,3.93915
0,3000,19.0923,445.834,1.83598
0,3000,17.8849,483.822,1.2589
0,3000,63.4333,215.101,4.66821
0,3000,25.2989,418.477,1.75475
0,3000,17.3265,454.604,1.65264
0,3000,123.694,29.062,16.8848
0,3000,85.608,121.03,8.73022
0,3000,58.1703,245.737,4.08593
0,3000,68.606,211.149,3.51781
0,3000,37.4611,408.324,1.68547
0,3000,131.262,8.96907,23.2433
0,3000,160.219,2.82457,19.4841
0,3000,43.4827,334.904,2.26383
0,3000,158.199,6.47811,18.459
0,3000,97.7578,91.5073,8.59868
0,3000,156.826,0.00567583,36.4798
0,3000,114.555,58.731,11.7982
0,3000,36.3874,369.113,2.00027
0,3000,61.446,268.939,2.73659
0,3000,153.37,0.316662,34.7073
0,3000,36.2594,369.57,2.0143
0,3000,153.755,0.282054,34.5925
0,3000,132.035,8.43058,23.735
0,3000,84.4035,127.503,8.97394
0,3000,38.5298,356.487,2.18274
0,3000,166.263,0.188954,21.5773
1,3001,156.896,0,26.061
1,3001,168.215,0,21.3231
1,3001,156.717,0.0155108,37.964
1,3001,15.7593,475.154,1.41386
1,3001,19.4218,472.229,1.34613
1,3001,138.34,6.02011,22.5723
1,3001,156.029,0.077422,35.5882
1,3001,140.73,3.55569,24.2033
1,3001,118.31,46.4084,12.7044
1,3001,70.4693,194.015,3.96191
1,3001,73.7519,180.575,4.2072
1,3001,132.763,34.3361,13.2957
1,3001,122.459,23.6841,16.7577
1,3001,44.7961,308.503,2.71581
1,3001,143.232,2.57617,24.9445
1,3001,142.468,13.0515,18.1001
1,3001,82.8492,147.462,4.54661
1,3001,67.7041,204.49,4.12882
1,3001,165.481,0.0164153,21.6891
1,3001,110.181,67.8043,10.3577
1,3001,90.2116,170.418,3.64746
1,3001,134.129,30.0395,14.2135
1,3001,29.0047,444.639,1.41696
1,3001,114.351,77.0329,7.71178
1,3001,159.645,2.67845,18.5815
1,3001,43.7975,322.279,2.15072
1,3001,126.686,45.0263,11.4077
1,3001,85.3487,143.228,4.52713
1,3001,127.094,13.9602,20.2856
1,3001,47.4498,302.721,2.37838
1,3001,107.38,75.25,9.53594
1,3001,65.5615,219.412,3.52608
1,3001,102.481,96.8933,6.46152
1,3001,104.27,59.0984,14.3333
1,3001,156.826,0.00566363,34.228
1,3001,67.0392,211.87,3.57371
1,3001,151.715,0.465614,32.7088
1,3001,111.193,64.6977,10.8608
1,3001,111.088,42.2495,16.7363
1,3001,29.7613,425.226,1.49055
1,3001,144.644,25.3557,14.772
1,3001,32.5382,411.652,1.58032
1,3001,57.6237,256.481,3.1968
1,3001,61.0049,235.05,3.17445
1,3001,154.898,0.179178,33.7863
1,3001,123.784,15.8175,19.7658
1,3001,104.243,92.0309,6.79163
1,3001,163.397,0.211951,20.5476
1,3001,98.4999,103.832,6.25493
1,3001,107.273,51.2396,15.4477
1,3001,125.118,17.2082,19.0577
1,3001,145.559,1.84342,26.236
1,3001,55.9559,266.769,2.92282
1,3001,116.334,30.8183,17.4732
1,3001,167.48,0.0346129,21.2374
1,3001,154.937,0.175697,31.6747
1,3001,64.1072,232.716,2.99917
1,3001,133.172,31.6621,13.3748
1,3001,24.3891,428.283,1.66399
1,3001,148.653,1.06695,30.6838
1,3001,112.013,67.2815,9.0361
1,3001,29.543,401.716,1.76642
1,3001,95.4771,125.502,5.33421
1,3001,79.5545,157.221,4.70415
1,3001,103.828,83.1053,8.09487
1,3001,105.695,87.2793,7.19155
1,3001,61.7903,226.672,4.3828
1,3001,87.7232,158.07,4.08763
1,3001,150.904,0.576808,29.5409
1,3001,79.5108,163.12,4.99803
1,3001,76.7399,170.035,4.10957
1,3001,55.1687,270.312,2.88023
1,3001,148.136,1.34728,28.6202
1,3001,150.543,0.638426,29.3564
1,3001,94.5996,164.057,3.70635
1,3001,26.5244,455.536,1.36224
1,3001,59.1694,242.842,4.15356
1,3001,125.234,16.7311,19.1695
1,3001,49.3713,298.504,2.36201
1,3001,58.5504,257.173,2.41057
1,3001,27.399,407.562,1.66622
1,3001,22.6099,466.472,1.34964
1,3001,41.6081,341.042,2.26035
1,3001,108.207,48.8247,15.94
1,3001,58.6519,245.173,4.14916
1,3001,101.49,85.6372,8.17901
1,3001,77.3308,165.697,4.77426
1,3001,51.5115,290.905,2.49582
1,3001,149.665,1.01427,27.615
1,3001,125.213,27.6956,15.1589
1,3001,110.826,71.0019,8.61876
1,3001,38.7622,393.699,1.54295
1,3001,41.7838,331.62,2.10079
1,3001,53.3106,277.294,3.31839
1,3001,106.112,86.1942,7.21044
1,3001,35.5289,369.728,1.99111
1,3001,63.3596,224.235,3.36425
1,3001,38.6621,339.235,2.77748
1,3001,52.3082,282.514,3.23562
1,3001,108.325,48.8048,15.8556
2,3002,156.891,0,36.5712
2,3002,156.86,0.00256697,37.7302
2,3002,12.6707,485.241,1.39372
2,3002,170.792,0,23.5433
2,3002,36.0411,433.054,1.27756
2,3002,137.162,11.1357,17.7317
2,3002,161.485,6.13108,19.8061
2,3002,102.604,87.6924,8.26381
2,3002,46.4062,314.576,3.52926
2,3002,135.161,13.8785,16.8094
2,3002,32.3097,396.577,1.57133
2,3002,88.6124,121.953,5.43556
2,3002,124.549,32.2497,12.9442
2,3002,122.367,44.9827,11.1588
2,3002,140.878,3.90719,25.7197
2,3002,158.146,0,34.2384
2,3002,129.813,27.6044,13.8095
2,3002,131.941,20.0024,15.0075
2,3002,127.774,26.483,14.1165
2,3002,159.657,0,27.7602
2,3002,43.0824,338.744,2.17771
2,3002,18.511,465.979,1.55721
2,3002,166.112,0.789468,23.4718
2,3002,52.5879,282.129,3.09191
2,3002,109.249,70.8447,9.85126
2,3002,29.4675,410.69,1.74305
2,3002,73.874,173.218,7.51739
2,3002,20.6837,450.128,1.69891
2,3002,79.4552,162.02,6.14156
2,3002,146.48,1.63455,28.5764
2,3002,120.374,48.9121,10.6349
2,3002,138.835,4.72734,27.1147
2,3002,44.0281,331.681,2.3361
2,3002,134.152,15.6963,16.2039
2,3002,19.5572,460.131,1.6067
2,3002,86.8714,134.229,7.3442
2,3002,83.3839,142.993,7.26537
2,3002,144.537,2.4507,24.7183
2,3002,147.601,1.49314,32.7172
2,3002,99.2724,97.5886,7.50257
2,3002,28.0972,424.269,1.49866
2,3002,132.275,17.4892,15.9897
2,3002,68.3595,194.522,6.02215
2,3002,95.0998,109.532,7.72189
2,3002,36.7797,375.659,1.97587
2,3002,154.828,0.18548,26.4677
2,3002,156.565,0.0291174,37.5856
2,3002,119.859,41.5585,11.7424
2,3002,121.999,83.4106,7.05968
2,3002,112.125,64.5916,10.4042
2,3002,71.8712,182.136,8.11897
2,3002,14.0586,476.996,1.50749
2,3002,93.3668,106.196,9.16795
2,3002,26.6761,425.703,1.64348
2,3002,169.934,0.0428037,23.58
2,3002,82.1103,149.202,6.88059
2,3002,155.145,0.15692,35.2931
2,3002,15.9154,475.659,1.42889
2,3002,143.324,3.11074,24.0844
2,3002,118.727,52.6538,10.1916
2,3002,121.844,39.8994,12.1351
2,3002,57.6518,250.696,5.09879
2,3002,153.577,0.298025,30.5772
2,3002,49.7793,296.509,3.63752
2,3002,36.7089,350.507,3.07018
2,3002,60.8347,242.385,4.86519
2,3002,162.948,3.50707,20.6229
2,3002,163.5,2.07512,22.5711
2,3002,33.9048,435.078,1.2903
2,3002,50.7087,287.792,3.02742
2,3002,90.5882,115.786,5.74633
2,3002,157.37,0,34.3879
2,3002,71.9284,218.235,4.37371
2,3002,85.2593,202.971,4.3939
2,3002,118.058,62.8659,8.77308
2,3002,152.476,0.397205,30.0334
2,3002,46.5182,309.5,3.73214
2,3002,31.0733,385.83,2.69935
2,3002,164.505,1.46791,22.2989
2,3002,162.45,4.03729,20.403
2,3002,30.8636,386.951,2.68826
2,3002,39.9906,412.663,1.42621
2,3002,154.468,0.217837,35.2241
2,3002,96.4083,96.5584,9.64125
2,3002,24.1552,445.514,1.41219
2,3002,85.7484,139.004,7.01174
2,3002,35.4007,371.251,2.74053
2,3002,74.8986,234.976,2.84193
2,3002,62.6215,246.992,4.01883
2,3002,129.143,22.0334,15.3501
2,3002,165.245,1.92649,21.4154
2,3002,54.3245,283.027,2.66544
2,3002,38.3317,368.214,2.06325
2,3002,61.548,229.006,4.58802
2,3002,140.731,3.92268,24.6684
2,3002,56.8256,270.556,2.42332
2,3002,165.51,1.73677,21.5158
2,3002,78.1637,211.889,2.99017
2,3002,80.8338,152.474,7.30182
2,3002,40.6096,356.268,2.07887
3,3003,161.063,0,23.7056
3,3003,44.7063,402.732,1.43093
3,3003,157.051,0,37.0501
3,3003,25.6374,445.949,1.51044
3,3003,170.577,0,23.5598
3,3003,23.6496,442.004,1.60922
3,3003,32.0575,388.706,1.98881
3,3003,51.2278,367.806,1.86382
3,3003,28.043,420.538,1.8498
3,3003,39.1732,348.902,2.49311
3,3003,62.0414,253.396,2.80572
3,3003,133.027,9.6166,19.1496
3,3003,26.9711,439.142,1.54425
3,3003,149.622,0.833715,32.4385
3,3003,131.12,12.2781,17.99
3,3003,82.7778,136.394,5.51551
3,3003,53.5888,305.92,2.15496
3,3003,45.914,313.211,2.37204
3,3003,49.314,292.589,2.48786
3,3003,63.1524,237.384,2.54559
3,3003,90.346,103.522,7.69557
3,3003,117.327,37.815,13.7828
3,3003,56.7371,295.637,2.15656
3,3003,67.0685,223.119,3.51513
3,3003,88.2927,109.315,7.35726
3,3003,86.2948,125.586,5.34152
3,3003,139.956,4.18504,28.1847
3,3003,96.7824,111.941,5.96991
3,3003,123.349,29.1414,15.0436
3,3003,121.016,25.944,18.7378
3,3003,74.7574,173.187,4.36314
3,3003,80.1547,142.939,4.80661
3,3003,72.4862,182.774,4.01715
3,3003,52.2612,276.454,2.61509
3,3003,28.6124,412.882,1.931
3,3003,36.9337,363.171,2.19651
3,3003,149.961,0.791497,28.852
3,3003,147.252,1.44872,25.4258
3,3003,119.515,29.8845,15.9042
3,3003,129.38,13.702,17.658
3,3003,99.9166,89.4102,8.63413
3,3003,60.1376,267.016,2.70682
3,3003,128.916,21.1045,16.7369
3,3003,162.702,2.88371,20.3336
3,3003,157.45,0,30.5698
3,3003,59.174,246.589,2.91861
3,3003,146.655,1.97961,24.5958
3,3003,83.8637,121.757,6.55877
3,3003,36.8506,363.814,2.18691
3,3003,155.964,0.0832134,34.3475
3,3003,113.532,52.6078,11.1243
3,3003,146.415,1.72515,27.1598
3,3003,70.7732,190.147,3.96142
3,3003,76.2593,166.721,4.30167
3,3003,94.2046,164.438,3.62634
3,3003,137.512,5.23075,26.691
3,3003,135.256,6.17756,26.2271
3,3003,84.0278,137.341,4.81226
3,3003,120.497,26.9842,16.2332
3,3003,110.176,50.3349,12.3288
3,3003,59.0845,286.716,2.18151
3,3003,54.8601,266.459,2.91447
3,3003,152.848,0.36367,33.6149
3,3003,65.0119,213.514,3.82933
3,3003,165.677,0.712114,21.6958
3,3003,40.8638,339.771,2.19959
3,3003,79.0608,145.221,5.27254
3,3003,153.38,0.315819,29.9161
3,3003,70.5873,229.759,2.85045
3,3003,141.793,3.51772,22.0158
3,3003,159.34,0.249434,23.0015
3,3003,45.9027,394.815,1.55231
3,3003,113.035,45.804,12.5776
3,3003,156.839,0.00451378,34.9131
3,3003,94.3465,163.437,3.60974
3,3003,78.3996,177.709,4.21991
3,3003,157.198,0,36.5079
3,3003,111.961,45.4462,12.9993
3,3003,98.9339,151.052,3.40101
3,3003,95.5096,98.2736,7.87217
3,3003,97.1676,153.508,4.0721
3,3003,168.838,0.381718,22.6987
3,3003,125.972,19.5663,17.1005
3,3003,145.2,2.02369,26.9444
3,3003,77.7545,218.305,2.99495
3,3003,42.1426,328.158,2.30404
3,3003,127.286,23.6757,14.9882
3,3003,51.8342,282.887,2.6534
3,3003,154.582,3.03039,20.6179
3,3003,98.0424,94.4568,8.17878
3,3003,71.617,205.181,3.06817
3,3003,154.837,0.18468,35.6166
3,3003,155.256,0.146984,35.8874
3,3003,118.658,35.5279,14.1475
3,3003,137.276,5.49011,21.1855
3,3003,145.493,1.89494,25.1459
3,3003,135.838,7.07016,19.7792
3,3003,82.9332,196.216,3.36758
3,3003,126.696,17.4084,17.2485
3,3003,42.7065,329.183,2.27383
4,3004,156.911,0,23.1358
4,3004,162.717,0,19.9162
4,3004,154.991,0.170789,32.5757
