run,seed,gen,evals,hv,front_size
0,3000,0,100,0.604495,1
0,3000,2,300,0.703635,1
0,3000,4,500,0.725538,1
0,3000,6,700,0.74422,1
0,3000,8,900,0.768692,1
0,3000,10,1100,0.774998,3
0,3000,12,1300,0.817494,2
0,3000,14,1500,0.82672,5
0,3000,16,1700,0.851433,1
0,3000,18,1900,0.888003,1
0,3000,20,2100,0.901964,3
0,3000,22,2300,0.915951,3
0,3000,24,2500,0.926405,4
0,3000,26,2700,0.97158,9
0,3000,28,2900,0.973859,8
0,3000,30,3100,0.987749,15
0,3000,32,3300,0.998101,27
0,3000,34,3500,1.00094,35
0,3000,36,3700,1.02014,18
0,3000,38,3900,1.05685,34
0,3000,40,4100,1.07239,64
0,3000,42,4300,1.07518,100
0,3000,44,4500,1.10342,100
0,3000,46,4700,1.10598,100
0,3000,48,4900,1.11656,100
0,3000,50,5100,1.12375,100
0,3000,52,5300,1.13271,100
0,3000,54,5500,1.14492,100
0,3000,56,5700,1.1469,100
0,3000,58,5900,1.1532,100
0,3000,60,6100,1.16392,100
0,3000,62,6300,1.16472,100
0,3000,64,6500,1.16476,100
0,3000,66,6700,1.17028,100
0,3000,68,6900,1.17281,100
0,3000,70,7100,1.17766,100
0,3000,72,7300,1.18061,100
0,3000,74,7500,1.18325,100
0,3000,76,7700,1.18542,100
0,3000,78,7900,1.18527,100
0,3000,80,8100,1.18666,100
0,3000,82,8300,1.18945,100
0,3000,84,8500,1.19072,100
0,3000,86,8700,1.19103,100
0,3000,88,8900,1.19867,100
0,3000,90,9100,1.19929,100
0,3000,92,9300,1.20009,100
0,3000,94,9500,1.20543,100
0,3000,96,9700,1.20568,100
0,3000,98,9900,1.20863,100
0,3000,100,10100,1.21001,100
0,3000,102,10300,1.20995,100
0,3000,104,10500,1.21039,100
0,3000,106,10700,1.21067,100
0,3000,108,10900,1.21272,100
0,3000,110,11100,1.21292,100
0,3000,112,11300,1.21307,100
0,3000,114,11500,1.21329,100
0,3000,116,11700,1.21432,100
0,3000,118,11900,1.21549,100
0,3000,120,12100,1.21635,100
0,3000,122,12300,1.21681,100
0,3000,124,12500,1.21775,100
0,3000,126,12700,1.21859,100
0,3000,128,12900,1.21905,100
0,3000,130,13100,1.21837,100
0,3000,132,13300,1.21928,100
0,3000,134,13500,1.21925,100
0,3000,136,13700,1.21993,100
0,3000,138,13900,1.22036,100
0,3000,140,14100,1.22158,100
0,3000,142,14300,1.22166,100
0,3000,144,14500,1.22232,100
0,3000,146,14700,1.22153,100
0,3000,148,14900,1.22155,100
0,3000,150,15100,1.22225,100
0,3000,152,15300,1.22206,100
0,3000,154,15500,1.22233,100
0,3000,156,15700,1.22291,100
0,3000,158,15900,1.22304,100
0,3000,160,16100,1.22309,100
0,3000,162,16300,1.22386,100
0,3000,164,16500,1.22364,100
0,3000,166,16700,1.22506,100
0,3000,168,16900,1.22464,100
0,3000,170,17100,1.22547,100
0,3000,172,17300,1.22626,100
0,3000,174,17500,1.22656,100
0,3000,176,17700,1.22786,100
0,3000,178,17900,1.22799,100
0,3000,180,18100,1.22789,100
0,3000,182,18300,1.22803,100
0,3000,184,18500,1.22847,100
0,3000,186,18700,1.22908,100
0,3000,188,18900,1.22885,100
0,3000,190,19100,1.22906,100
0,3000,192,19300,1.22913,100
0,3000,194,19500,1.22934,100
0,3000,196,19700,1.22967,100
0,3000,198,19900,1.22999,100
0,3000,199,20000,1.23029,100
1,3001,0,100,0.365234,1
1,3001,2,300,0.674474,1
1,3001,4,500,0.703342,2
1,3001,6,700,0.728555,1
1,3001,8,900,0.744432,1
1,3001,10,1100,0.760647,1
1,3001,12,1300,0.804094,1
1,3001,14,1500,0.814826,2
1,3001,16,1700,0.824041,3
1,3001,18,1900,0.865096,1
1,3001,20,2100,0.877695,1
1,3001,22,2300,0.895298,1
1,3001,24,2500,0.918442,1
1,3001,26,2700,0.933619,1
1,3001,28,2900,0.975983,1
1,3001,30,3100,0.981113,1
1,3001,32,3300,0.988823,8
1,3001,34,3500,1.01507,10
1,3001,36,3700,1.02725,26
1,3001,38,3900,1.04438,19
1,3001,40,4100,1.05932,55
1,3001,42,4300,1.06278,100
1,3001,44,4500,1.08221,100
1,3001,46,4700,1.09575,100
1,3001,48,4900,1.10512,100
1,3001,50,5100,1.11719,100
1,3001,52,5300,1.11857,100
1,3001,54,5500,1.12612,100
1,3001,56,5700,1.12892,100
1,3001,58,5900,1.13072,100
1,3001,60,6100,1.13285,100
1,3001,62,6300,1.1463,100
1,3001,64,6500,1.14701,100
1,3001,66,6700,1.14911,100
1,3001,68,6900,1.15301,100
1,3001,70,7100,1.15627,100
1,3001,72,7300,1.15976,100
1,3001,74,7500,1.15937,100
1,3001,76,7700,1.162,100
1,3001,78,7900,1.16274,100
1,3001,80,8100,1.16743,100
1,3001,82,8300,1.17579,100
1,3001,84,8500,1.17741,100
1,3001,86,8700,1.18072,100
1,3001,88,8900,1.18071,100
1,3001,90,9100,1.18228,100
1,3001,92,9300,1.18596,100
1,3001,94,9500,1.19036,100
1,3001,96,9700,1.19306,100
1,3001,98,9900,1.19429,100
1,3001,100,10100,1.19452,100
1,3001,102,10300,1.19517,100
1,3001,104,10500,1.19922,100
1,3001,106,10700,1.19939,100
1,3001,108,10900,1.19998,100
1,3001,110,11100,1.20042,100
1,3001,112,11300,1.2018,100
1,3001,114,11500,1.20525,100
1,3001,116,11700,1.20722,100
1,3001,118,11900,1.20707,100
1,3001,120,12100,1.20792,100
1,3001,122,12300,1.20824,100
1,3001,124,12500,1.20905,100
1,3001,126,12700,1.21193,100
1,3001,128,12900,1.2121,100
1,3001,130,13100,1.21234,100
1,3001,132,13300,1.21296,100
1,3001,134,13500,1.21266,100
1,3001,136,13700,1.21305,100
1,3001,138,13900,1.21446,100
1,3001,140,14100,1.21467,100
1,3001,142,14300,1.21595,100
1,3001,144,14500,1.21548,100
1,3001,146,14700,1.21553,100
1,3001,148,14900,1.21601,100
1,3001,150,15100,1.21672,100
1,3001,152,15300,1.21692,100
1,3001,154,15500,1.21759,100
1,3001,156,15700,1.21923,100
1,3001,158,15900,1.22051,100
1,3001,160,16100,1.22228,100
1,3001,162,16300,1.22192,100
1,3001,164,16500,1.22267,100
1,3001,166,16700,1.22326,100
1,3001,168,16900,1.22354,100
1,3001,170,17100,1.22447,100
