run,seed,hv,front_size,evals,gens,time_s,min_water,min_deficit,min_wet
0,3000,1.23029,100,20000,199,0.604738,11.649,0,1.23805
1,3001,1.22783,100,20000,199,0.60627,15.7593,0,1.34613
2,3002,1.22762,100,20000,199,0.611794,12.6707,0,1.27756
3,3003,1.22534,100,20000,199,0.605529,23.6496,0,1.43093
4,3004,1.23355,100,20000,199,0.615179,6.78432,0,1.22971
5,3005,1.233,100,20000,199,0.622933,8.35416,0,1.19292
6,3006,1.22681,100,20000,199,0.611451,18.4269,0,1.22756
7,3007,1.2331,100,20000,199,0.621989,10.1722,0,1.34467
8,3008,1.23294,100,20000,199,0.615828,11.0473,0,1.28661
9,3009,1.23001,100,20000,199,0.605322,11.2984,0,1.25782
10,3010,1.22912,100,20000,199,0.612965,16.2444,0,1.5258
11,3011,1.23191,100,20000,199,0.608473,11.7488,0,1.29922
12,3012,1.23313,100,20000,199,0.613947,15.0567,0,1.52074
13,3013,1.23348,100,20000,199,0.609699,8.26327,0,1.35061
14,3014,1.22703,100,20000,199,0.617124,13.5461,0,1.37771
15,3015,1.23157,100,20000,199,0.612645,16.2576,0,1.44267
16,3016,1.23098,100,20000,199,0.605615,11.4619,0,1.23415
17,3017,1.23347,100,20000,199,0.610221,10.8323,0,1.2464
18,3018,1.22731,100,20000,199,0.61154,14.697,0,1.3177
19,3019,1.23427,100,20000,199,0.618828,9.39412,0,1.32308
