run,seed,water,deficit,wet
0,3000,156.9,0,22.0045
0,3000,65.8251,226.544,3.02147
0,3000,156.568,0.0289205,29.3957
0,3000,162.108,0.541902,21.7218
0,3000,146.098,1.70986,23.7353
0,3000,102.171,95.5102,6.79029
0,3000,127.085,33.2679,12.792
0,3000,103.851,90.7444,6.99829
0,3000,159.939,1.38517,21.0004
0,3000,129.422,29.2094,13.2949
0,3000,150.94,0.56973,25.2285
0,3000,150.563,0.637881,26.3833
0,3000,72.2802,204.609,3.17625
0,3000,68.9618,211.382,3.05926
0,3000,119.557,49.4021,10.7087
0,3000,89.0737,134.652,4.88927
0,3000,88.8022,128.793,5.34037
0,3000,120.138,54.2878,9.9589
0,3000,118.141,60.2864,9.56211
0,3000,138.183,12.6763,17.3827
0,3000,125.563,36.9038,12.1979
0,3000,129.369,28.1428,13.7035
0,3000,153.13,0.338285,27.4742
0,3000,117.023,63.9196,9.12074
0,3000,143.19,4.30966,20.8038
0,3000,140.196,10.8354,18.0835
0,3000,105.773,86.5302,7.07072
0,3000,153.556,0.3,23.1943
0,3000,101.071,101.89,6.34413
0,3000,73.3623,197.798,3.19934
0,3000,125.831,34.5165,12.6751
0,3000,152.595,0.386406,26.1165
0,3000,116.106,67.3039,8.67908
0,3000,136.781,14.8289,16.9958
0,3000,95.4592,113.978,5.59976
0,3000,144.748,9.84754,18.4346
0,3000,95.8903,110.871,5.86382
0,3000,112.557,80.3594,7.17722
0,3000,107.853,76.8777,8.3203
0,3000,70.6245,209.883,3.17441
0,3000,126.912,48.34,10.6024
0,3000,112.976,72.5185,8.14212
0,3000,75.3631,191.745,3.42613
0,3000,161.847,0.943213,21.4122
0,3000,68.1555,218.454,3.16019
0,3000,102.918,93.2706,6.81367
0,3000,147.047,5.38838,19.789
0,3000,74.3092,194.091,3.24396
0,3000,123.243,39.4595,11.8503
0,3000,153.831,0.275194,27.8732
0,3000,77.0269,186.347,3.46342
0,3000,94.1253,118.308,5.39443
0,3000,141.697,6.79664,19.5013
0,3000,131.881,20.2917,15.8318
0,3000,90.5943,121.753,5.75981
0,3000,122.374,43.1903,11.3549
