run,seed,gen,evals,hv,front_size
0,3000,0,100,0.604495,1
0,3000,2,300,0.701184,1
0,3000,4,500,0.715365,1
0,3000,6,700,0.723712,1
0,3000,8,900,0.734016,1
0,3000,10,1100,0.74002,1
0,3000,12,1300,0.75217,1
0,3000,14,1500,0.756361,1
0,3000,16,1700,0.763593,1
0,3000,18,1900,0.780462,1
0,3000,20,2100,0.788197,1
0,3000,22,2300,0.790109,4
0,3000,24,2500,0.800139,2
0,3000,26,2700,0.811248,2
0,3000,28,2900,0.822586,2
0,3000,30,3100,0.827641,2
0,3000,32,3300,0.833401,3
0,3000,34,3500,0.84838,1
0,3000,36,3700,0.853426,2
0,3000,38,3900,0.864501,1
0,3000,40,4100,0.868177,2
0,3000,42,4300,0.878721,1
0,3000,44,4500,0.886782,1
0,3000,46,4700,0.894419,1
0,3000,48,4900,0.901145,1
0,3000,50,5100,0.907637,3
0,3000,52,5300,0.917631,2
0,3000,54,5500,0.932098,1
0,3000,56,5700,0.944054,1
0,3000,58,5900,0.946313,1
0,3000,60,6100,0.954732,1
0,3000,62,6300,0.961307,1
0,3000,64,6500,0.97341,2
0,3000,66,6700,0.977945,1
0,3000,68,6900,0.992303,1
0,3000,70,7100,0.99337,2
0,3000,72,7300,1.00113,3
0,3000,74,7500,1.00593,6
0,3000,76,7700,1.01123,11
0,3000,78,7900,1.01849,17
0,3000,80,8100,1.02356,20
0,3000,82,8300,1.03828,42
0,3000,84,8500,1.04067,40
0,3000,86,8700,1.04334,88
0,3000,88,8900,1.04897,100
0,3000,90,9100,1.05109,100
0,3000,92,9300,1.05634,100
0,3000,94,9500,1.06448,100
0,3000,96,9700,1.06681,100
0,3000,98,9900,1.07738,100
0,3000,100,10100,1.08284,100
0,3000,102,10300,1.0847,100
0,3000,104,10500,1.08984,100
0,3000,106,10700,1.09197,100
0,3000,108,10900,1.09939,100
0,3000,110,11100,1.10634,100
0,3000,112,11300,1.10862,100
0,3000,114,11500,1.1111,100
0,3000,116,11700,1.11348,100
0,3000,118,11900,1.11536,100
0,3000,120,12100,1.1207,100
0,3000,122,12300,1.12241,100
0,3000,124,12500,1.12515,100
0,3000,126,12700,1.12607,100
0,3000,128,12900,1.12727,100
0,3000,130,13100,1.12968,100
0,3000,132,13300,1.1316,100
0,3000,134,13500,1.13533,100
0,3000,136,13700,1.13687,100
0,3000,138,13900,1.14424,100
0,3000,140,14100,1.14642,100
0,3000,142,14300,1.1481,100
0,3000,144,14500,1.15025,100
0,3000,146,14700,1.15065,100
0,3000,148,14900,1.15137,100
0,3000,150,15100,1.15217,100
0,3000,152,15300,1.1537,100
0,3000,154,15500,1.15402,100
0,3000,156,15700,1.15449,100
0,3000,158,15900,1.15585,100
0,3000,160,16100,1.15799,100
0,3000,162,16300,1.15891,100
0,3000,164,16500,1.16074,100
0,3000,166,16700,1.16402,100
0,3000,168,16900,1.1644,100
0,3000,170,17100,1.16873,100
0,3000,172,17300,1.16885,100
0,3000,174,17500,1.17121,100
0,3000,176,17700,1.17204,100
0,3000,178,17900,1.17332,100
0,3000,180,18100,1.17695,100
0,3000,182,18300,1.1774,100
0,3000,184,18500,1.1781,100
0,3000,186,18700,1.17919,100
0,3000,188,18900,1.1801,100
0,3000,190,19100,1.18184,100
0,3000,192,19300,1.18362,100
0,3000,194,19500,1.18604,100
0,3000,196,19700,1.19017,100
0,3000,198,19900,1.19133,100
0,3000,199,20000,1.19131,100
1,3001,0,100,0.365234,1
1,3001,2,300,0.672927,1
1,3001,4,500,0.681231,1
1,3001,6,700,0.691099,1
1,3001,8,900,0.696699,1
1,3001,10,1100,0.707664,1
1,3001,12,1300,0.72377,1
1,3001,14,1500,0.727705,1
1,3001,16,1700,0.732498,3
1,3001,18,1900,0.751028,1
1,3001,20,2100,0.756644,1
1,3001,22,2300,0.767644,1
1,3001,24,2500,0.772532,1
1,3001,26,2700,0.781954,1
1,3001,28,2900,0.802428,1
1,3001,30,3100,0.811165,1
1,3001,32,3300,0.818228,1
1,3001,34,3500,0.824456,1
1,3001,36,3700,0.843957,1
1,3001,38,3900,0.854052,1
1,3001,40,4100,0.862979,1
1,3001,42,4300,0.873731,1
1,3001,44,4500,0.887033,1
1,3001,46,4700,0.887941,2
1,3001,48,4900,0.900377,1
1,3001,50,5100,0.906388,4
1,3001,52,5300,0.910632,2
1,3001,54,5500,0.92259,1
1,3001,56,5700,0.929612,3
1,3001,58,5900,0.948206,2
1,3001,60,6100,0.953171,3
1,3001,62,6300,0.95666,5
1,3001,64,6500,0.968392,1
1,3001,66,6700,0.971228,5
1,3001,68,6900,0.975415,2
1,3001,70,7100,0.98314,4
1,3001,72,7300,0.989247,8
1,3001,74,7500,0.994256,5
1,3001,76,7700,1.00233,5
1,3001,78,7900,1.01169,10
1,3001,80,8100,1.02062,8
1,3001,82,8300,1.02648,15
1,3001,84,8500,1.02896,34
1,3001,86,8700,1.03398,64
1,3001,88,8900,1.04152,100
1,3001,90,9100,1.05211,100
1,3001,92,9300,1.05406,100
1,3001,94,9500,1.06195,100
1,3001,96,9700,1.07484,100
1,3001,98,9900,1.07942,100
1,3001,100,10100,1.0826,100
1,3001,102,10300,1.085,100
1,3001,104,10500,1.09266,100
1,3001,106,10700,1.09523,100
