run,seed,hv,front_size,evals,gens,time_s,min_water,min_deficit,min_wet
0,3000,1.19131,100,20000,199,0.532309,65.8251,0,3.02147
1,3001,1.20199,100,20000,199,0.533199,52.6543,0,2.85355
2,3002,1.19636,100,20000,199,0.545028,60.8895,0,3.03714
3,3003,1.18669,100,20000,199,0.543661,66.1174,0,2.81288
4,3004,1.18399,100,20000,199,0.562394,67.0607,0,2.72195
5,3005,1.19699,100,20000,199,0.568486,60.9563,0,4.07901
6,3006,1.2073,100,20000,199,0.566798,46.6667,0,2.63019
7,3007,1.1995,100,20000,199,0.569364,57.5753,0,2.78288
8,3008,1.17808,100,20000,199,0.568835,73.8468,0,2.24679
9,3009,1.17631,100,20000,199,0.545186,73.8248,0,2.59852
10,3010,1.19476,100,20000,199,0.559421,63.4454,0,2.36289
11,3011,1.18181,100,20000,199,0.547281,73.4514,0,2.38234
12,3012,1.19812,100,20000,199,0.557159,58.2299,0,3.54119
13,3013,1.19529,100,20000,199,0.562804,60.0607,0,2.50239
14,3014,1.20294,100,20000,199,0.561665,53.2527,0,2.18522
15,3015,1.18522,100,20000,199,0.566487,68.2126,0,2.47662
16,3016,1.19243,100,20000,199,0.55279,64.2525,0,3.14107
17,3017,1.17842,100,20000,199,0.559465,73.6991,0,2.23268
18,3018,1.18883,100,20000,199,0.56633,67.2005,0,2.76923
19,3019,1.19402,100,20000,199,0.578958,55.9705,0,2.17393
