run,seed,water,deficit,wet
0,3000,233.597,0,64.5736
0,3000,229.733,0,66.6013
1,3001,222.552,0,52.6922
2,3002,223.711,0,55.4038
3,3003,228.21,0,58.3778
3,3003,230.665,0,54.5356
3,3003,212.733,1.01342,49.6116
4,3004,230.303,0,69.5622
4,3004,238.036,0,65.2397
4,3004,222.463,5.49023,62.8392
4,3004,230.999,0,66.8556
4,3004,205.569,11.2899,48.1861
5,3005,218.055,0,53.9056
6,3006,236.512,0,62.288
6,3006,233.499,0,63.3144
6,3006,228.161,0,65.9669
7,3007,210.411,0,50.7993
8,3008,236.563,0,62.4729
8,3008,230.34,0.228689,69.2684
9,3009,229.818,0,70.1971
9,3009,231.7,0,65.943
9,3009,236.041,0,65.6906
9,3009,235.143,0,65.9275
10,3010,248.059,0,69.9407
10,3010,220.329,1.07855,57.6326
10,3010,242.67,0,72.3742
10,3010,242.575,0,75.8462
11,3011,229.824,0,64.1465
11,3011,232.7,0,60.1312
12,3012,229.338,0,62.4987
13,3013,217.047,1.03488,53.7387
13,3013,227.231,0,56.1928
14,3014,232.078,0,65.5626
15,3015,229.245,0.391634,64.5597
15,3015,231.037,0,60.5312
15,3015,226.866,10.0163,57.7113
16,3016,228.307,0,57.5968
17,3017,230.069,0,64.3616
17,3017,201.922,0.345325,44.771
17,3017,238.314,0,63.1097
18,3018,222.326,0,55.8703
19,3019,211.422,19.7513,47.1785
19,3019,219.771,0,52.551
