run,seed,hv,front_size,evals,gens,time_s,min_water,min_deficit,min_wet
0,3000,0.823119,2,20000,200,0.1475,229.733,0,64.5736
1,3001,0.858629,1,20000,200,0.14694,222.552,0,52.6922
2,3002,0.851158,1,20000,200,0.146627,223.711,0,55.4038
3,3003,0.8793,3,20000,200,0.146722,212.733,0,49.6116
4,3004,0.891584,5,20000,200,0.148883,205.569,0,48.1861
5,3005,0.86241,1,20000,200,0.146852,218.055,0,53.9056
6,3006,0.83011,3,20000,200,0.147944,228.161,0,62.288
7,3007,0.880086,1,20000,200,0.146361,210.411,0,50.7993
8,3008,0.826613,2,20000,200,0.145047,230.34,0,62.4729
9,3009,0.820622,4,20000,200,0.151609,229.818,0,65.6906
10,3010,0.85103,4,20000,200,0.14713,220.329,0,57.6326
11,3011,0.832419,2,20000,200,0.145315,229.824,0,60.1312
12,3012,0.828105,1,20000,200,0.146268,229.338,0,62.4987
13,3013,0.86417,2,20000,200,0.147349,217.047,0,53.7387
14,3014,0.817812,1,20000,200,0.144872,232.078,0,65.5626
15,3015,0.841603,3,20000,200,0.147994,226.866,0,57.7113
16,3016,0.839979,1,20000,200,0.14594,228.307,0,57.5968
17,3017,0.905604,3,20000,200,0.145124,201.922,0,44.771
18,3018,0.852114,1,20000,200,0.144907,222.326,0,55.8703
19,3019,0.885778,2,20000,200,0.147426,211.422,0,47.1785
