run,seed,water,deficit,wet
0,3000,79.0583,247.89,2.1625
0,3000,152.317,4.22767,18.6105
0,3000,156.859,0.00966812,18.9526
0,3000,387.729,0,181.127
0,3000,0.00357808,537.804,1.152
0,3000,127.442,11.2074,17.6841
0,3000,142.611,2.57308,24.5887
0,3000,0.00382939,537.806,1.15195
0,3000,121.025,17.2613,20.1922
0,3000,0.013893,537.752,1.15222
1,3001,86.2745,195.075,2.1625
1,3001,152.411,3.82607,18.1871
1,3001,156.894,0.0164554,22.2756
1,3001,369.805,0,169.733
1,3001,0.000498597,537.82,1.15185
1,3001,127.46,11.0077,17.8656
1,3001,142.611,2.57308,23.6155
1,3001,0.00197488,537.815,1.15189
1,3001,121.18,17.0491,19.9676
1,3001,0.00164409,537.816,1.15188
2,3002,59.5609,408.928,1.26681
2,3002,150.548,6.35957,17.7099
2,3002,157.113,0.0155958,18.5732
2,3002,399.076,0,189.88
2,3002,0.000506251,537.82,1.15186
2,3002,127.525,11.2334,17.8186
2,3002,142.611,2.57308,22.8451
2,3002,0.001183,537.816,1.1519
2,3002,119.914,18.7937,19.0862
2,3002,0.000402509,537.821,1.15186
3,3003,83.0709,258.798,2.1625
3,3003,154.212,2.57756,18.7328
3,3003,157.041,0.185558,19.204
3,3003,352.656,0,150.724
3,3003,0.00521906,537.796,1.15202
3,3003,127.121,12.7007,17.0973
3,3003,142.611,2.57306,25.0905
3,3003,0.00192417,537.814,1.15191
3,3003,119.772,18.9889,19.9409
3,3003,0.00317711,537.807,1.15194
4,3004,73.4425,252.262,2.1625
4,3004,155.845,2.37081,17.34
4,3004,156.703,0.165616,20.8684
4,3004,390.775,0,178.831
4,3004,0.000891478,537.818,1.15188
4,3004,126.915,12.7102,17.0564
4,3004,142.611,2.57308,24.6547
4,3004,0.00107844,537.818,1.15188
4,3004,120.637,17.7963,19.4252
4,3004,7.95751e-05,537.822,1.15185
5,3005,46.3402,425.776,1.17313
5,3005,152.61,3.43044,18.3793
5,3005,156.881,0.0422683,22.529
5,3005,359.943,0,158.032
5,3005,0.000632599,537.819,1.15189
5,3005,127.317,11.4512,18.1345
5,3005,142.611,2.57308,24.3899
5,3005,0.00186773,537.814,1.15189
5,3005,120.206,18.3912,20.1234
5,3005,0.000464541,537.821,1.15186
6,3006,96.9016,179.938,2.1625
6,3006,152.625,3.72147,18.2317
6,3006,156.885,0.0357461,21.5241
6,3006,328.105,0,136.539
6,3006,0.00256744,537.813,1.15189
6,3006,127.835,10.7697,18.0858
6,3006,142.611,2.57313,27.5996
6,3006,0.00284136,537.811,1.15192
6,3006,121.388,16.766,19.4125
6,3006,0.00503456,537.797,1.152
7,3007,83.187,225.917,2.1625
7,3007,151.19,6.24993,17.7169
7,3007,157.402,0.0267135,21.6034
7,3007,401.218,0,189.171
7,3007,0.00466186,537.8,1.15206
7,3007,127.75,10.8631,16.7356
7,3007,142.611,2.57301,25.244
7,3007,0.00232796,537.811,1.15196
7,3007,119.905,18.806,19.5077
7,3007,0.00408145,537.804,1.15201
8,3008,54.4346,428.885,1.15185
8,3008,155.251,0.915133,17.8337
8,3008,156.889,0.137934,20.4478
8,3008,373.509,0,169.436
8,3008,0.00286688,537.811,1.15187
8,3008,127.234,11.6026,17.7757
8,3008,142.611,2.57309,23.4131
8,3008,0.000795617,537.818,1.15188
8,3008,121.205,17.0659,19.8362
8,3008,0.017523,537.745,1.15221
9,3009,92.4382,231.666,2.1625
9,3009,151.184,6.36961,17.9033
9,3009,156.796,0.0473594,18.9167
9,3009,379.475,0,172.105
9,3009,0.010211,537.771,1.15226
9,3009,127.808,10.6002,18.0674
9,3009,142.611,2.57308,23.6119
9,3009,0.00334371,537.807,1.15196
9,3009,119.833,18.9061,19.2025
9,3009,0.00084065,537.819,1.15188
10,3010,88.6851,259.249,2.1625
10,3010,151.524,6.01807,18.0004
10,3010,156.93,0.0248882,18.4076
10,3010,419.806,0,208.526
10,3010,0.00626069,537.792,1.15202
10,3010,127.331,11.2631,18.0125
10,3010,142.611,2.57308,24.9067
10,3010,0.00438346,537.8,1.15202
10,3010,121.127,17.1211,21.3383
10,3010,0.0214595,537.72,1.15252
11,3011,94.583,193.693,2.1625
11,3011,151.319,6.53245,17.6961
11,3011,156.912,0.0398502,19.909
11,3011,396.273,0,190.611
11,3011,0.00073782,537.819,1.15188
11,3011,128.241,9.95553,17.2072
11,3011,142.611,2.57308,25.7225
11,3011,0.00238046,537.812,1.15192
11,3011,119.991,18.6875,20.0683
11,3011,0.00152267,537.816,1.15188
12,3012,91.8547,196.526,2.1625
12,3012,151.495,6.00386,18.0138
12,3012,156.891,0.0230343,20.7876
12,3012,342.403,0,144.179
12,3012,0.00170403,537.813,1.15189
12,3012,127.595,11.1448,17.6355
12,3012,142.611,2.57306,25.9682
12,3012,0.00642785,537.787,1.15207
12,3012,121.144,17.0988,20.7387
12,3012,0.00271895,537.808,1.15195
13,3013,89.758,197.824,2.1625
13,3013,151.956,4.45633,18.1165
13,3013,156.896,0.0665341,21.8703
13,3013,359.417,0,159.659
13,3013,0.00205986,537.813,1.1519
13,3013,128.2,9.98878,17.0211
13,3013,142.611,2.57307,27.0291
13,3013,0.00058658,537.82,1.15185
13,3013,120.818,17.548,19.4937
14,3014,86.9186,200.443,2.1625
14,3014,151.552,6.0066,17.9745
14,3014,156.858,0.0640677,20.6196
14,3014,305.966,0,115.165
14,3014,0.00226043,537.81,1.15193
14,3014,126.4,13.291,16.9103
14,3014,142.611,2.57307,23.1849
14,3014,0.00053949,537.82,1.15187
14,3014,120.869,17.4777,20.3968
14,3014,0.00239569,537.811,1.1519
15,3015,87.6418,225.068,2.1625
15,3015,151.728,4.75125,18.3218
15,3015,156.926,0.0841403,19.192
15,3015,330.916,0,142.756
15,3015,0.00108525,537.818,1.15187
15,3015,127.239,11.4379,18.0887
15,3015,142.611,2.57308,26.4623
15,3015,0.00808867,537.778,1.1522
15,3015,120.361,18.1766,20.9569
15,3015,0.0131589,537.766,1.15211
16,3016,53.9553,420.376,1.15185
16,3016,150.557,7.0367,17.7648
16,3016,156.892,0.0149538,18.9122
16,3016,453.491,0,226.255
16,3016,0.00097274,537.818,1.15188
16,3016,127.27,12.7899,17.0492
16,3016,142.611,2.57307,27.4115
16,3016,0.000549397,537.82,1.15186
16,3016,120.395,18.1307,21.0272
16,3016,0.00701601,537.789,1.15207
17,3017,96.6998,199.467,2.1625
17,3017,152.544,3.49044,18.2463
17,3017,156.943,0.0908294,20.3825
17,3017,373.818,0,172.596
17,3017,0.00286657,537.811,1.15189
17,3017,127.168,12.1767,17.9935
17,3017,142.611,2.57308,24.9872
17,3017,0.00277543,537.808,1.15194
17,3017,120.074,18.5734,19.3827
17,3017,0.00189391,537.813,1.15189
18,3018,89.084,195.666,2.1625
18,3018,151.92,3.32394,18.2704
18,3018,156.928,0.0294569,20.8938
18,3018,333.301,0,145.181
18,3018,0.00338355,537.806,1.15196
18,3018,126.37,12.9973,17.2699
18,3018,142.611,2.57308,23.8852
18,3018,0.0171389,537.733,1.15247
18,3018,119.887,18.8322,19.085
18,3018,0.00601058,537.795,1.15203
19,3019,39.9059,449.516,1.15185
19,3019,152.401,3.3939,18.2425
