run,seed,gen,evals,hv,front_size
0,3000,1,20000,0.695844,1
0,3000,2,40000,1.12442,2
0,3000,3,60000,1.13179,3
0,3000,4,80000,1.13179,4
0,3000,5,100000,1.14361,5
0,3000,6,120000,1.15992,6
0,3000,7,140000,1.16016,7
0,3000,8,160000,1.16016,8
0,3000,9,180000,1.16401,9
0,3000,10,200000,1.16403,10
1,3001,1,20000,0.795002,1
1,3001,2,40000,1.13167,2
1,3001,3,60000,1.13827,3
1,3001,4,80000,1.13828,4
1,3001,5,100000,1.15115,5
1,3001,6,120000,1.16342,6
1,3001,7,140000,1.16364,7
1,3001,8,160000,1.16365,8
1,3001,9,180000,1.16656,9
1,3001,10,200000,1.16656,10
2,3002,1,20000,0.380249,1
2,3002,2,40000,1.09166,2
2,3002,3,60000,1.10274,3
2,3002,4,80000,1.10275,4
2,3002,5,100000,1.1115,5
2,3002,6,120000,1.13548,6
2,3002,7,140000,1.13572,7
2,3002,8,160000,1.13572,8
2,3002,9,180000,1.14348,9
2,3002,10,200000,1.14348,10
3,3003,1,20000,0.670139,1
3,3003,2,40000,1.11941,2
3,3003,3,60000,1.12358,3
3,3003,4,80000,1.12374,4
3,3003,5,100000,1.13614,5
3,3003,6,120000,1.15526,6
3,3003,7,140000,1.15556,7
3,3003,8,160000,1.15557,8
3,3003,9,180000,1.16016,9
3,3003,10,200000,1.16016,10
4,3004,1,20000,0.692165,1
4,3004,2,40000,1.13068,2
4,3004,3,60000,1.13451,3
4,3004,4,80000,1.13463,4
4,3004,5,100000,1.14562,5
4,3004,6,120000,1.16408,6
4,3004,7,140000,1.16442,7
4,3004,8,160000,1.16442,8
4,3004,9,180000,1.16827,9
4,3004,10,200000,1.16827,10
5,3005,1,20000,0.351213,1
5,3005,2,40000,1.09415,2
5,3005,3,60000,1.10001,3
5,3005,4,80000,1.10005,4
5,3005,5,100000,1.10683,5
5,3005,6,120000,1.13468,6
5,3005,7,140000,1.13492,7
5,3005,8,160000,1.13492,8
5,3005,9,180000,1.14246,9
5,3005,10,200000,1.14246,10
6,3006,1,20000,0.813477,1
6,3006,2,40000,1.12355,2
6,3006,3,60000,1.12995,3
6,3006,4,80000,1.12998,4
6,3006,5,100000,1.1444,5
6,3006,6,120000,1.15548,6
6,3006,7,140000,1.1557,7
6,3006,8,160000,1.1557,8
6,3006,9,180000,1.15845,9
6,3006,10,200000,1.15845,10
7,3007,1,20000,0.736231,1
7,3007,2,40000,1.12405,2
7,3007,3,60000,1.13484,3
7,3007,4,80000,1.13485,4
7,3007,5,100000,1.14727,5
7,3007,6,120000,1.16137,6
7,3007,7,140000,1.16161,7
7,3007,8,160000,1.16161,8
7,3007,9,180000,1.16585,9
7,3007,10,200000,1.16585,10
8,3008,1,20000,0.341063,1
8,3008,2,40000,1.09188,2
8,3008,3,60000,1.09323,3
8,3008,4,80000,1.09334,4
8,3008,5,100000,1.1013,5
8,3008,6,120000,1.13203,6
8,3008,7,140000,1.13232,7
8,3008,8,160000,1.13232,8
8,3008,9,180000,1.1388,9
8,3008,10,200000,1.1388,10
9,3009,1,20000,0.715621,1
9,3009,2,40000,1.11321,2
9,3009,3,60000,1.12425,3
9,3009,4,80000,1.12428,4
9,3009,5,100000,1.13806,5
9,3009,6,120000,1.15159,6
9,3009,7,140000,1.15182,7
9,3009,8,160000,1.15182,8
9,3009,9,180000,1.15625,9
9,3009,10,200000,1.15625,10
10,3010,1,20000,0.664165,1
10,3010,2,40000,1.11073,2
10,3010,3,60000,1.1212,3
10,3010,4,80000,1.12121,4
10,3010,5,100000,1.13444,5
10,3010,6,120000,1.15015,6
10,3010,7,140000,1.15039,7
10,3010,8,160000,1.15039,8
10,3010,9,180000,1.1543,9
10,3010,10,200000,1.15431,10
11,3011,1,20000,0.788801,1
11,3011,2,40000,1.11918,2
11,3011,3,60000,1.13049,3
11,3011,4,80000,1.13052,4
11,3011,5,100000,1.14459,5
11,3011,6,120000,1.15608,6
11,3011,7,140000,1.1563,7
11,3011,8,160000,1.1563,8
11,3011,9,180000,1.16007,9
11,3011,10,200000,1.16007,10
12,3012,1,20000,0.786111,1
12,3012,2,40000,1.12209,2
12,3012,3,60000,1.13249,3
12,3012,4,80000,1.13251,4
12,3012,5,100000,1.14619,5
12,3012,6,120000,1.15808,6
12,3012,7,140000,1.15833,7
12,3012,8,160000,1.15833,8
12,3012,9,180000,1.16134,9
12,3012,10,200000,1.16134,10
13,3013,1,20000,0.785767,1
13,3013,2,40000,1.12645,2
13,3013,3,60000,1.13406,3
13,3013,4,80000,1.13412,4
13,3013,5,100000,1.14749,5
13,3013,6,120000,1.16004,6
13,3013,7,140000,1.16024,7
13,3013,8,160000,1.16024,8
13,3013,9,180000,1.16371,9
13,3013,10,200000,1.16371,9
14,3014,1,20000,0.783557,1
14,3014,2,40000,1.12644,2
14,3014,3,60000,1.13678,3
14,3014,4,80000,1.13684,4
14,3014,5,100000,1.1498,5
14,3014,6,120000,1.16297,6
14,3014,7,140000,1.16326,7
14,3014,8,160000,1.16326,8
14,3014,9,180000,1.1659,9
14,3014,10,200000,1.1659,10
15,3015,1,20000,0.73351,1
15,3015,2,40000,1.12162,2
15,3015,3,60000,1.12976,3
15,3015,4,80000,1.12984,4
15,3015,5,100000,1.1429,5
15,3015,6,120000,1.1568,6
15,3015,7,140000,1.15704,7
15,3015,8,160000,1.15705,8
15,3015,9,180000,1.16075,9
15,3015,10,200000,1.16075,10
16,3016,1,20000,0.359122,1
16,3016,2,40000,1.08947,2
16,3016,3,60000,1.10172,3
16,3016,4,80000,1.10173,4
16,3016,5,100000,1.10963,5
16,3016,6,120000,1.13572,6
16,3016,7,140000,1.136,7
16,3016,8,160000,1.136,8
16,3016,9,180000,1.14319,9
16,3016,10,200000,1.1432,10
17,3017,1,20000,0.775102,1
17,3017,2,40000,1.11998,2
17,3017,3,60000,1.12589,3
17,3017,4,80000,1.12596,4
17,3017,5,100000,1.14035,5
17,3017,6,120000,1.15299,6
17,3017,7,140000,1.15324,7
17,3017,8,160000,1.15324,8
17,3017,9,180000,1.15659,9
17,3017,10,200000,1.15659,10
18,3018,1,20000,0.790798,1
18,3018,2,40000,1.12957,2
18,3018,3,60000,1.1353,3
18,3018,4,80000,1.13532,4
18,3018,5,100000,1.1486,5
18,3018,6,120000,1.16159,6
18,3018,7,140000,1.16185,7
18,3018,8,160000,1.16186,8
18,3018,9,180000,1.16486,9
18,3018,10,200000,1.16486,10
19,3019,1,20000,0.303436,1
19,3019,2,40000,1.08869,2
19,3019,3,60000,1.09459,3
19,3019,4,80000,1.09459,3
19,3019,5,100000,1.10043,4
19,3019,6,120000,1.12905,5
19,3019,7,140000,1.12928,6
19,3019,8,160000,1.12928,7
19,3019,9,180000,1.13778,8
19,3019,10,200000,1.13778,9
