i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,83.0709,258.798,2.1625,0,3.14437e-15,0,3.52534e-15,0,2.42322,3.08769,0.390675,0.425966,1.74761,0.0060654,0,3.37369,9.65795,0.102589,1.49514,8.57522,2.2635,1.74789,0,0.738397,1.85717,4.91376,1.01912,4.02447,1.83571,6.51658,15.1249,7.02577,4.7178
1,154.212,2.57756,18.7328,17.8399,2.8731,0.692667,22.6464,16.8409,9.88023e-09,0.0191215,0.480102,2.05466,0.000160908,1.18367,1.46548,10.5863,0.190522,10.5764,4.59397,1.81003,0.00067031,18.7089,0.000160598,3.98887,2.63769,3.06819,6.3685,6.91103,7.15491,0.794563,5.94232,0.818375,3.96459
2,157.041,0.185558,19.204,10.5578,12.4356,24.9295,7.64622,0.525922,0.591759,0.000587405,1.53652,1.45663,5.31623,0.292476,12.9444,0.124965,1.98798,12.0846,2.18942,6.59469,8.29725,2.71387,0.079277,5.19958,6.28409,0.451377,5.41652,5.85724,7.69605,3.32602,2.44473,7.79408,0.265402
3,352.656,0,150.724,9.22005,24.5071,16.8355,17.581,7.50317,1.97663,2.56306,6.80665,15.0623,14.8075,5.90415,0.814469,16.7072,17.3203,18.5685,17.509,14.7109,3.77548,16.9158,2.23921,17.7824,24.8883,13.053,3.44376,21.1281,2.6807,10.5536,3.61232,1.28699,22.8987
4,0.00521906,537.796,1.15202,0,7.3763e-08,7.57589e-06,0.00149757,3.70729e-07,9.08836e-07,0.000435533,0.000128549,0.000712917,2.22578e-06,6.77488e-11,1.12103e-07,1.27085e-13,0,0.00013275,4.42626e-07,1.53614e-05,0.000480211,0.000312399,0.000128704,0.000185874,0.000164502,5.24332e-06,0.000554502,3.58578e-09,0,9.57119e-10,0.000329865,2.33925e-07,0.000123131
5,127.121,12.7007,17.0973,14.466,0.000375473,5.73017,0.862056,3.82634,0.00186385,12.1137,0.982071,12.3576,4.97819,5.0199,5.88306,6.91952,7.07997,8.22748,4.08929,6.61875,4.72153,1.31544,2.52183,6.3793e-09,6.77676,6.93802,5.02027,0.460568,0.206527,0.00169681,0.0015826,4.75318e-10,2.30042e-06
6,142.611,2.57306,25.0905,0.0966864,10.9848,0.0379018,15.6199,0.026352,0.00239139,13.1576,12.5006,0.291838,14.6943,9.54491,5.64772,8.63874,0.218759,4.32579,0.141667,7.04084,20.2355,1.83538,0.0702458,0.985911,6.69019,3.07406,0.271651,0.671849,5.80561,2.46585e-06,6.97689e-05,0,0
7,0.00192417,537.814,1.15191,6.27843e-06,1.08074e-06,2.52872e-06,2.76367e-09,2.93516e-05,8.16909e-06,3.84655e-08,2.42395e-05,4.01945e-07,8.27158e-11,0,0.000327025,7.37693e-07,0,5.93709e-05,2.61506e-06,0,0.000488432,9.83366e-06,0.000297563,7.13859e-06,1.03629e-05,1.60356e-08,0.000299663,0,6.07662e-07,8.50327e-05,9.97411e-05,0.000163741,2.02054e-07
8,119.772,18.9889,19.9409,19.5184,7.64267,0.113431,0,12.1923,14.1518,1.37879,0.401015,3.59115,0.170365,0.0641916,9.38323,5.05121,8.40788,7.54367,4.81151,6.95526,3.41303,5.53677,7.75952,0.0160019,1.66923,4.19322e-05,0.000216166,0.000189196,0,1.62448e-07,0,3.39209e-06,3.68836e-05
9,0.00317711,537.807,1.15194,1.90215e-05,0.00019433,6.23457e-05,6.09276e-08,2.39887e-05,1.99459e-08,0,0.000448653,0,6.91499e-07,9.87015e-05,0.000357969,7.75451e-06,0.000975301,6.29723e-09,7.86906e-10,6.38009e-09,1.31457e-09,2.51218e-06,8.12336e-09,0.000168827,4.59722e-07,0.000207801,3.52488e-06,0.000418948,0,9.63561e-09,0,6.52665e-05,0.000120907
