run,seed,hv,front_size,evals,gens,time_s,min_water,min_deficit,min_wet
0,3000,1.16403,10,200000,10,2.14831,0.00357808,0,1.15195
1,3001,1.16656,10,200000,10,2.14719,0.000498597,0,1.15185
2,3002,1.14348,10,200000,10,2.13995,0.000402509,0,1.15186
3,3003,1.16016,10,200000,10,2.14206,0.00192417,0,1.15191
4,3004,1.16827,10,200000,10,2.14019,7.95751e-05,0,1.15185
5,3005,1.14246,10,200000,10,2.14417,0.000464541,0,1.15186
6,3006,1.15845,10,200000,10,2.13805,0.00256744,0,1.15189
7,3007,1.16585,10,200000,10,2.14278,0.00232796,0,1.15196
8,3008,1.1388,10,200000,10,2.14246,0.000795617,0,1.15185
9,3009,1.15625,10,200000,10,2.13995,0.00084065,0,1.15188
10,3010,1.15431,10,200000,10,2.15068,0.00438346,0,1.15202
11,3011,1.16007,10,200000,10,2.20604,0.00073782,0,1.15188
12,3012,1.16134,10,200000,10,2.15465,0.00170403,0,1.15189
13,3013,1.16371,9,200000,10,2.13644,0.00058658,0,1.15185
14,3014,1.1659,10,200000,10,2.12542,0.00053949,0,1.15187
15,3015,1.16075,10,200000,10,2.1181,0.00108525,0,1.15187
16,3016,1.1432,10,200000,10,2.13653,0.000549397,0,1.15185
17,3017,1.15659,10,200000,10,2.11712,0.00189391,0,1.15189
18,3018,1.16486,10,200000,10,2.16551,0.00338355,0,1.15196
19,3019,1.13778,9,200000,10,2.13007,0.000737855,0,1.15185
