run,seed,water,deficit,wet
0,3000,184.178,0,39.7826
0,3000,180.319,9.17208,28.9139
1,3001,209.806,0.140567,47.6192
1,3001,162.741,11.2728,22.2711
1,3001,209.424,0,49.1644
2,3002,190.668,0,36.2147
2,3002,181.172,29.4137,27.454
3,3003,172.055,0.784387,26.2658
3,3003,198.491,0,44.0069
3,3003,163.87,5.48403,28.5635
4,3004,180.817,0.267953,28.7739
4,3004,200.914,0,39.076
5,3005,211.48,0,44.3582
5,3005,205.685,0.244352,44.1025
5,3005,209.734,0,46.0335
5,3005,183.884,15.6689,28.4159
6,3006,192.283,0.726848,38.3553
6,3006,194.543,0.7556,37.0367
6,3006,223.485,0,57.8206
6,3006,166.473,33.9772,22.8271
7,3007,186.315,0.117932,32.1529
7,3007,212.127,0.00171561,52.2154
7,3007,221.098,0,56.9809
8,3008,196.134,0,42.2639
8,3008,197.412,0,39.6904
8,3008,201.021,4.52231,37.2906
9,3009,202.112,0,39.474
9,3009,182.595,0.0852794,31.3954
10,3010,208.353,0,48.7271
10,3010,193.099,3.27094,41.7663
10,3010,215.342,0.180543,46.8536
11,3011,195.058,0,35.9064
11,3011,194.052,2.06942,33.1397
12,3012,206.749,0,42.9605
13,3013,186.296,7.79534,31.0465
13,3013,181.696,0,37.8567
14,3014,206.899,0,44.9036
14,3014,165.053,7.13082,24.792
15,3015,227.792,0,52.6567
15,3015,182.942,2.531,30.8091
15,3015,207.982,0.143935,47.353
15,3015,200.383,0.23102,40.1672
15,3015,216.929,0,57.7816
16,3016,172.426,7.56123,29.5207
16,3016,183.048,0,29.9314
17,3017,201.498,0,39.4744
18,3018,200.795,0,44.5596
18,3018,191.954,0,48.7846
19,3019,221.834,0,54.7083
19,3019,219.709,0,55.3596
19,3019,203.644,0.0295521,43.0133
19,3019,194.314,4.67804,35.4441
19,3019,200.471,0.0560915,41.1647
