run,seed,gen,evals,hv,front_size
0,3000,1,2000,0.873365,1
0,3000,2,4000,0.873365,1
0,3000,3,6000,0.873365,1
0,3000,4,8000,0.873365,1
0,3000,5,10000,0.942853,1
0,3000,6,12000,0.973067,2
0,3000,7,14000,0.973067,2
0,3000,8,16000,0.973067,2
0,3000,9,18000,0.973067,2
0,3000,10,20000,0.973067,2
1,3001,1,2000,0.860092,1
1,3001,2,4000,0.88793,2
1,3001,3,6000,0.88793,2
1,3001,4,8000,0.88793,2
1,3001,5,10000,0.887934,2
1,3001,6,12000,1.01335,3
1,3001,7,14000,1.01335,3
1,3001,8,16000,1.01335,4
1,3001,9,18000,1.01335,4
1,3001,10,20000,1.01337,3
2,3002,1,2000,0.866736,1
2,3002,2,4000,0.87443,2
2,3002,3,6000,0.87443,2
2,3002,4,8000,0.87443,2
2,3002,5,10000,0.882728,3
2,3002,6,12000,0.941384,1
2,3002,7,14000,0.941384,1
2,3002,8,16000,0.97391,2
2,3002,9,18000,0.97391,2
2,3002,10,20000,0.97391,2
3,3003,1,2000,0.815289,1
3,3003,2,4000,0.991961,2
3,3003,3,6000,0.991973,3
3,3003,4,8000,0.991973,3
3,3003,5,10000,0.992089,2
3,3003,6,12000,0.992089,2
3,3003,7,14000,0.992089,2
3,3003,8,16000,1.00435,3
3,3003,9,18000,1.00435,3
3,3003,10,20000,1.00435,3
4,3004,1,2000,0.773148,1
4,3004,2,4000,0.870431,1
4,3004,3,6000,0.973067,2
4,3004,4,8000,0.973067,2
4,3004,5,10000,0.97309,2
4,3004,6,12000,0.97309,2
4,3004,7,14000,0.97309,2
4,3004,8,16000,0.97309,2
4,3004,9,18000,0.97309,2
4,3004,10,20000,0.97309,2
5,3005,1,2000,0.805076,1
5,3005,2,4000,0.892662,1
5,3005,3,6000,0.901655,2
5,3005,4,8000,0.901655,2
5,3005,5,10000,0.901655,2
5,3005,6,12000,0.901655,2
5,3005,7,14000,0.901656,3
5,3005,8,16000,0.901656,3
5,3005,9,18000,0.901656,3
5,3005,10,20000,0.967506,4
6,3006,1,2000,0.933004,1
6,3006,2,4000,0.934014,2
6,3006,3,6000,0.936978,3
6,3006,4,8000,0.936978,3
6,3006,5,10000,0.937007,3
6,3006,6,12000,0.937007,3
6,3006,7,14000,0.937007,3
6,3006,8,16000,0.937007,3
6,3006,9,18000,0.937007,3
6,3006,10,20000,1.00454,4
7,3007,1,2000,0.956914,1
7,3007,2,4000,0.95708,2
7,3007,3,6000,0.957088,3
7,3007,4,8000,0.957088,3
7,3007,5,10000,0.957088,3
7,3007,6,12000,0.957088,3
7,3007,7,14000,0.957088,3
7,3007,8,16000,0.957088,3
7,3007,9,18000,0.957088,3
7,3007,10,20000,0.957088,3
8,3008,1,2000,0.852405,1
8,3008,2,4000,0.905205,2
8,3008,3,6000,0.919692,1
8,3008,4,8000,0.919692,1
8,3008,5,10000,0.925457,2
8,3008,6,12000,0.930762,3
8,3008,7,14000,0.930762,3
8,3008,8,16000,0.930762,3
8,3008,9,18000,0.930762,3
8,3008,10,20000,0.930762,3
9,3009,1,2000,0.872934,1
9,3009,2,4000,0.878364,2
9,3009,3,6000,0.878364,2
9,3009,4,8000,0.878364,2
9,3009,5,10000,0.917153,1
9,3009,6,12000,0.917153,1
9,3009,7,14000,0.964409,2
9,3009,8,16000,0.964409,2
9,3009,9,18000,0.964409,2
9,3009,10,20000,0.964409,2
10,3010,1,2000,0.821254,1
10,3010,2,4000,0.832294,1
10,3010,3,6000,0.832294,1
10,3010,4,8000,0.832294,1
10,3010,5,10000,0.875827,2
10,3010,6,12000,0.876075,2
10,3010,7,14000,0.883904,2
10,3010,8,16000,0.887595,1
10,3010,9,18000,0.925044,2
10,3010,10,20000,0.925066,3
11,3011,1,2000,0.930382,1
11,3011,2,4000,0.930382,1
11,3011,3,6000,0.930382,1
11,3011,4,8000,0.930382,1
11,3011,5,10000,0.930382,1
11,3011,6,12000,0.935562,1
11,3011,7,14000,0.935562,1
11,3011,8,16000,0.935562,1
11,3011,9,18000,0.94326,2
11,3011,10,20000,0.94326,2
12,3012,1,2000,0.819728,1
12,3012,2,4000,0.858089,2
12,3012,3,6000,0.90263,1
12,3012,4,8000,0.90263,1
12,3012,5,10000,0.90263,1
12,3012,6,12000,0.90263,1
12,3012,7,14000,0.90263,1
12,3012,8,16000,0.90263,1
12,3012,9,18000,0.90263,1
12,3012,10,20000,0.90263,1
13,3013,1,2000,0.807309,1
13,3013,2,4000,0.897668,1
13,3013,3,6000,0.897668,1
13,3013,4,8000,0.897668,1
13,3013,5,10000,0.950567,2
13,3013,6,12000,0.950699,3
13,3013,7,14000,0.950699,3
13,3013,8,16000,0.958894,3
13,3013,9,18000,0.96625,2
13,3013,10,20000,0.96625,2
14,3014,1,2000,0.802578,1
14,3014,2,4000,0.836688,1
14,3014,3,6000,0.898123,1
14,3014,4,8000,0.898123,1
14,3014,5,10000,1.005,2
14,3014,6,12000,1.005,2
14,3014,7,14000,1.005,2
14,3014,8,16000,1.005,2
14,3014,9,18000,1.005,2
14,3014,10,20000,1.005,2
15,3015,1,2000,0.829442,1
15,3015,2,4000,0.851238,1
15,3015,3,6000,0.858837,2
15,3015,4,8000,0.858837,2
15,3015,5,10000,0.964783,3
15,3015,6,12000,0.964783,3
15,3015,7,14000,0.964914,4
15,3015,8,16000,0.965019,5
15,3015,9,18000,0.965019,5
15,3015,10,20000,0.965021,5
16,3016,1,2000,0.820361,1
16,3016,2,4000,0.981958,2
16,3016,3,6000,0.98306,2
16,3016,4,8000,0.98306,2
16,3016,5,10000,0.98306,2
16,3016,6,12000,0.983833,2
16,3016,7,14000,0.983833,2
16,3016,8,16000,0.983833,2
16,3016,9,18000,0.983833,2
16,3016,10,20000,0.983833,2
17,3017,1,2000,0.894037,1
17,3017,2,4000,0.918056,1
17,3017,3,6000,0.918056,1
17,3017,4,8000,0.918056,1
17,3017,5,10000,0.918056,1
17,3017,6,12000,0.918056,1
17,3017,7,14000,0.918056,1
17,3017,8,16000,0.918056,1
17,3017,9,18000,0.918056,1
17,3017,10,20000,0.918056,1
18,3018,1,2000,0.90776,1
18,3018,2,4000,0.90776,1
18,3018,3,6000,0.90776,1
18,3018,4,8000,0.90776,1
18,3018,5,10000,0.90776,1
18,3018,6,12000,0.90776,1
18,3018,7,14000,0.920484,2
18,3018,8,16000,0.920484,2
18,3018,9,18000,0.920484,2
18,3018,10,20000,0.920484,2
19,3019,1,2000,0.827463,1
19,3019,2,4000,0.845213,1
19,3019,3,6000,0.855312,1
19,3019,4,8000,0.855312,1
19,3019,5,10000,0.858321,2
19,3019,6,12000,0.907044,3
19,3019,7,14000,0.907044,3
19,3019,8,16000,0.907044,3
19,3019,9,18000,0.937462,4
19,3019,10,20000,0.937531,5
