run,seed,hv,front_size,evals,gens,time_s,min_water,min_deficit,min_wet
0,3000,0.973067,2,20000,10,0.215914,180.319,0,28.9139
1,3001,1.01337,3,20000,10,0.216172,162.741,0,22.2711
2,3002,0.97391,2,20000,10,0.213831,181.172,0,27.454
3,3003,1.00435,3,20000,10,0.214775,163.87,0,26.2658
4,3004,0.97309,2,20000,10,0.213674,180.817,0,28.7739
5,3005,0.967506,4,20000,10,0.213663,183.884,0,28.4159
6,3006,1.00454,4,20000,10,0.216038,166.473,0,22.8271
7,3007,0.957088,3,20000,10,0.213573,186.315,0,32.1529
8,3008,0.930762,3,20000,10,0.213057,196.134,0,37.2906
9,3009,0.964409,2,20000,10,0.214517,182.595,0,31.3954
10,3010,0.925066,3,20000,10,0.213282,193.099,0,41.7663
11,3011,0.94326,2,20000,10,0.213438,194.052,0,33.1397
12,3012,0.90263,1,20000,10,0.213577,206.749,0,42.9605
13,3013,0.96625,2,20000,10,0.213461,181.696,0,31.0465
14,3014,1.005,2,20000,10,0.212822,165.053,0,24.792
15,3015,0.965021,5,20000,10,0.213769,182.942,0,30.8091
16,3016,0.983833,2,20000,10,0.213514,172.426,0,29.5207
17,3017,0.918056,1,20000,10,0.213756,201.498,0,39.4744
18,3018,0.920484,2,20000,10,0.21382,191.954,0,44.5596
19,3019,0.937531,5,20000,10,0.212023,194.314,0,35.4441
