x0,y,split
0.35787,0.447671,test
1.27983,1.79848,train
0.934537,1.27351,val
0.741001,1.02178,train
0.709835,0.954564,val
1.58104,2.20864,train
1.81029,2.43002,val
0.354706,0.366463,train
1.30557,1.84437,train
0.596606,0.775273,train
1.93392,2.63768,train
1.8397,2.52811,train
1.27174,1.79839,train
1.50546,2.10354,train
1.03031,1.43765,train
1.65179,2.30098,train
0.896761,1.26568,train
0.677625,0.87563,test
0.555798,0.741163,train
0.452666,0.584062,test
1.05163,1.46741,val
0.861824,1.1589,train
1.32636,1.87333,val
0.025681,0.0589514,train
0.895404,1.18721,train
0.730362,0.978205,test
0.390795,0.474469,val
1.18973,1.64046,test
0.870626,1.16684,train
0.599983,0.718332,train
0.418832,0.469408,val
1.74925,2.35387,train
1.59492,2.19525,test
1.21342,1.67838,train
0.690201,0.893805,train
1.89364,2.59967,train
1.12675,1.56704,train
0.865525,1.15488,val
1.8009,2.44775,val
0.638684,0.79287,val
1.39199,1.94225,train
0.627641,0.811101,test
0.523106,0.724499,test
1.40168,2.02143,train
0.455784,0.620633,test
0.986221,1.44486,train
1.16006,1.57634,train
0.377813,0.479583,test
1.46248,2.07404,val
1.09697,1.54862,train
1.24301,1.82304,val
0.744289,1.0939,train
0.840387,1.18161,test
0.989659,1.39567,train
0.939942,1.253,train
1.35128,1.8511,test
1.15436,1.64114,val
0.832541,1.1294,train
0.00360471,-0.0471108,val
1.58806,2.20519,val
1.03877,1.45798,train
0.653089,0.893566,test
0.99991,1.38205,train
0.186892,0.195408,test
1.80941,2.48575,train
1.97947,2.69131,train
0.11747,0.080433,train
0.716462,0.986337,val
1.46013,2.12538,train
0.628476,0.851565,train
1.1341,1.52972,test
0.833142,1.1368,val
1.54842,2.09124,train
1.91693,2.54295,train
1.77679,2.47122,val
1.24187,1.74332,train
0.320549,0.349662,test
1.89412,2.50649,train
0.0472649,4.06362e-05,test
0.595419,0.776769,train
0.563227,0.723495,test
1.34365,1.90955,test
0.974726,1.40638,train
0.185777,0.191397,val
0.0257158,0.0439292,train
1.20863,1.6876,val
0.982967,1.34178,train
1.20276,1.6751,val
1.12805,1.61271,train
1.78092,2.41189,train
1.83679,2.56181,train
0.376514,0.508443,train
1.88424,2.57583,test
1.57545,2.20337,train
1.27805,1.73778,test
1.31921,1.93929,test
1.09212,1.56064,test
1.83453,2.52217,test
0.466526,0.582006,train
1.19863,1.69568,train
1.62849,2.23685,test
0.269523,0.319565,train
1.23102,1.68968,train
0.805667,1.11012,val
1.53207,2.11132,train
0.135429,0.179323,val
1.21363,1.69543,train
1.71416,2.37948,train
1.2567,1.87429,train
0.642675,0.872722,train
1.31159,1.84888,train
0.676306,0.894931,val
1.33719,1.83468,train
0.256689,0.333621,train
0.559983,0.778515,train
0.0654368,0.0701109,val
0.167819,0.246831,train
1.10954,1.54467,test
0.463396,0.507697,test
1.03217,1.40951,train
1.31914,1.80891,train
1.76237,2.41806,train
0.710122,0.968776,train
0.637358,0.79858,train
0.627333,0.815736,train
0.235699,0.273302,val
1.32637,1.83132,train
1.63931,2.24076,train
0.94601,1.30829,val
1.11659,1.59256,train
1.91696,2.58972,train
1.39783,1.92906,train
1.49007,2.0764,train
1.779,2.45982,train
0.431581,0.508887,test
1.30033,1.81018,test
1.43479,1.99901,train
1.68446,2.29088,test
0.687571,0.903657,train
1.37759,1.90867,test
1.2088,1.75346,val
0.818722,1.09142,train
0.203372,0.24308,train
0.706097,0.953189,train
1.92697,2.58172,train
0.433047,0.484067,train
0.227276,0.238179,val
0.735359,1.00874,train
0.201962,0.202081,train
0.534398,0.654336,train
1.82891,2.39834,train
0.637564,0.819178,train
1.17178,1.65164,val
0.47749,0.61268,train
1.33596,1.88896,val
0.255313,0.278035,val
1.57962,2.19037,test
0.845892,1.18441,train
0.367321,0.434246,test
1.5165,2.02893,train
1.10857,1.58641,train
0.87629,1.158,train
0.481252,0.653632,train
1.56273,2.24175,val
0.73057,1.00522,train
0.0861814,0.124534,val
1.93074,2.69952,val
0.0609296,0.0208372,val
0.240938,0.281973,test
0.931625,1.2923,train
0.41571,0.470171,train
0.67027,0.960732,train
1.13513,1.5643,train
1.91568,2.58335,val
1.87262,2.571,train
0.147792,0.198754,train
1.70663,2.33699,train
0.335647,0.373313,train
1.62287,2.27373,train
0.592694,0.712139,train
1.43567,1.97956,train
1.43759,1.97964,train
1.7011,2.33648,test
1.95925,2.65615,test
0.550962,0.774276,test
1.25662,1.79589,train
1.47852,2.06729,test
0.159259,0.164262,train
1.32592,1.89198,train
0.643031,0.858935,test
0.322938,0.41303,test
1.09894,1.58602,train
0.923767,1.23285,val
1.15416,1.52828,train
1.28384,1.79892,train
0.997338,1.38533,val
1.8103,2.49752,val
0.355828,0.400802,train
0.577583,0.73491,train
0.712443,0.969723,train
2.06656,2.78271,extrap
2.53156,3.2644,extrap
2.75724,3.47572,extrap
2.50709,3.24067,extrap
2.4066,3.14142,extrap
2.81152,3.5246,extrap
2.5091,3.24263,extrap
2.90654,3.60845,extrap
2.2386,2.96879,extrap
2.59846,3.32845,extrap
2.63448,3.36244,extrap
2.90713,3.60897,extrap
2.09326,2.81223,extrap
2.80572,3.51941,extrap
2.68349,3.40813,extrap
2.86061,3.56819,extrap
2.60886,3.3383,extrap
2.45377,3.18837,extrap
2.79633,3.51099,extrap
2.28418,3.01649,extrap
2.05542,2.77032,extrap
2.74997,3.46912,extrap
2.81237,3.52536,extrap
2.82868,3.5399,extrap
2.44769,3.18235,extrap
2.73267,3.45336,extrap
2.71364,3.43593,extrap
2.28855,3.02102,extrap
2.76554,3.48324,extrap
2.96419,3.6583,extrap
2.3521,3.08636,extrap
2.27345,3.00531,extrap
2.58386,3.31458,extrap
2.87781,3.58333,extrap
2.60829,3.33777,extrap
2.97005,3.66332,extrap
2.92261,3.62243,extrap
2.71072,3.43325,extrap
2.70689,3.42973,extrap
2.17805,2.90441,extrap
2.34105,3.07508,extrap
2.81015,3.52337,extrap
2.40046,3.13526,extrap
2.22806,2.95766,extrap
2.06312,2.7789,extrap
2.22305,2.95236,extrap
2.57711,3.30815,extrap
2.92414,3.62375,extrap
2.39152,3.12627,extrap
