x0,x1,y,split
-3.21065,1.39913,1.77678,train
-0.327316,-1.29499,0.74068,train
-1.45083,2.90518,1.8155,train
4.05144,-3.22647,1.98106,val
1.52785,-2.01697,1.82619,train
4.66962,4.1985,1.97174,train
1.35871,2.52732,1.71862,train
0.151537,3.25895,1.02669,train
-0.516195,-1.61188,0.926717,train
-2.22101,-2.73667,1.9782,val
0.258168,-0.690879,0.211781,train
1.63181,-4.8716,1.84097,train
-0.522981,-1.34819,0.822141,val
-3.04602,0.948659,1.43723,train
-0.646868,-2.00008,1.08473,train
-2.90584,3.74624,1.98862,test
2.97462,1.0671,1.53679,test
-1.54899,4.4682,1.8474,train
0.633774,-0.672373,0.33344,test
4.0045,-1.80658,1.94334,train
1.95995,-1.8618,1.84012,train
-2.38447,2.00841,1.90634,train
-2.72108,-0.0688968,0.978967,test
0.800285,-3.11094,1.24686,train
2.31241,0.484831,1.04181,val
1.21503,-1.27856,1.42717,val
-0.798067,-0.0517032,0.301516,test
-0.300291,1.75639,0.910246,train
0.771775,-0.837294,0.61297,test
-4.98198,2.94031,2.00905,train
0.193842,-1.73455,0.930675,test
-0.000449776,-4.06554,0.992138,train
4.04704,4.89736,2.00321,train
-4.41265,-1.41769,1.7893,test
2.30065,-1.85762,1.88006,train
0.670498,-0.83429,0.518812,train
2.74212,4.58464,1.98169,train
3.88395,1.20935,1.67325,test
-3.39726,4.47062,2.005,test
-4.76368,-2.02291,1.9582,test
-2.18387,1.71826,1.83628,test
-0.126369,-4.07111,0.980577,test
-4.87142,1.04316,1.55803,train
-0.0851667,1.01382,0.526812,test
0.640239,3.90459,1.13437,test
4.18397,-3.11743,2.0159,train
4.42121,2.87727,1.98055,train
1.39026,1.59607,1.60746,train
0.460602,4.17263,1.02006,train
-2.66737,0.99316,1.43722,train
3.14243,-3.65239,2.01265,train
1.15508,-0.971665,1.12411,train
2.66036,-4.32286,1.98051,train
1.06814,3.57079,1.502,test
1.28348,-1.78662,1.60474,train
1.55796,-1.61847,1.72396,train
1.68593,-3.71656,1.84053,test
-2.20008,-4.67282,1.98031,test
-4.16091,0.547696,1.07668,train
-2.68302,0.160826,0.97819,test
1.5957,3.81186,1.86008,test
-1.44939,-1.81321,1.70704,train
-1.86333,-3.8215,1.89288,train
1.63183,3.19655,1.81987,test
-0.269951,0.582974,0.109408,val
4.5848,1.98915,1.94777,val
2.45035,3.89498,1.9628,train
-2.84209,1.50166,1.81356,test
2.17395,3.42228,1.92661,test
-1.56214,1.88795,1.78946,train
1.04401,-0.90639,0.885172,train
-3.98314,-1.46952,1.7921,train
4.63485,-2.83476,1.96627,val
-3.86362,-1.32321,1.73696,test
-3.99019,-2.32801,1.96855,train
4.14456,-1.81218,1.907,val
0.858895,-2.61255,1.33525,test
1.6798,-3.72344,1.91412,test
2.89809,-0.77054,1.28066,train
-3.1634,2.5825,1.98417,train
0.542825,-0.61855,0.238523,test
-2.59374,2.81366,2.00554,train
-1.34715,-4.56909,1.77398,train
4.65369,-4.69535,1.96117,train
-3.79531,-0.341875,1.03359,train
-2.92145,-1.64865,1.84258,train
0.675652,4.57842,1.21633,train
4.36312,-4.26104,2.03697,train
3.53314,-3.32176,1.97263,val
3.11433,-2.03653,1.90729,train
2.17834,2.18793,1.8986,train
3.50551,4.79626,1.98992,train
-2.24519,1.28308,1.72437,train
2.39261,-4.20371,1.93658,train
1.62961,-1.78484,1.80797,val
-3.38531,0.494716,0.99767,train
-0.381164,0.770798,0.311645,train
1.41918,-0.0133114,0.800697,train
4.05151,-3.22086,1.99205,val
-2.11208,-1.43778,1.75989,val
2.74382,1.52098,1.84841,test
-2.93577,2.44442,1.96867,train
2.71537,2.70241,2.00536,val
-4.21627,-2.87861,1.93847,test
3.95385,3.79432,1.96869,train
-2.94427,0.513757,1.01864,train
-2.37317,-0.837152,1.3166,train
-4.79055,-2.1824,1.91406,test
-2.29319,4.1913,2.02211,test
0.879702,-3.22484,1.36768,train
-0.724355,-0.0706384,0.246175,train
1.3736,0.324478,0.767716,train
-0.790073,-1.89207,1.21288,train
0.749995,4.75832,1.25387,val
0.52987,3.87012,1.05113,train
-4.84728,-2.96903,1.97984,train
3.64768,0.694729,1.22191,train
-0.124419,-1.31196,0.779265,train
-2.04734,1.7883,1.87143,test
-1.34265,-0.647653,0.963162,train
2.76848,4.46183,1.93253,train
4.93657,-0.150848,1.00605,val
-3.61831,-4.75076,1.98279,train
-0.0534329,-4.23645,1.03219,train
-3.82287,-2.65161,2.00302,train
4.91993,-3.37771,2.01965,train
-3.89868,4.15924,1.97757,train
1.2207,2.39901,1.67409,train
-1.45267,4.33833,1.84057,train
4.76101,0.584557,1.13476,val
4.8684,0.0579435,0.975277,train
-0.602597,2.85434,1.08472,train
1.44248,-2.9947,1.80616,train
0.149393,-4.83541,1.03324,test
3.7566,0.424459,1.04181,train
-4.53813,4.37759,2.02903,train
4.99436,2.37305,1.91944,train
-0.686765,0.914193,0.586476,val
-4.89768,-3.91551,2.00639,train
-1.69001,-0.887313,1.28015,val
2.55949,-3.2927,1.92192,test
-3.83895,1.97464,1.96098,train
3.88032,3.79667,1.99938,train
2.41916,4.83567,1.95825,train
0.220921,2.74469,1.01474,val
-0.828226,-1.46744,1.09973,train
4.10822,-0.69293,1.17118,train
2.46471,-0.0297738,0.995525,val
-3.87787,-3.73124,1.99978,test
0.101226,2.07678,0.943522,val
2.42484,-1.64303,1.84741,val
-4.90789,0.333564,1.00472,train
-3.10433,-1.7988,1.92365,test
0.664491,-1.08167,0.733482,train
-0.409984,-4.49541,1.04183,val
-3.16985,3.41896,1.93121,train
0.118814,3.85118,1.02614,train
3.57301,-3.0683,2.04325,train
-1.00403,0.257783,0.520802,train
-4.02485,-4.14644,1.99069,train
3.41487,3.26714,1.97074,train
-1.16711,2.06585,1.61508,train
0.179331,2.47654,0.959026,val
-1.84815,-0.259638,0.905288,train
3.92956,3.16644,1.93322,test
-1.90036,3.81771,1.93011,train
-1.01281,1.8238,1.42263,train
2.11511,-0.98315,1.42958,train
3.27094,-0.346483,1.00549,train
4.60689,4.36699,1.97749,val
4.00265,4.08353,1.99718,train
-3.52953,1.48334,1.79564,train
2.41115,0.287592,0.975198,test
0.29221,-2.98569,0.987837,train
-3.39213,2.83134,1.93485,test
-3.50394,2.28197,1.92781,train
-4.22932,-0.877479,1.3544,train
-4.75989,1.60373,1.8528,train
-2.07084,-0.322999,0.965618,train
-2.13551,0.157744,0.944706,test
1.57647,-3.33087,1.85133,train
2.77049,2.82515,1.95772,train
4.42166,-1.19305,1.60273,train
3.73131,-4.06315,1.98815,test
4.93906,-2.87793,1.96308,train
-1.26151,-4.06497,1.70931,train
3.35142,-0.14067,0.973543,val
4.62401,-3.55384,2.00784,train
3.91822,-1.40454,1.79021,test
-2.63709,1.57123,1.85635,val
-4.69812,0.254697,1.02151,train
-0.263948,-4.51495,0.988388,train
-0.658178,-1.95081,1.11362,train
-2.51352,4.30294,1.97832,test
0.982968,-3.45842,1.44967,train
2.57132,-1.30433,1.71798,train
0.988507,-1.20065,1.1659,train
1.38546,1.81937,1.73436,val
-2.16466,3.31058,1.93954,train
1.18131,1.05269,1.25081,test
-2.81994,-2.46037,1.97695,train
-1.04623,-4.66127,1.49056,test
-4.45269,1.62682,1.84687,test
-1.83521,2.20244,1.89275,val
-4.25174,2.40131,1.93169,val
-2.85821,3.69552,1.9917,val
4.06532,1.89313,1.95839,test
-1.05713,-4.74352,1.54672,test
2.61113,0.628176,1.14856,test
-4.17709,0.707372,1.22977,val
-4.93844,-0.486234,1.04986,train
1.13257,3.02659,1.60937,val
-2.09394,-2.67954,1.93602,train
-1.68906,-4.40805,1.89896,val
4.31499,3.80635,1.95379,test
1.02136,-4.25413,1.51449,val
-4.16372,4.32082,1.95236,val
-3.75,-3.54331,1.98011,train
2.8547,-1.98469,1.91918,val
-0.884458,-0.899766,0.730515,train
2.00066,-0.276677,0.915764,train
3.12205,-0.0406086,0.979722,test
-2.0954,-3.05423,1.99286,test
2.55013,-2.80492,1.92664,val
1.08908,1.01404,1.10154,val
4.63248,-4.10379,1.97218,train
-2.9248,1.61553,1.84921,train
-1.69101,-3.71417,1.91022,train
3.95369,2.31476,1.96996,train
-2.77448,-4.0479,1.99024,train
3.42412,0.69962,1.19816,val
4.29579,0.171815,1.0122,train
-2.69122,-3.66438,1.92221,val
-0.820871,1.84017,1.24162,val
-4.957,-1.04648,1.54155,val
-0.961715,1.71011,1.36621,test
-3.05038,3.76071,2.00433,val
-1.74912,3.26808,1.90509,test
3.27623,3.8488,2.00397,val
-2.41171,3.39866,1.93482,train
-2.69493,-1.00557,1.49805,train
-3.22317,-0.158691,0.988746,val
-4.24806,4.56842,1.9925,train
-4.87003,-0.0340386,1.03045,test
3.38095,-3.67485,1.97484,train
0.971018,0.310825,0.463352,train
2.57537,1.98595,1.88482,train
3.25013,2.93284,1.97046,val
0.828599,-1.50036,1.18209,train
-3.92572,-3.36182,1.94671,test
3.71208,-2.33499,1.96844,val
3.94031,-1.93914,1.86705,train
-4.42743,-2.10003,1.9314,train
-1.15349,-3.9632,1.64584,train
-0.702387,2.97943,1.16987,train
-0.861801,-0.0626585,0.325734,val
4.98773,-2.8468,1.97426,train
0.439147,4.87756,1.0586,train
-0.0427557,0.914193,0.448212,train
0.467064,-3.84731,1.07836,train
2.16136,4.12074,1.96964,train
4.26576,0.866688,1.36663,train
-1.47489,1.7551,1.75463,train
4.44617,4.78136,1.96688,test
-2.17045,4.35687,1.9301,val
2.30289,3.71837,1.99247,train
-3.32519,4.76247,2.01117,train
2.53518,-3.33483,1.99003,train
