run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.0652376,15,12.47,10,2494
0,4000,2,596,0.0538876,7,9.105,7,6240
0,4000,4,992,0.0537628,15,12.605,11,10821
0,4000,6,1388,0.0534091,15,12.875,12,16029
0,4000,8,1784,0.0525874,15,17.07,16,22360
0,4000,10,2180,0.0525874,15,23.63,23,31217
0,4000,12,2576,0.0525874,15,29.24,28.5,42493
0,4000,14,2972,0.0525874,15,38.9,40,57115
0,4000,16,3368,0.0525874,23,46.4,43.5,75444
0,4000,18,3764,0.0525874,17,43.43,40,93556
0,4000,20,4160,0.0525874,23,46.91,42,111782
0,4000,22,4556,0.0525874,23,49.77,48.5,131230
0,4000,24,4952,0.0524361,45,54.51,53,151999
0,4000,26,5348,0.0524361,45,61.1,60.5,176743
0,4000,28,5744,0.0523595,62,50.835,48,197492
0,4000,30,6140,0.0523595,62,60.055,53,220137
0,4000,32,6536,0.0523417,83,73.695,75,247993
0,4000,34,6932,0.0521649,62,76.805,75,278076
0,4000,36,7328,0.0521559,58,75.66,78.5,308319
0,4000,38,7724,0.0521344,95,76.91,79,338461
0,4000,40,8120,0.0521262,62,70.545,69,367075
0,4000,42,8516,0.0521262,62,65.655,63,393874
0,4000,44,8912,0.0520643,93,70.87,67.5,421947
0,4000,46,9308,0.0520643,93,78.06,82,451815
0,4000,48,9704,0.0513897,101,85.435,90,484831
0,4000,50,10100,0.051327,119,91.035,93,520303
0,4000,52,10496,0.0505652,84,96.065,99.5,557739
0,4000,54,10892,0.0504891,85,90.48,89,594642
0,4000,56,11288,0.0503806,79,78.335,80,626823
0,4000,58,11684,0.0502859,91,78.75,81,657930
0,4000,60,12080,0.0497053,91,81.985,85,689806
0,4000,62,12476,0.0495993,95,83.945,86,722806
0,4000,64,12872,0.0495993,95,86.59,91,756873
0,4000,66,13268,0.0495993,91,87.8,91,791657
0,4000,68,13664,0.049581,102,86.56,91,825704
0,4000,70,14060,0.0494064,87,90.715,95,861352
0,4000,72,14456,0.0494064,87,94.55,98,898782
0,4000,74,14852,0.0494064,87,99.315,103,937330
0,4000,76,15248,0.0494064,87,99.725,105.5,977337
0,4000,78,15644,0.0486445,154,90.205,88,1014595
0,4000,80,16040,0.0480781,134,96.005,89,1051504
0,4000,82,16436,0.04766,146,127,136,1099191
0,4000,84,16832,0.0473906,147,133.985,136,1152545
0,4000,86,17228,0.0473906,147,138.055,144.5,1206820
0,4000,88,17624,0.0472254,148,142.375,147,1262907
0,4000,90,18020,0.0472254,148,142.265,147,1318557
0,4000,92,18416,0.0472254,148,144.83,147,1374848
0,4000,94,18812,0.0471946,165,144.27,148,1431399
0,4000,96,19208,0.0470104,160,145.56,148,1488921
0,4000,98,19604,0.0470104,160,146.19,150,1547533
0,4000,100,20000,0.0468765,161,149.365,157,1606861
1,4001,0,200,0.0661845,16,13.62,10,2724
1,4001,2,596,0.0567836,13,7.285,6,5795
1,4001,4,992,0.0545842,8,9.49,8,9184
1,4001,6,1388,0.0537939,11,12.885,11,14091
1,4001,8,1784,0.0526859,18,17.485,17,20440
1,4001,10,2180,0.052174,29,18.38,18,27586
1,4001,12,2576,0.0521453,27,24.88,26,36898
1,4001,14,2972,0.0519049,33,26.125,28,47153
1,4001,16,3368,0.0518806,42,28.48,29,58078
1,4001,18,3764,0.0518498,35,31.37,33,70266
1,4001,20,4160,0.0518491,41,35.99,37,83853
1,4001,22,4556,0.0518407,39,34.665,37.5,97818
1,4001,24,4952,0.0518372,38,35.61,38,112080
1,4001,26,5348,0.0516754,42,36.13,39,126203
1,4001,28,5744,0.0516698,37,36.495,39,140727
1,4001,30,6140,0.0516264,40,34.855,37,154748
1,4001,32,6536,0.051608,45,35.405,37,168870
1,4001,34,6932,0.051608,45,35.755,40,182869
1,4001,36,7328,0.0515265,45,39.415,45,198196
1,4001,38,7724,0.0515265,45,39.87,45,213805
1,4001,40,8120,0.0512638,49,40.625,45,229739
1,4001,42,8516,0.0512638,49,40.095,45,245538
1,4001,44,8912,0.0512195,48,42.58,49,262334
1,4001,46,9308,0.0511786,51,41.865,48,279240
1,4001,48,9704,0.0511786,51,42.62,48,296202
1,4001,50,10100,0.0510429,52,45.235,50,313773
1,4001,52,10496,0.0510429,52,45.365,51,331708
1,4001,54,10892,0.0510429,52,45.49,51,349375
1,4001,56,11288,0.0510293,55,47.745,52,367834
1,4001,58,11684,0.0510293,55,46.44,52,386023
1,4001,60,12080,0.0509847,58,46.78,52,404622
1,4001,62,12476,0.0509847,58,48.575,55,423743
1,4001,64,12872,0.0509788,58,48.96,55,443172
1,4001,66,13268,0.0509577,59,51.1,58,463016
