run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.0497791,0.0481897,0.0518596,0.100312,115,17,20000,100,1606861,3.49999,1.01148,-0.237991,((sin((exp(-0.519) * x0)) - (x0 - (cos(sin(x0)) - (exp(-0.519) * x0)))) * (exp(exp(-0.519)) + (exp(exp(-0.519)) + (-0.972 * -0.86)))) + (((((cos((x0 / -0.86)) + cos((x0 / cos((((sin((exp(-0.519) * x0)) + ((0.644 + x0) + x0)) + (-0.972 * -0.86)) + cos(x0)))))) + (((0.644 + x0) + x0) * -0.86)) * -0.846) + (((cos((x0 / cos((((((cos((exp(-0.519) * x0)) + x0) + x0) + ((0.644 + x0) + x0)) + (-0.972 * -0.86)) + cos(x0))))) + cos(exp(-0.519))) + (cos(sin((((0.644 + x0) + x0) * x0))) - (0.681 * x0))) * -0.846)) * 0.075)
1,4001,0.0526658,0.0476049,0.0494114,0.23743,69,17,20000,100,857814,1.52133,0.880454,0.497047,((x0 - cos(cos((cos(x0) * cos(cos(cos((sin((((x0 - (cos((x0 * x0)) - exp(cos(x0)))) + cos(x0)) * (cos((x0 * log(x0))) * ((x0 - exp(cos(x0))) / x0)))) * cos(((((x0 - exp(cos(x0))) + x0) * cos(log(x0))) * cos((x0 * (x0 - exp(cos(x0))))))))))))))) + x0) - (cos(x0) * cos(sin(x0)))
2,4002,0.0514112,0.0458917,0.0475653,0.0839473,93,15,20000,100,2061212,4.70143,0.675337,-0.49494,(((((cos(((x0 / 0.796) / x0)) + (cos(((cos(((x0 - sin(x0)) * log(cos((x0 / 0.796))))) - x0) * cos(sin(((x0 - x0) + x0))))) / ((x0 / 0.796) + sin(0.76)))) / cos((((x0 - sin(x0)) / x0) / (exp(x0) - sin((x0 - sin(x0))))))) - cos(cos(sin(x0)))) + (cos(((x0 - sin(x0)) / x0)) - (((x0 * 0.326) / x0) + x0))) - cos(cos(sin(x0)))) + (cos((x0 * 0.326)) - (cos(((x0 / 0.796) / x0)) + x0))
3,4003,0.0522708,0.0464291,0.0482179,0.181838,78,17,20000,100,1210244,2.36333,0.309102,0.455604,(x0 + sin(sin((x0 - 0.878)))) + (x0 + sin(sin(exp((((((x0 / x0) * exp(0.345)) - ((x0 / (x0 * x0)) + (x0 - 0.878))) * exp(sin(exp(((((((x0 / sin(-0.184)) * exp(0.345)) - ((x0 / (x0 * x0)) + exp(0.345))) * (x0 - 0.878)) - x0) - sin(((((x0 / x0) * exp(0.345)) - (exp(0.345) + (x0 - 0.878))) * (x0 - 0.878)))))))) - exp(cos(x0)))))))
4,4004,0.0490307,0.0500573,0.0502892,0.46845,121,17,20000,100,1398597,3.05372,0.0425176,0.784326,(-0.068 * sin((-0.529 * sin((((sin((((sin((exp(sin(x0)) * ((0.103 + x0) + sin(x0)))) * x0) * x0) + cos(sin(x0)))) + sin((cos((exp(x0) * exp(0.246))) * exp(sin(x0))))) + ((cos((exp((cos((exp(x0) * exp(0.246))) * x0)) * exp(0.246))) * x0) + sin((sin(((sin(exp(x0)) - (x0 + (exp(sin(x0)) * ((0.103 + x0) + sin(x0))))) * (exp(x0) * exp(0.246)))) - x0)))) * ((sin(sin(((-0.904 - x0) * exp((0.93 + x0))))) + sin(sin((-0.338 * x0)))) * x0)))))) + (x0 - (sin(sin(sin(((-0.904 - x0) + cos(sin(sin(((-0.904 - x0) + exp(-0.345))))))))) * x0))
5,4005,0.0511529,0.0471513,0.0483606,0.0205105,147,17,20000,100,2281184,4.43816,0.682799,-0.332513,cos(((-0.817 + cos(cos((-0.817 - x0)))) + x0)) + ((((-0.817 + ((0.663 + cos((-0.817 + cos(cos((-0.817 + cos(((-0.817 - x0) / x0)))))))) + (((0.663 + cos(((x0 / x0) + cos((-0.817 + cos(cos(((-0.817 - x0) / x0)))))))) + ((-0.817 - (0.663 + (0.663 + x0))) + cos((0.663 + x0)))) + cos((0.663 + x0))))) + cos(cos((-0.817 + cos(cos((((-0.817 + (-0.817 - x0)) - x0) / x0))))))) + ((0.663 + (x0 - x0)) + (((-0.817 + (cos(cos((-0.817 + cos(cos((((-0.817 + (-0.817 - x0)) / x0) / x0)))))) + ((-0.817 - cos((-0.817 + cos(cos(cos(((-0.817 - x0) / x0))))))) + cos((0.663 + x0))))) + -0.817) + cos(cos((-0.817 + cos(cos((0.663 + x0))))))))) + cos(((-0.817 + cos((0.663 + (0.663 + x0)))) + x0)))
6,4006,0.0541809,0.0436613,0.0518284,0.128607,152,17,20000,100,1888992,4.56501,0.181999,-0.227478,cos(sin(x0)) - (cos(cos(((cos((sin(((log(0.753) * log(((cos((x0 * x0)) / x0) + cos(exp((x0 + x0)))))) - log(cos((sin(x0) * cos(sin(x0))))))) * sin(x0))) * log(0.86)) * ((cos((sin(x0) * cos(sin(((sin(sin(exp((x0 + x0)))) / cos(sin(x0))) + x0))))) + exp(x0)) * sin((cos(sin(x0)) - (exp((-0.982 - cos((log(log(sin(x0))) / cos(sin(x0)))))) + (((log(cos((sin(x0) * cos(sin(x0))))) * sin(x0)) - (log((sin(cos(sin(x0))) + sin(((x0 + x0) + log(x0))))) * cos(exp((-0.987 - x0))))) / ((log(0.753) * log(0.753)) - exp((-0.987 - x0))))))))))) + (((cos((exp(0.857) / log(-0.944))) * log(0.86)) - ((x0 + x0) + (x0 * x0))) / ((log(0.753) * (x0 - -0.38)) - exp((-0.987 - x0)))))
7,4007,0.0525221,0.0470332,0.0475613,0.403467,139,17,20000,100,2144559,4.90285,-0.176383,18.7121,0.781 * (((((((((x0 / x0) * (((x0 - x0) - ((0.575 * 0.193) - (0.547 * 0.193))) * (((sin(x0) - (x0 - x0)) * (x0 + x0)) - (0.664 + x0)))) - ((0.575 * 0.193) - (0.547 * 0.193))) * (((sin(x0) - log(exp((0.03 * x0)))) * (x0 + x0)) - (0.664 + x0))) - -0.425) * 0.193) * 0.547) - ((0.575 * 0.193) - (0.547 * 0.193))) * ((((x0 / x0) - (((0.547 * 0.193) - ((((0.781 * (((x0 - x0) - (log((0.664 + x0)) - (0.547 * 0.171))) * ((((x0 - x0) / ((0.575 * 0.193) - (x0 - x0))) * (0.664 + x0)) - (0.547 * 0.193)))) - -0.425) * 0.547) - (x0 - x0))) - 0.664)) * ((0.664 + (0.664 + x0)) - cos((0.664 + x0)))) - (0.664 + x0)))
8,4008,0.0503661,0.0481626,0.0484608,0.0185971,106,17,20000,100,1756222,3.87312,-0.270354,0.530508,cos(cos(-0.03)) * (((((((-0.167 * x0) / (exp(cos(exp((x0 * -0.86)))) * (x0 * -0.306))) + (((x0 / x0) + sin((sin(x0) - (x0 * -0.306)))) + (-0.167 * x0))) + (((x0 / ((((exp(cos(cos(exp((x0 * -0.86))))) + exp((sin((x0 / x0)) + exp(cos(x0))))) + (x0 * -0.306)) + ((sin((sin(x0) - (x0 * -0.306))) / x0) / (sin((cos(-0.03) * (cos(-0.03) * x0))) - cos(x0)))) * x0)) + sin((sin(x0) - (x0 * -0.306)))) + (-0.167 * x0))) + exp(cos(exp((x0 * -0.86))))) * x0) + cos(x0))
9,4009,0.0525185,0.0497968,0.0470587,0.329922,58,16,20000,100,745921,1.5438,-1.18318,0.505989,((((sin(sin(sin(x0))) * log(((((((0.49 * log((cos(-0.076) + sin(sin(x0))))) + 0.49) + x0) * log((cos(log((log((x0 / x0)) * x0))) + x0))) + 0.49) + x0))) + cos((cos((cos(-0.076) + sin(sin(x0)))) * cos(-0.791)))) + x0) + 0.49) + (cos(log(cos(-0.791))) + x0)
10,4010,0.052194,0.0486361,0.0466366,0.0435516,290,17,20000,100,3403939,6.4912,1.0115,-0.0498047,(((-0.328 - (((x0 / x0) / 0.271) - (log(x0) * 0.179))) * (x0 + x0)) + (((((-0.328 - 0.992) * (x0 + (x0 / (-0.428 / log((x0 - x0)))))) / sin(0.992)) + ((((x0 + (x0 + 0.55)) + ((((x0 + 0.55) + (0.992 * cos((x0 + 0.519)))) + cos(sin(x0))) * cos((x0 + 0.519)))) + sin(0.992)) + x0)) + ((x0 + ((((((-0.328 - 0.992) * (x0 + x0)) + cos((x0 + 0.519))) + (((x0 / 0.519) + (0.992 * cos((x0 + 0.519)))) + (x0 + 0.519))) + ((((-0.328 - 0.992) * ((0.289 + x0) + x0)) + (((-0.398 - 0.992) * (x0 + x0)) + (x0 + (-0.284 - 0.992)))) + (((x0 + ((cos(sin(x0)) + cos(sin(x0))) * cos((x0 + 0.519)))) + ((((x0 + 0.519) + (0.992 * cos((x0 + 0.519)))) + cos(sin(x0))) * cos((x0 + 0.519)))) + cos(sin(x0))))) + (0.519 + ((((x0 + 0.591) + ((x0 + 0.519) + ((((x0 + 0.55) + (0.992 * cos((x0 + 0.519)))) + cos(sin(x0))) * cos((x0 + 0.519))))) + cos(sin(x0))) * cos((x0 + 0.519)))))) + (x0 + ((((((-0.328 - 0.992) * (x0 + x0)) + cos((x0 + 0.519))) + (x0 / 0.519)) + ((((-0.328 - 0.992) * (((x0 + (-0.328 - 0.992)) + (0.992 * cos((x0 + 0.519)))) + x0)) + (-0.398 - 0.992)) + (((x0 + ((((x0 + 0.55) + cos((x0 + 0.519))) + cos(sin(x0))) * cos((x0 + 0.519)))) + ((((x0 + 0.55) + cos((x0 + 0.519))) + cos(sin(x0))) * cos((x0 + 0.519)))) + cos(sin(x0))))) + cos(sin(x0))))))) + cos((x0 + 0.519))
11,4011,0.0506649,0.05128,0.0496292,0.0596986,92,17,20000,100,1125237,2.37129,3.46259,-3.42835,cos(log((((log(((((0.003 * ((sin(cos((sin(sin(0.976)) / (-0.128 + x0)))) * ((x0 - (sin(0.976) / (-0.128 + x0))) + log(x0))) / sin(-0.973))) + x0) + 0.941) + sin(sin(exp(sin(sin(sin(sin(sin(sin(0.976))))))))))) + x0) + 0.941) + (cos(0.976) - exp((0.003 * log(((((0.003 * ((sin(sin(sin(sin(0.976)))) * ((x0 - x0) + x0)) / sin(-0.973))) + x0) + x0) + sin((exp((0.003 * (sin(sin(cos(x0))) * (0.462 + log(x0))))) / x0))))))))))
12,4012,0.0532412,0.0473727,0.0475989,0.299542,20,14,20000,100,333610,0.4948,-2.24963,15.4741,sin((((sin(sin(sin(sin(sin(sin(sin((sin((x0 * -0.316)) - -0.316)))))))) - -0.28) * -0.332) - -0.332))
13,4013,0.053679,0.0451268,0.0496907,0.227971,58,17,20000,100,780763,1.86983,-7.53529e+09,-0.389097,cos(sin(sin(sin(sin(sin(sin(sin((-0.866 * sin((x0 * (cos(sin((-0.919 * (-0.919 * x0)))) * cos((exp(exp(0.929)) * x0)))))))))))))) + (exp(1.017) * ((cos(sin((-0.919 * (-0.919 * x0)))) - x0) - (exp(exp(0.982)) * exp((exp(1.017) * ((x0 - x0) - (exp(exp(0.929)) * -0.893)))))))
14,4014,0.0496303,0.0479925,0.0517254,0.319468,137,16,20000,100,1405825,3.31086,0.184729,0.962976,sin((x0 - cos(((cos((x0 - cos((cos((exp(exp(cos((x0 * x0)))) - exp(exp(x0)))) / exp((log(cos(x0)) + x0)))))) - sin(((x0 + exp((x0 / x0))) - exp(exp(cos(0.979)))))) * 0.172)))) + ((cos(cos(((cos((x0 - cos((cos((exp(cos((x0 * x0))) - exp(exp(x0)))) / exp((log(cos(x0)) + x0)))))) - sin(((x0 + exp((x0 / x0))) - exp(exp(exp(cos((x0 * x0)))))))) * 0.172))) * (x0 - cos(((cos(((cos(((x0 + (cos((x0 * x0)) + log(cos(x0)))) - exp(exp(x0)))) / exp(((cos(exp(x0)) + log(cos(x0))) + x0))) - 0.881)) - sin(((x0 + exp(exp(exp(cos(0.979))))) - exp(exp(cos((x0 * x0))))))) * 0.172)))) + exp(0.172))
15,4015,0.0527107,0.0474343,0.0465232,0.0686631,67,11,20000,100,2044668,4.3631,1.06957,0.641862,((((-0.858 + x0) / cos(0.513)) / cos(0.551)) - cos((0.877 + x0))) + ((cos(((-0.858 + x0) - ((x0 + ((exp(x0) + ((x0 * -0.278) * (x0 - 0.9))) - (sin(log(x0)) * exp((x0 - x0))))) * 0.052))) + log(-0.408)) * (cos((cos(x0) - ((cos(x0) * (cos(sin(log(x0))) - (-0.13 * x0))) * x0))) + log(-0.408)))
16,4016,0.0519425,0.0470922,0.0474179,0.175859,133,15,20000,100,1592077,4.05698,-1.00815,0.100441,((((sin(x0) + x0) - ((((exp((x0 * log(cos((0.671 - (cos(x0) + x0)))))) - (((x0 * 0.572) + (x0 + (sin(x0) + ((cos(x0) + x0) * exp(log(-0.248)))))) - cos(exp(log(x0))))) - (((x0 * 0.572) + (x0 + (sin(x0) + ((cos(x0) + x0) * exp(log(x0)))))) - cos(exp(log(x0))))) - ((cos(sin(cos(sin(log((x0 + 0.696)))))) + (x0 + (sin(cos(exp(log(x0)))) + ((cos(x0) + x0) * exp(log(x0)))))) - cos(x0))) - (log(sin(-0.023)) * log(-0.023)))) - (cos(x0) + x0)) - ((exp((x0 * log(sin(((x0 - x0) + (0.427 / x0)))))) - cos(x0)) - ((cos(x0) + x0) * exp(log(exp(log(x0))))))) - cos(x0)
17,4017,0.0521818,0.0487795,0.0490693,0.240049,104,12,20000,100,1859447,4.4615,0.649121,0.137341,(((((((((sin(cos(x0)) - cos(x0)) * exp(-0.157)) + (x0 / x0)) + (sin(sin((x0 + -0.55))) - cos(x0))) + ((0.705 + -0.55) + x0)) - (cos((((exp((x0 - x0)) - -0.55) + -0.55) / cos(-0.157))) / cos(cos(x0)))) + (((((sin(sin(x0)) - cos(x0)) - ((-0.55 + -0.55) / cos(sin(-0.157)))) + (x0 / (x0 - x0))) + (sin(sin((x0 + -0.55))) - cos(x0))) + ((0.705 + -0.55) + x0))) + (sin(sin((x0 + -0.55))) - cos(x0))) + ((cos(-0.157) + -0.55) + x0)) - (cos(x0) / cos(cos(x0)))
18,4018,0.0509754,0.049828,0.0500552,0.028676,139,16,20000,100,2446465,5.44913,-0.0329923,0.370887,log((log((exp(log(x0)) - ((((cos((x0 * ((x0 * x0) + (x0 * x0)))) * x0) + ((x0 * ((0.91 * 0.91) + exp(x0))) * 0.43)) + (exp(sin(cos(sin(x0)))) * (sin(((exp(x0) + ((((0.553 * x0) + (0.91 * 0.553)) + (0.91 * (0.91 * 0.553))) * exp(0.874))) / log(cos(log(x0))))) * x0))) + ((0.91 * 0.553) + (((x0 * exp(x0)) + x0) + (sin(((exp(x0) + log(x0)) / log(x0))) + (exp(x0) + 0.553))))))) - (((x0 * x0) + (0.91 * 0.91)) + (exp(x0) + (((x0 * ((x0 * x0) + x0)) + (0.91 * (0.91 * (0.91 * 0.553)))) + (exp(x0) + sin(x0))))))) + (log(((x0 * x0) + exp(x0))) + log(((x0 * x0) + (0.91 * 0.553))))
19,4019,0.0525144,0.0469829,0.0483184,1.83737,102,17,20000,100,1279519,2.53142,-0.121798,0.0780436,((0.168 + (x0 + (0.168 + ((0.168 + ((0.168 + (((0.168 + -0.164) * ((exp((x0 * x0)) + (0.128 * x0)) + x0)) * cos((exp((x0 * x0)) + (0.188 + x0))))) + (((0.188 + x0) + ((0.168 + x0) + (0.128 * x0))) + x0))) + ((0.168 + (x0 + (0.168 + ((0.168 + (((0.168 + -0.164) * (0.168 + x0)) * cos(cos(exp(exp(x0)))))) + (((0.168 + x0) + (0.188 + x0)) + x0))))) * (cos(x0) + x0)))))) * (cos(x0) + x0)) * cos((cos((0.188 + x0)) * ((0.168 + x0) * -0.164)))
20,4020,0.0531607,0.0489408,0.0461334,0.470846,12,6,20000,100,684997,1.25939,1.4032,1.69322,sin((x0 - exp((-0.15 * ((0.961 - x0) * sin(x0))))))
21,4021,0.0526578,0.0477908,0.0476198,0.051491,107,17,20000,100,1261024,2.35957,-0.419126,0.642391,(x0 + x0) - (((-0.622 + x0) * exp(((sin(x0) * (x0 / (x0 / (((x0 + x0) - (sin(exp(-0.966)) - sin(x0))) - ((x0 / (((x0 + x0) - (-0.622 - sin(x0))) - ((-0.471 * -0.452) - ((x0 + x0) - cos(x0))))) - cos((sin(exp(-0.966)) - sin(x0)))))))) - (cos(x0) + (x0 + ((x0 + x0) - (((sin((cos(cos(x0)) + x0)) + x0) * -0.452) - cos(cos((sin((sin(((x0 + x0) - exp(-0.966))) + (-0.622 + x0))) + ((x0 + x0) - ((-0.543 * -0.452) - cos(cos(x0)))))))))))))) - cos(cos(x0)))
22,4022,0.0532335,0.0475377,0.0479776,0.424448,191,17,20000,100,2498424,3.3561,7.44487,0.611998,cos((x0 * -0.195)) * ((((x0 + -0.363) + ((cos((x0 * -0.195)) * (((x0 + -0.363) + ((((cos((x0 * -0.195)) * ((x0 + -0.363) + ((x0 + -0.363) - cos((x0 * -0.195))))) - x0) + (x0 * -0.195)) - cos((x0 * -0.195)))) + -0.195)) - x0)) + -0.363) + ((cos((x0 * -0.195)) * (((x0 + (((x0 + -0.363) + ((((cos((x0 * -0.195)) * ((x0 + (x0 * -0.195)) + ((x0 + -0.363) - cos((x0 * -0.195))))) - x0) + (x0 * -0.195)) - cos(((x0 + -0.363) * -0.195)))) + (((cos((x0 * -0.195)) * ((cos((x0 * -0.195)) * ((x0 + -0.363) + ((x0 + (x0 * -0.195)) - cos((x0 * -0.195))))) - x0)) - x0) - x0))) + ((((cos((x0 * -0.195)) * ((x0 + (x0 * -0.195)) + ((x0 + -0.363) - cos(log(cos(sin(log(-0.925)))))))) - x0) + (x0 * -0.195)) - cos((x0 * -0.195)))) + (((cos((x0 * -0.195)) * ((cos((x0 * -0.195)) * ((x0 + -0.363) + ((x0 + -0.363) - cos((x0 * -0.195))))) - x0)) - x0) - x0))) - x0))
23,4023,0.0535253,0.0469121,0.0510373,0.470993,159,16,20000,100,1847976,3.90316,1.29801,0.644958,(sin(sin(sin(sin(sin(sin(sin(sin(((sin(x0) + -0.295) + -0.295))))))))) - (((sin((exp(x0) / ((sin((sin(((sin(x0) + -0.295) + -0.295)) + cos(x0))) - (sin((0.001 + -0.295)) - ((x0 * 0.001) + 0.22))) - cos(exp(sin(x0)))))) * (sin((exp(x0) / ((sin((sin(((sin(x0) + -0.295) + -0.295)) + -0.295)) - (sin((sin(x0) * 0.22)) - (x0 + 0.22))) - ((sin((x0 / x0)) + (sin(((sin(x0) + -0.295) + -0.295)) / log(x0))) - x0)))) - x0)) * ((sin((exp(x0) / ((sin((sin(((sin(x0) + -0.295) + -0.295)) + -0.295)) - (sin((sin(x0) * 0.22)) - (x0 + 0.22))) - ((sin((x0 / x0)) + ((x0 + -0.419) / log(x0))) - x0)))) * (((sin(exp(x0)) - (x0 + 0.22)) - x0) - x0)) * (exp((x0 - -0.184)) * 0.001))) - (x0 + log((-0.751 + 0.173))))) - cos(x0)
