run,seed,size,train,val,expr
0,4000,1,0.0674722,0.0631174,x0
0,4000,3,0.0674722,0.0631174,0.108 + x0
0,4000,5,0.0594839,0.0682359,exp(cos(x0)) - x0
0,4000,7,0.0537107,0.0502879,exp(cos((0.108 + x0))) - x0
0,4000,9,0.0524576,0.0483665,(exp(cos((0.108 + x0))) - x0) - x0
0,4000,11,0.0523094,0.0482756,(exp(cos((0.108 + x0))) - x0) - (0.834 * x0)
0,4000,17,0.0522885,0.0484184,(exp(cos((0.108 + x0))) - x0) + ((exp(cos((0.108 + x0))) - x0) - x0)
1,4001,1,0.0674722,0.0631174,x0
1,4001,3,0.0674722,0.0631174,0.311 * x0
1,4001,6,0.0526735,0.0507337,exp(sin(log((0.252 + x0))))
1,4001,8,0.0526735,0.0507337,0.311 * exp(sin(log((0.252 + x0))))
2,4002,1,0.0674722,0.0631174,x0
2,4002,4,0.0619001,0.0606681,exp((x0 * -0.101))
2,4002,5,0.055966,0.0511588,sin((x0 - exp(-0.09)))
2,4002,7,0.0556825,0.0511404,x0 + sin((x0 - exp(-0.09)))
2,4002,8,0.0535242,0.0483782,x0 + sin(sin((x0 - exp(-0.101))))
3,4003,1,0.0674722,0.0631174,x0
3,4003,3,0.0674722,0.0631174,x0 - -0.814
3,4003,4,0.0566631,0.0505458,sin((x0 - 0.89))
4,4004,1,0.0674722,0.0631174,x0
4,4004,3,0.0674722,0.0631174,-0.316 - x0
4,4004,4,0.0561116,0.0507987,sin((x0 - 0.906))
4,4004,6,0.0550497,0.0501019,sin((x0 - 0.891)) + x0
4,4004,6,0.0550497,0.0501019,x0 + sin((x0 - 0.891))
4,4004,7,0.0533537,0.0477896,sin(sin((x0 - 0.891))) + x0
4,4004,7,0.0533537,0.0477896,x0 + sin(sin((x0 - 0.891)))
4,4004,9,0.0533537,0.0477896,(0.328 + x0) + sin(sin((x0 - 0.891)))
5,4005,1,0.0674722,0.0631174,x0
5,4005,3,0.0674722,0.0631174,-0.352 * x0
5,4005,4,0.0559488,0.0525169,cos((x0 + 0.639))
6,4006,1,0.0674722,0.0631174,x0
6,4006,3,0.0674722,0.0631174,x0 * -0.044
6,4006,4,0.0561019,0.0534733,cos((0.63 + x0))
6,4006,5,0.0559339,0.0513293,cos((cos(0.858) + x0))
6,4006,7,0.0543309,0.0499035,cos(sin(x0)) - (x0 + x0)
6,4006,9,0.0543309,0.0499035,cos(sin(x0)) - (x0 + (x0 - -0.397))
6,4006,11,0.0542422,0.0497859,cos(sin(x0)) - (x0 + (x0 - (x0 * -0.044)))
6,4006,13,0.0542422,0.0497859,(cos(sin(x0)) - (x0 + (x0 - (x0 * -0.044)))) * -0.044
7,4007,1,0.0674722,0.0631174,x0
7,4007,3,0.0674722,0.0631174,0.869 + x0
7,4007,4,0.0559034,0.0518173,cos((0.647 + x0))
7,4007,8,0.0558283,0.0514431,sin((x0 - ((0.433 * x0) + 0.407)))
7,4007,10,0.0536889,0.0480335,log((x0 + exp(0.869))) - cos((0.578 + x0))
7,4007,11,0.0536677,0.0478795,log((x0 + exp(0.869))) - cos((cos(0.948) + x0))
8,4008,1,0.0674722,0.0631174,x0
8,4008,3,0.0674722,0.0631174,-0.409 - x0
8,4008,4,0.0587926,0.0519711,cos((-0.713 - x0))
8,4008,5,0.0560131,0.050999,cos((x0 + cos(-0.85)))
8,4008,6,0.0542327,0.0488649,cos((-0.728 - x0)) - x0
8,4008,8,0.0542327,0.0488649,-0.409 - (cos((-0.728 - x0)) - x0)
8,4008,9,0.0542327,0.0488649,cos((-0.728 - x0)) - (x0 + cos(-0.85))
8,4008,15,0.0535554,0.0492742,exp(cos(x0)) - ((x0 / (exp(x0) + exp(x0))) - (-0.728 - x0))
8,4008,16,0.0529797,0.0471318,(exp(cos(x0)) - ((x0 / (x0 + exp(x0))) - (-0.728 * x0))) - x0
8,4008,17,0.0525966,0.0473854,(exp(cos(x0)) - ((x0 / (cos(-0.807) + exp(x0))) - (-0.409 - x0))) - x0
8,4008,19,0.0524871,0.0473849,exp(cos(x0)) - (((x0 / (cos(x0) + exp(x0))) - (-0.409 - x0)) - (-0.728 - x0))
8,4008,30,0.0524249,0.0474631,(exp(cos(x0)) - ((x0 / (cos(sin((((x0 * -0.441) * (0.079 + -0.426)) * (exp(-0.683) - log(x0))))) + exp(x0))) - (-0.409 - x0))) - x0
9,4009,1,0.0674722,0.0631174,x0
9,4009,3,0.0674722,0.0631174,0.227 + x0
9,4009,4,0.0560036,0.0529203,cos((x0 - -0.635))
9,4009,9,0.0530503,0.0480416,cos((x0 - ((sin(x0) * -0.635) / x0)))
9,4009,11,0.0530503,0.0480416,0.227 + cos((x0 - ((sin(x0) * -0.635) / x0)))
9,4009,13,0.0530503,0.0480416,cos((x0 - ((sin(x0) * ((x0 * -0.635) / x0)) / x0)))
10,4010,1,0.0674722,0.0631174,x0
10,4010,3,0.0674722,0.0631174,x0 + -0.363
10,4010,4,0.0560036,0.0529203,cos((x0 + 0.635))
10,4010,6,0.0541048,0.0488677,cos((x0 + 0.768)) - x0
10,4010,9,0.0537128,0.0483247,cos((log(0.502) - x0)) - (x0 * 0.628)
11,4011,1,0.0674722,0.0631174,x0
11,4011,3,0.0674722,0.0631174,x0 / 0.231
11,4011,3,0.0674722,0.0631174,x0 / 0.462
11,4011,5,0.0561597,0.0507347,cos((x0 + cos(0.841)))
11,4011,8,0.0561597,0.0507347,cos((x0 + cos(0.841))) + log(-0.745)
12,4012,1,0.0674722,0.0631174,x0
12,4012,3,0.0674722,0.0631174,x0 - -0.962
12,4012,4,0.0559067,0.0519786,cos((-0.645 - x0))
12,4012,6,0.0546243,0.0501127,x0 - cos((-0.816 - x0))
12,4012,11,0.053447,0.0477468,(x0 - cos((-0.699 - x0))) - cos((-0.699 - x0))
12,4012,13,0.053447,0.0477468,((x0 - -0.962) - cos((-0.699 - x0))) - cos((-0.699 - x0))
13,4013,1,0.0674722,0.0631174,x0
13,4013,4,0.0559034,0.0518173,cos((x0 + 0.647))
14,4014,1,0.0674722,0.0631174,x0
14,4014,3,0.0674722,0.0631174,x0 + -0.013
14,4014,4,0.0559074,0.0519955,sin((x0 - 0.926))
15,4015,1,0.0674722,0.0631174,x0
15,4015,3,0.0674722,0.0631174,x0 - -0.453
15,4015,4,0.0567729,0.0560381,cos((x0 - -0.611))
16,4016,1,0.0674722,0.0631174,x0
16,4016,3,0.0674722,0.0631174,x0 * 0.938
16,4016,4,0.0608794,0.0571737,sin((x0 * -0.258))
16,4016,8,0.0531822,0.0495278,x0 * ((x0 * 0.93) + cos(x0))
16,4016,10,0.0531822,0.0495278,(x0 * ((x0 * 0.93) + cos(x0))) + 0.938
17,4017,1,0.0674722,0.0631174,x0
17,4017,3,0.0674722,0.0631174,0.798 + x0
17,4017,4,0.0613142,0.0573887,sin((x0 * 0.245))
17,4017,5,0.0560495,0.0531949,sin((cos(-0.353) - x0))
18,4018,1,0.0674722,0.0631174,x0
18,4018,3,0.0674722,0.0631174,0.3 + x0
18,4018,4,0.0582012,0.0514319,sin((-0.865 + x0))
18,4018,6,0.0545208,0.0492701,sin((-0.865 + x0)) + x0
18,4018,7,0.0533644,0.0472806,sin(sin((-0.865 + x0))) + x0
19,4019,1,0.0674722,0.0631174,x0
19,4019,3,0.0674722,0.0631174,x0 + 0.673
19,4019,4,0.0559067,0.0519786,cos((x0 + 0.645))
19,4019,7,0.0543977,0.0493472,(x0 - cos(x0)) + sin(x0)
19,4019,9,0.0543977,0.0493472,((x0 + 0.186) - cos(x0)) + sin(x0)
19,4019,9,0.0543977,0.0493472,((x0 - 0.35) - cos(x0)) + sin(x0)
19,4019,11,0.0529167,0.0476206,(x0 - cos(x0)) + sin((sin(x0) - sin(0.93)))
20,4020,1,0.0674722,0.0631174,x0
20,4020,3,0.0674722,0.0631174,x0 - -0.413
20,4020,3,0.0674722,0.0631174,-0.814 - x0
20,4020,4,0.0574245,0.0508508,sin((0.876 - x0))
20,4020,4,0.0574245,0.0508508,sin((x0 - 0.876))
20,4020,5,0.0565274,0.050545,sin((x0 - exp(-0.113)))
20,4020,6,0.0540936,0.0487547,sin((0.818 - x0)) - x0
20,4020,7,0.0533025,0.0473846,sin(sin((0.876 - x0))) - x0
21,4021,1,0.0674722,0.0631174,x0
21,4021,3,0.0674722,0.0631174,x0 - -0.199
21,4021,4,0.0596322,0.0573308,sin((x0 * -0.309))
21,4021,5,0.0596053,0.0579699,sin(sin((x0 * -0.235)))
21,4021,7,0.0596053,0.0579699,sin(sin((x0 * -0.235))) * -0.235
21,4021,7,0.0596053,0.0579699,sin(sin((x0 * -0.235))) / -0.462
21,4021,8,0.0585503,0.0572245,sin((sin(sin((x0 * -0.253))) - -0.253))
21,4021,9,0.0571491,0.0532546,sin(sin((sin(sin((x0 * -0.253))) - -0.319)))
21,4021,10,0.0523585,0.0485049,sin(sin((x0 * -0.253))) * (cos(x0) + x0)
22,4022,1,0.0674722,0.0631174,x0
22,4022,3,0.0674722,0.0631174,x0 + 0.328
22,4022,4,0.0616123,0.0677717,cos((x0 - -0.552))
22,4022,6,0.0594533,0.0581708,sin(((-0.667 * x0) + x0))
22,4022,7,0.0574659,0.0589383,x0 - exp((cos(x0) - 0.851))
22,4022,9,0.0573568,0.0602912,x0 - exp((cos(x0) - (0.768 * 0.851)))
22,4022,11,0.0561355,0.0513721,x0 - exp(((-0.363 - exp(x0)) - (-0.667 * x0)))
22,4022,13,0.0561355,0.0513721,(x0 - exp(((-0.363 - exp(x0)) - (-0.667 * x0)))) + 0.328
22,4022,15,0.0535871,0.0494968,x0 - exp(((-0.363 - exp(x0)) - log((exp(x0) - (x0 + x0)))))
22,4022,17,0.0535871,0.0494968,(x0 - -0.552) - exp(((-0.363 - exp(x0)) - log((exp(x0) - (x0 + x0)))))
22,4022,21,0.0533162,0.0491656,x0 - exp((((((-0.667 * x0) + x0) - exp(x0)) + -0.768) - log((exp(x0) - (x0 + x0)))))
22,4022,22,0.052692,0.0485854,x0 - exp(exp((((((-0.667 * x0) + x0) - exp(x0)) + -0.768) - log((exp(x0) - (x0 + x0))))))
22,4022,23,0.0526723,0.0485536,x0 - exp(exp((((sin(((-0.667 * x0) + x0)) - exp(x0)) + -0.768) - log((exp(x0) - (x0 + x0))))))
23,4023,1,0.0674722,0.0631174,x0
