run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.0652376,15,12.47,10,2494
0,4000,2,600,0.0652376,15,3.58,2,5235
0,4000,4,1000,0.0650083,11,1.05,1,6208
0,4000,6,1400,0.0650083,11,1.05,1,6676
0,4000,8,1800,0.0650083,11,1.05,1,7165
0,4000,10,2200,0.0650083,11,1.05,1,7672
0,4000,12,2600,0.0594839,9,1.04,1,8203
0,4000,14,3000,0.0594839,7,1.03,1,8704
0,4000,16,3400,0.0594839,7,1.03,1,9239
0,4000,18,3800,0.0594839,5,1.04,1,9868
0,4000,20,4200,0.0594839,5,1.08,1,10379
0,4000,22,4600,0.0594839,5,1.1,1,10879
0,4000,24,5000,0.0594839,5,1.14,1,11416
0,4000,26,5400,0.0594839,5,1.18,1,12024
0,4000,28,5800,0.0594839,5,1.22,1,12573
0,4000,30,6200,0.0537107,7,1.29,1,13139
0,4000,32,6600,0.0537107,7,1.39,1,13828
0,4000,34,7000,0.0537107,7,1.48,1,14532
0,4000,36,7400,0.0537107,7,1.6,1,15171
0,4000,38,7800,0.0537107,7,1.72,1,15881
0,4000,40,8200,0.0524576,9,1.88,1,16674
0,4000,42,8600,0.0524576,9,2.04,1,17527
0,4000,44,9000,0.0524576,9,2.2,1,18429
0,4000,46,9400,0.0524576,9,2.36,1,19405
0,4000,48,9800,0.0524576,9,2.56,1,20497
0,4000,50,10200,0.0524576,9,2.76,1,21678
0,4000,52,10600,0.0524576,9,2.96,1,22934
0,4000,54,11000,0.0524576,9,3.16,1,24228
0,4000,56,11400,0.0524576,9,3.36,3,25720
0,4000,58,11800,0.0524576,9,3.56,3,27250
0,4000,60,12200,0.0524576,9,3.76,3,28799
0,4000,62,12600,0.0524576,9,3.96,3,30471
0,4000,64,13000,0.0524576,9,4.16,5,32127
0,4000,66,13400,0.0524576,9,4.36,5,33997
0,4000,68,13800,0.0524576,9,4.54,5,35814
0,4000,70,14200,0.0524576,9,4.64,5,37807
0,4000,72,14600,0.0524576,9,4.74,5,39787
0,4000,74,15000,0.0524576,11,4.87,5,41801
0,4000,76,15400,0.0524576,11,4.96,5,43878
0,4000,78,15800,0.0524576,11,5.08,5,45980
0,4000,80,16200,0.0524576,11,5.16,5,48011
0,4000,82,16600,0.0522885,17,5.32,5,50197
0,4000,84,17000,0.0522885,17,5.33,5,52345
0,4000,86,17400,0.0522885,17,5.39,5,54623
0,4000,88,17800,0.0522885,17,5.5,5,56855
0,4000,90,18200,0.0522885,17,5.51,5,59104
0,4000,92,18600,0.0522885,17,5.71,5,61494
0,4000,94,19000,0.0522885,17,5.87,5,63838
0,4000,96,19400,0.0522885,17,6.05,5,66450
0,4000,98,19800,0.0522885,17,5.59,5,68977
0,4000,99,20000,0.0522885,17,5.61,5,70091
1,4001,0,200,0.0661845,16,13.62,10,2724
1,4001,2,600,0.0640075,9,3.3,2.5,5449
1,4001,4,1000,0.0621709,13,2.035,1,6792
1,4001,6,1400,0.0605281,12,1.36,1,7742
1,4001,8,1800,0.0605281,12,1.605,1,8588
1,4001,10,2200,0.0605281,12,1.88,1,9552
1,4001,12,2600,0.0605281,12,2.115,1,10389
1,4001,14,3000,0.0605281,12,2.415,1,11609
1,4001,16,3400,0.0600701,14,1.675,1,12933
1,4001,18,3800,0.0600701,14,1.915,1,13875
1,4001,20,4200,0.0600701,14,2.205,1,14946
1,4001,22,4600,0.0600701,14,2.47,1,15997
1,4001,24,5000,0.0543977,11,1.275,1,17243
