run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.0523094,0.0482756,0.0478987,0.0610446,11,5,20000,99,70091,0.595432,1.26306,-0.462909,(exp(cos((0.108 + x0))) - x0) - (0.834 * x0)
1,4001,0.0526735,0.0507337,0.0509077,0.282083,6,4,20000,99,46357,0.571713,-0.538174,1.54716,exp(sin(log((0.252 + x0))))
2,4002,0.0535242,0.0483782,0.049863,0.235345,8,5,20000,99,64243,0.613029,0.547376,0.763246,x0 + sin(sin((x0 - exp(-0.101))))
3,4003,0.0566631,0.0505458,0.0558457,0.90305,4,2,20000,99,39607,0.55149,1.22021,1.55407,sin((x0 - 0.89))
4,4004,0.0533537,0.0477896,0.0495939,0.244012,9,4,20000,99,65325,0.624732,0.287888,0.764198,(0.328 + x0) + sin(sin((x0 - 0.891)))
5,4005,0.0559488,0.0525169,0.055471,0.824616,4,2,20000,99,39090,0.556761,1.27724,-1.54581,cos((x0 + 0.639))
6,4006,0.0542422,0.0497859,0.0464795,0.086472,13,5,20000,99,71498,0.611755,0.560606,13.7746,(cos(sin(x0)) - (x0 + (x0 - (x0 * -0.044)))) * -0.044
7,4007,0.0536677,0.0478795,0.0489136,0.566382,11,4,20000,99,74674,0.630712,-0.0464855,1.16145,log((x0 + exp(0.869))) - cos((cos(0.948) + x0))
8,4008,0.0529797,0.0471318,0.0467557,0.106565,16,6,20000,99,100699,0.713529,1.25701,-0.471597,(exp(cos(x0)) - ((x0 / (x0 + exp(x0))) - (-0.728 * x0))) - x0
9,4009,0.0530503,0.0480416,0.0466643,0.309747,11,6,20000,99,55865,0.594281,1.87595,-1.83705,0.227 + cos((x0 - ((sin(x0) * -0.635) / x0)))
10,4010,0.0537128,0.0483247,0.047387,0.369078,9,4,20000,99,57849,0.593366,0.69726,-0.91768,cos((log(0.502) - x0)) - (x0 * 0.628)
11,4011,0.0561597,0.0507347,0.0555,0.876465,5,3,20000,99,46729,0.565199,1.23948,-1.55102,cos((x0 + cos(0.841)))
12,4012,0.053447,0.0477468,0.0477925,0.452464,11,4,20000,99,52021,0.585581,0.755111,0.501266,(x0 - cos((-0.699 - x0))) - cos((-0.699 - x0))
13,4013,0.0559034,0.0518173,0.0553906,0.839516,4,2,20000,99,34164,0.529781,1.26636,-1.54721,cos((x0 + 0.647))
14,4014,0.0559074,0.0519955,0.0554056,0.835407,4,2,20000,99,46769,0.582699,1.26936,1.54681,sin((x0 - 0.926))
15,4015,0.0567729,0.0560381,0.0563099,0.772852,4,2,20000,99,42706,0.557725,1.31516,-1.5416,cos((x0 - -0.611))
16,4016,0.0531822,0.0495278,0.0462315,0.94321,8,3,20000,99,75611,0.618895,0.00683824,0.941802,x0 * ((x0 * 0.93) + cos(x0))
17,4017,0.0560495,0.0531949,0.0555899,0.812465,5,3,20000,99,42158,0.558079,1.28612,-1.54473,sin((cos(-0.353) - x0))
18,4018,0.0533644,0.0472806,0.0493465,0.26111,7,4,20000,99,54224,0.592596,0.520525,0.766338,sin(sin((-0.865 + x0))) + x0
19,4019,0.0529167,0.0476206,0.0480006,0.403091,11,4,20000,99,74062,0.607821,1.07458,0.628658,(x0 - cos(x0)) + sin((sin(x0) - sin(0.93)))
20,4020,0.0533025,0.0473846,0.0494035,0.253929,7,4,20000,99,55197,0.595468,0.528193,-0.765396,sin(sin((0.876 - x0))) - x0
21,4021,0.0523585,0.0485049,0.04664,0.650028,10,4,20000,99,71497,0.636571,0.000893295,-3.65993,sin(sin((x0 * -0.253))) * (cos(x0) + x0)
22,4022,0.0526723,0.0485536,0.047881,0.195813,23,9,20000,99,83223,0.668942,1.46971,1.2374,x0 - exp(exp((((sin(((-0.667 * x0) + x0)) - exp(x0)) + -0.768) - log((exp(x0) - (x0 + x0))))))
23,4023,0.0534182,0.0480355,0.0497066,0.240005,7,4,20000,99,73151,0.611672,0.542653,0.763747,sin(sin((x0 + -0.897))) + x0
24,4024,0.055891,0.0518694,0.0452496,0.0974874,8,4,20000,99,49470,0.583027,0.252766,-0.491294,(sin((0.687 - x0)) - x0) - x0
25,4025,0.0545302,0.0475135,0.0488514,0.509842,41,12,20000,99,69563,0.643659,0.614812,-0.255434,(exp(cos(x0)) - ((x0 + ((x0 * (sin(x0) - (x0 * -0.122))) + log(((x0 + ((x0 * (sin(x0) - (x0 * -0.122))) + log(((x0 + x0) + cos(0.483))))) + cos(0.483))))) - -0.409)) - x0
26,4026,0.0529326,0.051223,0.0496014,1.80347,17,4,20000,99,83705,0.644098,-0.0984252,0.498248,((x0 + 0.268) * (x0 + cos(x0))) * (((x0 / -0.785) * -0.785) + cos(x0))
27,4027,0.0542945,0.0482791,0.0475691,0.467912,7,4,20000,99,76707,0.633382,-0.753433,0.728113,x0 + exp(sin((0.719 * x0)))
28,4028,0.0559036,0.0517557,0.0553865,0.841002,4,2,20000,99,54330,0.606494,1.26528,1.54735,sin((x0 + -0.923))
29,4029,0.0542517,0.0503586,0.0490263,0.178644,7,4,20000,99,50176,0.595062,1.10024,1.08861,x0 - cos(sin((x0 * 0.82)))
