run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.0652376,15,12.47,10,2494
0,4000,2,596,0.0540827,14,7.745,6,5908
0,4000,4,992,0.0576115,7,2.59,1,7203
0,4000,6,1388,0.054117,11,5.045,5,8970
0,4000,8,1784,0.0537064,19,6.86,7,11599
0,4000,10,2180,0.0534458,7,8.415,8,14809
0,4000,12,2576,0.0534458,7,7.83,7,17947
0,4000,14,2972,0.0534458,7,8.335,8,21219
0,4000,16,3368,0.0534458,7,8.45,8,24550
0,4000,18,3764,0.0534458,7,8.1,7.5,27733
0,4000,20,4160,0.0534458,7,7.29,7,30672
0,4000,22,4556,0.0534458,7,7.405,7,33600
0,4000,24,4952,0.0534458,7,7.98,7,36731
0,4000,26,5348,0.0534458,7,7.94,7,39856
0,4000,28,5744,0.0534458,7,7.985,7,42977
0,4000,30,6140,0.0534458,7,7.29,7,45857
0,4000,32,6536,0.0534458,7,6.725,7,48602
0,4000,34,6932,0.0534458,7,7.205,7,51337
0,4000,36,7328,0.0534458,7,7.52,7,54251
0,4000,38,7724,0.0534458,7,7.18,7,57156
0,4000,40,8120,0.0534458,15,7.84,8,60193
0,4000,42,8516,0.0534458,15,7.625,7,63200
0,4000,44,8912,0.0534458,15,7.73,7,66150
0,4000,46,9308,0.0534458,10,7.79,7,69218
0,4000,48,9704,0.0529854,19,7.28,7,72137
0,4000,50,10100,0.0534458,15,7.295,7,75034
0,4000,52,10496,0.0534458,15,7.325,7,77966
0,4000,54,10892,0.0534458,7,7.6,7,80958
0,4000,56,11288,0.0534458,7,7.435,7,83949
0,4000,58,11684,0.0534458,7,7.345,7,86809
0,4000,60,12080,0.0534458,7,7.455,7,89762
0,4000,62,12476,0.0534458,15,7.485,7,92782
0,4000,64,12872,0.0534458,7,7.95,7,95838
0,4000,66,13268,0.0534458,7,7.365,7,98801
0,4000,68,13664,0.0534458,7,7.7,7,101788
0,4000,70,14060,0.0534458,7,7.485,7,104696
0,4000,72,14456,0.0534458,7,7.35,7,107655
0,4000,74,14852,0.0534458,7,7.655,7,110697
0,4000,76,15248,0.0534458,7,7.1,7,113544
0,4000,78,15644,0.0534458,7,7.11,7,116355
0,4000,80,16040,0.0534458,15,7.47,7,119254
0,4000,82,16436,0.0534458,7,7.31,7,122210
0,4000,84,16832,0.0534458,7,7.53,7,125176
0,4000,86,17228,0.0531862,18,7.45,7,128142
0,4000,88,17624,0.0534458,7,7.045,7,131033
0,4000,90,18020,0.0534458,7,7.495,7,133949
0,4000,92,18416,0.0534458,7,7.625,7,137008
0,4000,94,18812,0.0534458,7,7.165,7,139852
0,4000,96,19208,0.0534458,7,7.225,7,142786
0,4000,98,19604,0.0534458,7,7.42,7,145738
0,4000,100,20000,0.0534458,7,7.55,7,148720
1,4001,0,200,0.0661845,16,13.62,10,2724
1,4001,2,596,0.0643221,15,4.145,3,5096
1,4001,4,992,0.0674722,1,1.39,1,5762
1,4001,6,1388,0.0674722,1,1.515,1,6305
1,4001,8,1784,0.0674722,1,1.24,1,6880
1,4001,10,2180,0.0674722,1,1.255,1,7354
1,4001,12,2576,0.0674722,1,1.22,1,7819
1,4001,14,2972,0.0674722,1,1.18,1,8275
1,4001,16,3368,0.0674722,1,1.155,1,8816
1,4001,18,3764,0.0674722,1,1.265,1,9327
1,4001,20,4160,0.0674722,1,1.14,1,9786
1,4001,22,4556,0.0611642,14,1.4,1,10300
1,4001,24,4952,0.0674722,1,1.15,1,10790
1,4001,26,5348,0.0674722,1,1.3,1,11277
1,4001,28,5744,0.0674722,1,1.15,1,11747
1,4001,30,6140,0.0674722,1,1.23,1,12250
1,4001,32,6536,0.0674722,1,1.33,1,12766
1,4001,34,6932,0.0674722,1,1.45,1,13268
1,4001,36,7328,0.0674722,1,1.15,1,13765
1,4001,38,7724,0.0674722,1,1.41,1,14289
1,4001,40,8120,0.0674722,1,1.245,1,14803
1,4001,42,8516,0.0674722,1,1.16,1,15275
1,4001,44,8912,0.0674722,1,1.14,1,15772
1,4001,46,9308,0.0674722,1,1.255,1,16278
1,4001,48,9704,0.0674722,1,1.265,1,16727
1,4001,50,10100,0.0674722,1,1.305,1,17239
1,4001,52,10496,0.0674722,1,1.125,1,17666
1,4001,54,10892,0.0674722,1,1.03,1,18164
1,4001,56,11288,0.0674722,1,1.395,1,18653
1,4001,58,11684,0.0674722,1,1.11,1,19108
1,4001,60,12080,0.0674722,1,1.34,1,19636
1,4001,62,12476,0.0674722,1,1.125,1,20110
1,4001,64,12872,0.0674722,1,1.295,1,20623
1,4001,66,13268,0.0674722,1,1.375,1,21151
1,4001,68,13664,0.0674722,1,1.08,1,21587
1,4001,70,14060,0.0674722,1,1.285,1,22138
1,4001,72,14456,0.061899,9,1.305,1,22623
1,4001,74,14852,0.0674722,1,1.18,1,23125
1,4001,76,15248,0.0674722,3,1.19,1,23585
1,4001,78,15644,0.0674722,1,1.055,1,24054
1,4001,80,16040,0.0674722,1,1.08,1,24487
1,4001,82,16436,0.0674722,1,1.22,1,24960
1,4001,84,16832,0.0674722,1,1.3,1,25471
1,4001,86,17228,0.0674722,1,1.205,1,25942
1,4001,88,17624,0.0674722,1,1.135,1,26407
1,4001,90,18020,0.0674722,3,1.33,1,26887
1,4001,92,18416,0.0674722,1,1.155,1,27360
1,4001,94,18812,0.0674722,1,1.46,1,27932
1,4001,96,19208,0.0634708,5,1.255,1,28417
1,4001,98,19604,0.0634708,5,1.58,1,28969
1,4001,100,20000,0.0634364,6,3.02,2,29999
2,4002,0,200,0.0674722,7,11.765,8,2353
2,4002,2,596,0.0594697,4,5.755,4,5379
2,4002,4,992,0.0594697,4,3.655,4,6675
2,4002,6,1388,0.0594691,7,4.175,4,8306
2,4002,8,1784,0.0594691,7,4.345,4,10010
2,4002,10,2180,0.0594691,7,4.2,4,11670
2,4002,12,2576,0.0594697,4,4.095,4,13286
2,4002,14,2972,0.0594697,4,4.11,4,14971
2,4002,16,3368,0.0594697,4,4.29,4,16626
2,4002,18,3764,0.0594697,4,4.175,4,18266
2,4002,20,4160,0.0594697,4,4.085,4,19911
2,4002,22,4556,0.0594697,4,4.19,4,21565
2,4002,24,4952,0.0594697,4,4.205,4,23233
2,4002,26,5348,0.0594697,4,4.155,4,24866
2,4002,28,5744,0.0594697,4,4.07,4,26545
2,4002,30,6140,0.0594697,4,4.16,4,28196
2,4002,32,6536,0.0594697,4,4.125,4,29818
2,4002,34,6932,0.0594535,4,4.115,4,31480
2,4002,36,7328,0.0594535,4,4.26,4,33143
2,4002,38,7724,0.0594535,4,4.12,4,34783
2,4002,40,8120,0.0594535,4,4,4,36419
2,4002,42,8516,0.0594535,4,4.205,4,38083
2,4002,44,8912,0.0594535,4,4.18,4,39753
2,4002,46,9308,0.0594535,4,4.1,4,41369
2,4002,48,9704,0.0594535,4,4.05,4,42966
2,4002,50,10100,0.0594535,4,4.085,4,44606
2,4002,52,10496,0.0594535,6,4.07,4,46318
2,4002,54,10892,0.0594535,4,4.15,4,48013
2,4002,56,11288,0.0594535,4,4.14,4,49666
2,4002,58,11684,0.0594535,4,4.045,4,51296
2,4002,60,12080,0.0594535,4,4.175,4,52987
2,4002,62,12476,0.0594535,6,4.255,4,54655
2,4002,64,12872,0.0594097,6,4.195,4,56363
2,4002,66,13268,0.0594535,6,4.26,4,58052
2,4002,68,13664,0.0571656,15,4.045,4,59688
2,4002,70,14060,0.0594535,4,4.215,4,61325
2,4002,72,14456,0.0594535,4,4.115,4,62961
2,4002,74,14852,0.0594535,4,4.305,4,64640
2,4002,76,15248,0.0594535,6,4.06,4,66259
2,4002,78,15644,0.0594535,4,4.045,4,67886
2,4002,80,16040,0.0594535,6,4,4,69492
2,4002,82,16436,0.0594535,4,4.305,4,71191
2,4002,84,16832,0.0594535,4,4.2,4,72832
2,4002,86,17228,0.0594535,4,4.28,4,74511
2,4002,88,17624,0.0594535,6,4.05,4,76149
2,4002,90,18020,0.0594535,6,4.235,4,77796
2,4002,92,18416,0.0594535,4,4.19,4,79452
2,4002,94,18812,0.0594535,4,4.125,4,81066
2,4002,96,19208,0.0594535,4,4.065,4,82665
2,4002,98,19604,0.0594535,4,4.17,4,84293
2,4002,100,20000,0.0594535,4,4.33,4,85994
3,4003,0,200,0.0573,4,12.74,9,2548
3,4003,2,596,0.0538628,20,5.085,4,5328
