run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.0534458,0.0476093,0.0466566,0.0650614,7,5,20000,100,148720,0.295308,-0.849381,1.24844,cos(cos(cos(cos(x0)))) + x0
1,4001,0.0674722,0.0631174,0.0558473,0.416382,1,0,20000,100,29999,0.133517,-0.0347912,1.40172,x0
2,4002,0.0600801,0.0570274,0.047342,0.133853,6,3,20000,100,85994,0.179063,-0.0753704,-5.16838,sin((x0 * (0.123 + -0.409)))
3,4003,0.0559074,0.0519955,0.0554056,0.835407,4,2,20000,100,85006,0.173467,1.26936,1.54681,sin((x0 - 0.926))
4,4004,0.0562155,0.0520289,0.0486613,0.17544,6,3,20000,100,33978,0.135071,0.587316,0.735717,sin((-0.93 + x0)) + x0
5,4005,0.0559038,0.0517402,0.0553856,0.841382,4,2,20000,100,85167,0.180597,1.265,-1.54739,cos((0.648 + x0))
6,4006,0.0546375,0.0498933,0.0450747,0.0770166,9,4,20000,100,144552,0.251932,0.38602,-0.429008,(cos(sin(x0)) - (x0 + x0)) - x0
7,4007,0.0595003,0.0576771,0.0465466,0.0592366,4,2,20000,100,47149,0.157128,-0.0861373,-4.66904,sin((x0 * -0.321))
8,4008,0.053767,0.0487965,0.0462141,0.272867,8,6,20000,100,113275,0.244066,7.08927,-10.5042,sin(sin(sin(exp(sin((-0.434 * x0))))))
9,4009,0.0534458,0.0476093,0.0466566,0.0650614,15,7,20000,100,145793,0.269631,-0.849381,0.62422,(cos(cos(cos(cos(x0)))) + (cos(cos(cos(cos(x0)))) + x0)) + x0
10,4010,0.0674722,0.0631174,0.0558473,0.416382,3,1,20000,100,28604,0.126631,-0.274484,1.40172,0.171 + x0
11,4011,0.0559092,0.0515813,0.0553787,0.845418,5,3,20000,100,103633,0.223159,1.26206,-1.54778,cos((x0 + cos(0.863)))
12,4012,0.0559188,0.0514548,0.0553769,0.848855,4,2,20000,100,120009,0.215124,1.25956,-1.54812,cos((0.652 + x0))
13,4013,0.0540152,0.0493959,0.0454204,0.0399385,13,6,20000,100,147826,0.281191,-2.52395,-3.0075,(((cos(sin(x0)) * 0.419) - x0) * 0.419) - (x0 / x0)
14,4014,0.0594536,0.0581237,0.0464401,0.0340185,4,2,20000,100,87324,0.306532,-0.0897979,4.53553,sin((x0 * 0.332))
15,4015,0.0530028,0.0509754,0.0496308,1.80451,15,5,20000,100,75813,0.209417,-0.05073,0.494688,(cos(x0) + x0) * (-0.216 - ((cos(x0) + x0) * (-0.379 - x0)))
16,4016,0.0594535,0.0582191,0.0464297,0.0293705,4,2,20000,100,81032,0.194908,-0.0904779,-4.51229,sin((x0 * -0.334))
17,4017,0.0534458,0.0476093,0.0466566,0.0650614,7,5,20000,100,140919,0.28084,-0.849381,1.24844,x0 + cos(cos(cos(cos(x0))))
18,4018,0.0565949,0.0522901,0.0460537,0.0256354,12,6,20000,100,125720,0.265604,0.57078,0.906251,log(((x0 * (((x0 * x0) + 0.485) + 0.485)) + 0.485))
19,4019,0.052608,0.0512954,0.0511803,0.276735,6,4,20000,100,121657,0.244772,-0.527559,1.54625,exp(sin(log((0.245 + x0))))
20,4020,0.0559048,0.0519133,0.0553981,0.837271,4,2,20000,100,84866,0.176643,1.268,-1.54699,sin((0.925 - x0))
21,4021,0.0559044,0.0518968,0.0553967,0.837651,4,2,20000,100,84444,0.181983,1.26772,-1.54703,cos((-0.646 - x0))
22,4022,0.0553501,0.0506987,0.045323,0.0592597,7,5,20000,100,93123,0.21431,7.91338,-10.6726,sin(sin(exp(sin((x0 * -0.337)))))
23,4023,0.0543977,0.0493472,0.0470014,0.426731,7,3,20000,100,147637,0.269377,0.580044,0.62392,(sin(x0) + x0) - cos(x0)
24,4024,0.0553669,0.0511466,0.0475684,0.195663,15,6,20000,100,161017,0.274366,-0.00715866,1.29066,((x0 * ((x0 * (-0.445 + x0)) / exp(x0))) / exp(x0)) + x0
25,4025,0.0540971,0.0487505,0.0458953,0.26655,8,3,20000,100,84973,0.198033,-0.0191242,-0.742304,cos((0.751 + x0)) - (x0 - -0.712)
26,4026,0.0534458,0.0476093,0.0466566,0.0650614,7,5,20000,100,140355,0.257772,-0.849381,1.24844,x0 + cos(cos(cos(cos(x0))))
27,4027,0.0538852,0.0499967,0.0532696,0.24827,8,5,20000,100,127285,0.247632,1.74951,0.638984,x0 - exp(cos((x0 - sin(-0.118))))
28,4028,0.0559038,0.0517402,0.0553856,0.841382,4,2,20000,100,78662,0.17753,1.265,-1.54739,cos((0.648 + x0))
29,4029,0.0559055,0.0516653,0.0553818,0.843249,4,2,20000,100,85559,0.187535,1.26364,-1.54757,cos((0.649 + x0))
