run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.0652376,15,12.47,10,2494
0,4000,2,521,0.060711,10,7.6,6,4635
0,4000,4,842,0.0598283,8,6.375,5,6299
0,4000,6,1158,0.0598283,8,5.195,4,7688
0,4000,8,1467,0.0598283,10,5.555,5,8984
0,4000,10,1766,0.0598283,10,5.06,5,10313
0,4000,12,2072,0.0596457,12,5.905,5,11772
0,4000,14,2357,0.0563345,4,7.025,6,13367
0,4000,16,2688,0.0563345,4,5.395,5,15071
0,4000,18,2994,0.055912,4,4.635,4,16324
0,4000,20,3284,0.055912,4,4.515,4,17484
0,4000,22,3588,0.055912,4,4.38,4,18666
0,4000,24,3865,0.055912,4,4.045,4,19670
0,4000,26,4138,0.055912,4,4.07,4,20623
0,4000,28,4429,0.055912,4,4.07,4,21581
0,4000,30,4722,0.055912,4,4.225,4,22617
0,4000,32,5006,0.055912,4,4.11,4,23649
0,4000,34,5286,0.055912,4,4.07,4,24598
0,4000,36,5563,0.055912,4,3.94,4,25546
0,4000,38,5834,0.055912,4,3.465,4,26379
0,4000,40,6123,0.055912,4,3.085,3.5,27106
0,4000,42,6412,0.0543977,7,3.295,3,27865
0,4000,44,6695,0.0543977,7,2.98,3,28535
0,4000,46,6989,0.0543977,9,2.675,2,29113
0,4000,48,7299,0.0543977,9,3.31,2,29811
0,4000,50,7601,0.0543977,9,4.155,3,30619
0,4000,52,7897,0.0543977,9,4.96,4,31525
0,4000,54,8201,0.0543977,9,5.17,4,32755
0,4000,56,8504,0.0538969,12,5.69,4,34064
0,4000,58,8802,0.0538969,12,5.915,5,35474
0,4000,60,9065,0.0538969,12,8.035,7,37060
0,4000,62,9338,0.0538098,14,8.01,8,38728
0,4000,64,9625,0.0533594,15,8.545,8,40681
0,4000,66,9923,0.0533594,15,8.985,8,42742
0,4000,68,10225,0.0533594,15,9.135,8,44922
0,4000,70,10546,0.0533594,15,8.06,7,47223
0,4000,72,10841,0.0528966,10,8.015,7,49172
0,4000,74,11144,0.0528966,10,8.12,7,51245
0,4000,76,11432,0.0527904,11,8.315,8,53287
0,4000,78,11709,0.0527904,11,9.545,9,55339
0,4000,80,12019,0.0527904,11,7.68,7,57426
0,4000,82,12287,0.0527904,11,8.205,8,59243
0,4000,84,12583,0.0527904,11,8.165,7,61267
0,4000,86,12886,0.0527904,11,8.51,8,63524
0,4000,88,13167,0.0527904,11,9.68,10,65711
0,4000,90,13445,0.0527904,11,9.665,9,67839
0,4000,92,13733,0.0527904,11,9.565,9,70083
0,4000,94,14026,0.0527904,11,9.985,10,72538
0,4000,96,14316,0.0527904,11,9.615,9,74925
0,4000,98,14604,0.0527904,11,9.065,9,77138
0,4000,100,14891,0.0527904,11,8.61,9,79256
0,4000,102,15169,0.0527904,11,9.185,9,81422
0,4000,104,15456,0.0527238,18,10.4,9,83858
0,4000,106,15748,0.0527238,18,10.975,10,86442
0,4000,108,16021,0.0527238,18,12.635,11,89125
0,4000,110,16291,0.0527238,18,13.635,14,92101
0,4000,112,16555,0.0527238,18,14.6,15,95339
0,4000,114,16832,0.0527238,18,13.87,14,98534
0,4000,116,17107,0.0527238,18,13.975,14,101783
0,4000,118,17389,0.0527238,18,13.745,13,105173
0,4000,120,17684,0.0527238,18,13.12,12.5,108631
0,4000,122,17978,0.0527238,18,12.935,13,111925
0,4000,124,18251,0.0527238,18,12.62,12,114911
0,4000,126,18535,0.0527238,18,13.14,13,118058
0,4000,128,18820,0.0527238,18,12.395,12,121111
0,4000,130,19098,0.0527238,20,11.78,11,123850
0,4000,132,19384,0.0527238,20,11.9,11,126728
0,4000,134,19664,0.0527238,20,12.635,12,129791
0,4000,136,19943,0.0527238,20,13.895,13,132899
0,4000,137,20000,0.0527238,20,12.65,12,133495
1,4001,0,200,0.0661845,16,13.62,10,2724
1,4001,2,549,0.0577447,10,6.465,6,4916
1,4001,4,878,0.054588,6,4.245,3,6150
1,4001,6,1188,0.054588,6,4.475,3,7229
1,4001,8,1504,0.054588,8,4.615,3,8359
1,4001,10,1807,0.0541157,6,4.66,3,9490
1,4001,12,2105,0.0535244,11,5.085,3,10674
1,4001,14,2402,0.0535244,11,5.28,4,11867
1,4001,16,2686,0.0534789,11,7.82,8,13459
1,4001,18,2954,0.0534789,11,9.435,9,15529
1,4001,20,3248,0.0534789,11,7.715,7,17566
1,4001,22,3538,0.0534789,11,7.61,6,19406
1,4001,24,3840,0.0534789,11,7.335,6,21296
1,4001,26,4132,0.0534789,11,7.435,6,23015
1,4001,28,4437,0.0534789,11,6.61,6,24778
1,4001,30,4740,0.0534789,11,6.745,6,26543
1,4001,32,5040,0.0534789,11,6.885,6,28259
1,4001,34,5336,0.0534789,11,7.09,6,29987
1,4001,36,5637,0.0534789,11,6.99,6,31806
1,4001,38,5935,0.0534789,11,6.85,6,33538
1,4001,40,6233,0.0534789,11,7.4,6,35380
1,4001,42,6545,0.0534789,11,6.765,6,37231
1,4001,44,6834,0.0534789,11,7.325,6,38956
1,4001,46,7118,0.0534789,11,7.205,6,40606
1,4001,48,7409,0.0534789,11,6.88,6,42238
1,4001,50,7712,0.0534789,11,6.295,6,43898
1,4001,52,8019,0.0534789,11,6.66,6,45603
1,4001,54,8313,0.0534789,11,7.565,6,47377
1,4001,56,8613,0.0534789,11,7.965,7,49279
1,4001,58,8910,0.0534789,11,7.395,6,51094
1,4001,60,9212,0.0534789,11,6.82,6,52864
1,4001,62,9513,0.0534789,11,6.795,6,54620
1,4001,64,9813,0.0534789,11,7.175,6,56427
1,4001,66,10112,0.0534789,11,8.565,7,58514
1,4001,68,10423,0.0534789,11,7.485,6,60499
1,4001,70,10727,0.0534789,11,6.965,6,62342
1,4001,72,11021,0.0534789,11,7.095,6,64093
1,4001,74,11308,0.0534789,11,7.67,7,65874
1,4001,76,11597,0.0534789,11,7.15,6,67653
1,4001,78,11908,0.0534789,11,6.53,6,69407
1,4001,80,12226,0.0534591,12,6.835,6,71248
1,4001,82,12516,0.0534591,12,7.56,7,73070
1,4001,84,12825,0.0534591,12,7.44,6,75009
1,4001,86,13129,0.0534591,14,7.86,6,76942
1,4001,88,13424,0.0534591,14,9.905,7.5,79199
1,4001,90,13721,0.0534445,14,11.405,9,81871
1,4001,92,14000,0.0534445,14,12.83,12,84510
1,4001,94,14289,0.0534445,14,13.035,12,87477
1,4001,96,14587,0.0534445,14,12.05,12,90487
1,4001,98,14876,0.0534445,14,12.165,12,93435
1,4001,100,15160,0.0534445,14,12.34,12,96344
1,4001,102,15444,0.0534445,14,12.73,12,99287
1,4001,104,15733,0.0534445,14,11.66,11,102078
1,4001,106,16022,0.0534445,14,11.47,11,104931
1,4001,108,16308,0.0534445,14,11.565,11,107769
1,4001,110,16602,0.0534445,14,10.63,10,110410
1,4001,112,16895,0.0534445,14,11.13,11,113167
1,4001,114,17179,0.0534445,14,13.355,12.5,116075
1,4001,116,17465,0.0534445,14,12.22,12.5,119036
1,4001,118,17755,0.0534445,14,11.405,11,121845
1,4001,120,18052,0.0534445,14,11.7,11,124761
1,4001,122,18338,0.0534445,14,11.83,11,127614
1,4001,124,18651,0.0534445,14,11.04,10.5,130552
1,4001,126,18934,0.0534445,14,13.55,12,133636
1,4001,128,19249,0.0534445,14,12.63,12,136966
1,4001,130,19536,0.0534445,14,12.025,12,139877
1,4001,132,19838,0.0534445,14,12.135,11,142942
1,4001,134,20000,0.0534445,14,12.02,11,144560
2,4002,0,200,0.0674722,7,11.765,8,2353
2,4002,2,532,0.0594697,4,6.425,5.5,4338
2,4002,4,857,0.0540226,8,4.35,4,5517
2,4002,6,1136,0.0540226,8,4.095,4,6431
2,4002,8,1437,0.0540226,8,5.11,4,7593
2,4002,10,1757,0.0540226,8,4.75,4,8967
2,4002,12,2064,0.0540226,8,4.37,4,10159
2,4002,14,2370,0.0540226,8,4.625,4,11379
2,4002,16,2679,0.0540226,8,4.49,4,12611
2,4002,18,2993,0.0540226,8,4.545,4,13832
2,4002,20,3313,0.0540226,8,4.43,4,15073
2,4002,22,3611,0.0540226,8,4.51,4,16236
2,4002,24,3922,0.0540226,8,4.5,4,17447
