run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.0527904,0.0469035,0.0477574,0.0383955,11,7,20000,137,133495,0.487992,0.284533,0.513608,x0 + (x0 + sin(sin(sin(sin((x0 - 0.839))))))
1,4001,0.0534445,0.0476574,0.0477364,0.460582,14,5,20000,134,144560,0.480316,0.360872,0.502049,((x0 - -0.771) - cos((x0 - sin(-0.855)))) - cos((x0 + 0.658))
2,4002,0.0531166,0.0477024,0.048694,0.027032,11,7,20000,132,91032,0.231373,0.307003,-0.511252,(sin(sin(sin(sin((0.889 - x0))))) - x0) - x0
3,4003,0.0526296,0.0470504,0.0473037,0.0629823,32,13,20000,138,311409,0.70889,0.397924,0.221596,x0 + (((x0 - 0.82) + (x0 + (x0 + sin(sin(sin(sin((x0 - 0.853)))))))) + (x0 + sin(sin(sin(sin(sin(sin(sin(sin(sin((x0 - 0.82))))))))))))
4,4004,0.0536873,0.0485623,0.0484602,0.60869,25,10,20000,123,95157,0.248542,0.0674995,-1.18183,-0.866 - ((x0 * -0.465) - ((sin((sin(((-0.866 - x0) * sin(cos(-0.662)))) * sin(cos(-0.662)))) * x0) - (x0 - 0.924)))
5,4005,0.0534758,0.0476257,0.0477117,0.469529,13,5,20000,134,176469,0.562289,0.283345,0.502541,0.91 + ((x0 - cos((0.663 + x0))) - cos((0.765 + x0)))
6,4006,0.0534332,0.047568,0.0464555,0.0542659,9,6,20000,132,117485,0.350826,-0.843402,1.2461,x0 + cos(cos(cos(cos((-0.981 * x0)))))
7,4007,0.0534422,0.0477025,0.0477674,0.455957,11,4,20000,130,231459,0.685801,0.7523,0.501432,(x0 - cos((-0.702 - x0))) - cos((-0.702 - x0))
8,4008,0.0532063,0.0478107,0.0490726,0.106218,23,7,20000,135,175477,0.406582,0.948341,-0.30624,(0.893 - x0) + (sin(sin(sin(sin((0.893 - x0))))) + (((0.893 - x0) + sin(sin((0.893 - x0)))) - x0))
9,4009,0.0535564,0.0477831,0.0470599,0.343306,15,12,20000,136,163067,0.506232,55.6724,-29.4924,exp(sin(sin(sin(exp(sin(sin((-0.148 * exp(sin(sin((x0 * 0.473))))))))))))
