run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.702007,5,11.27,8,2254
0,4000,2,596,0.433484,7,8.15,5,5740
0,4000,4,992,0.384355,10,6.945,5,8406
0,4000,6,1388,0.383973,10,9.56,9,11941
0,4000,8,1784,0.364751,18,10.94,10,15981
0,4000,10,2180,0.303438,16,20.385,20,22934
0,4000,12,2576,0.303438,16,28.645,27.5,33262
0,4000,14,2972,0.30116,70,45.4,48.5,49429
0,4000,16,3368,0.266663,41,57.115,62,70813
0,4000,18,3764,0.253218,46,55.22,56,93178
0,4000,20,4160,0.240959,62,56.005,58,114655
0,4000,22,4556,0.21964,67,64.535,67,139500
0,4000,24,4952,0.210229,69,62.33,64,164133
0,4000,26,5348,0.201663,51,64.275,66,189516
0,4000,28,5744,0.181321,89,63.16,60,214448
0,4000,30,6140,0.177056,73,69.74,73.5,241399
0,4000,32,6536,0.166526,72,78.055,81,272063
0,4000,34,6932,0.160924,87,74.975,76,301739
0,4000,36,7328,0.158089,94,74.96,77.5,331716
0,4000,38,7724,0.145283,94,79.87,86,362952
0,4000,40,8120,0.126537,100,81.58,88,395474
0,4000,42,8516,0.123613,104,88.66,94,429880
0,4000,44,8912,0.12088,105,94.915,100,467317
0,4000,46,9308,0.119609,105,97.47,101,505718
0,4000,48,9704,0.119609,105,98.58,104,544707
0,4000,50,10100,0.11567,104,98.005,104,583813
0,4000,52,10496,0.113708,108,101.57,104,623691
0,4000,54,10892,0.112862,115,102.255,105,663900
0,4000,56,11288,0.112862,115,101.24,107,703844
0,4000,58,11684,0.109307,110,102.875,108,744309
0,4000,60,12080,0.109307,110,107.585,111,786459
0,4000,62,12476,0.106546,114,105.97,111,828604
0,4000,64,12872,0.106546,114,106.37,111,871010
0,4000,66,13268,0.106183,117,108.06,112,913320
0,4000,68,13664,0.106148,131,107.755,114,955928
0,4000,70,14060,0.106148,131,110.385,115,999336
0,4000,72,14456,0.104862,133,116.05,126,1044324
0,4000,74,14852,0.103213,138,126.515,131,1093265
0,4000,76,15248,0.103213,138,126.76,133,1143463
0,4000,78,15644,0.102178,139,128.065,134,1194317
0,4000,80,16040,0.102178,139,130.42,137,1245963
0,4000,82,16436,0.101954,140,133.01,139,1298004
0,4000,84,16832,0.100553,120,132.26,139,1350310
0,4000,86,17228,0.100553,120,128.53,138,1401647
0,4000,88,17624,0.100553,120,124.32,122,1451406
0,4000,90,18020,0.0995844,119,116.18,120,1497799
0,4000,92,18416,0.0995844,119,115.545,120,1543925
0,4000,94,18812,0.0950427,122,115.85,119,1589836
0,4000,96,19208,0.0950427,122,116.4,120,1636290
0,4000,98,19604,0.0906752,125,116.63,120,1682234
0,4000,100,20000,0.0904841,124,115.71,122,1727964
1,4001,0,200,0.688135,9,12.98,9,2596
1,4001,2,596,0.433484,8,6.85,5,5754
1,4001,4,992,0.383997,13,7.605,7,8518
1,4001,6,1388,0.348486,18,10.35,10,12275
1,4001,8,1784,0.340671,22,16.595,17,18140
1,4001,10,2180,0.325026,24,24.34,24,27069
1,4001,12,2576,0.298214,35,39.65,38,41022
1,4001,14,2972,0.282342,75,54.695,53.5,61573
1,4001,16,3368,0.278365,73,71.155,71,88293
1,4001,18,3764,0.264784,67,73.825,75,117631
1,4001,20,4160,0.262233,73,85.22,83.5,150700
1,4001,22,4556,0.256617,85,86.73,85,186069
1,4001,24,4952,0.248831,70,95.06,87,221008
1,4001,26,5348,0.248831,70,96.22,96,259404
1,4001,28,5744,0.246234,89,94.28,99.5,296757
1,4001,30,6140,0.244324,102,94.09,96.5,333691
1,4001,32,6536,0.238667,94,96.16,99,371185
