run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.237635,0.206924,0.261556,0.417694,205,17,20000,100,1884686,5.55568,1.41157,0.0489965,(log((x1 * (x0 * (((((x0 * (x1 + x1)) / (x1 * (x1 * (x1 + x1)))) / cos(x0)) - cos((x1 + x1))) + log((x0 * (((cos(exp(0.7)) + (log(x1) + exp((x1 * (x1 * (log(x0) + (x0 * x0))))))) + log(sin(log((x0 * log(x1)))))) + log(x1)))))))) + ((log(x1) + ((log(cos(log(x1))) + ((log(-0.376) - cos(x0)) + log((x1 * (x0 - -0.07))))) + log(-0.376))) + log(log((x1 + x1))))) + ((((log(cos(log(x0))) + ((log(-0.376) - cos(x0)) + log((x1 * log(x1))))) + (log(-0.376) - cos(x0))) + ((log(cos(log(x1))) + ((log(-0.376) - cos(x0)) + log((x1 * (x0 - -0.07))))) + log(-0.376))) + log((((x1 + log((x1 + x1))) / ((((cos(0.659) / ((((x0 * (x1 / x1)) / log(log((x1 + x1)))) / cos(x0)) - cos((x1 + x1)))) / (x1 * log((x1 * (cos(exp(0.7)) / ((((x0 * (x1 + x1)) / (x1 * log(x1))) / cos(x0)) - log(x1))))))) / (0.477 / x1)) / ((x1 + sin(-0.441)) * cos(cos(x1))))) * x1)))
1,4001,0.262593,0.287087,0.264075,0.446268,161,17,20000,100,1659997,4.04549,0.783895,0.0358553,log((((x0 * (-0.318 + x1)) * (x0 * (x1 * (x0 * (x0 - ((sin(log((x0 * log(((((0.233 / x0) + x1) * log(x0)) * (x0 * x1)))))) * (x1 * (((x1 + sin(x1)) * ((x1 + (-0.45 - -0.318)) * ((x1 + -0.675) + x1))) * (x0 * ((((0.233 / x0) + (x0 * 0.005)) + x1) + x1))))) * (x0 * ((x0 * (x0 / -0.134)) + log(x0))))))))) * ((x0 * (x0 - ((sin(log((x0 * x0))) * (x1 * (((x1 + ((x1 + ((0.233 * x1) + x1)) + cos(x1))) * (((x0 / -0.134) * (((0.233 * x1) + x1) + x1)) + (x1 * (((0.233 / x0) + x1) + x1)))) * (x1 + x1)))) * (x0 * ((x0 * (log(x1) + cos(-0.388))) + log(x0)))))) - (x0 * ((log(((x0 / -0.134) * (((0.233 * x1) + x1) + x1))) + (x1 + -0.675)) + x1)))))
2,4002,0.275516,0.298164,0.304316,0.461023,89,15,20000,100,861246,2.95609,1.00417,0.0711143,log(((x1 * ((-0.071 + ((x0 + (x0 + sin(cos(-0.418)))) * (x1 * ((x0 + -0.418) * log((x1 / -0.418)))))) * (x1 * (((-0.071 + ((x0 + (x0 + sin(cos(x0)))) * (x1 * ((x0 + log(cos(cos(x0)))) * log((cos((x0 + 0.089)) + log((x0 + 0.089)))))))) - log(cos(sin(((x0 + log(cos(cos(x0)))) * log((x1 / -0.418))))))) * log((x1 * ((x0 + log(cos(cos(x0)))) * log((x1 / -0.418))))))))) * (x0 + 0.089)))
3,4003,0.249302,0.263911,0.288286,0.360075,146,17,20000,100,1524287,4.68508,0.893793,0.0989827,log(((x1 * x0) * (((x1 * sin(log(x1))) * (((log(((x1 * x0) * (((x1 * x0) * log(x1)) - cos(sin(x1))))) + (((log(x1) * x0) - -0.325) * cos((x1 * x0)))) * x0) - (((log((x0 * (((x1 * x0) * ((x1 * x0) - (cos(exp(-0.08)) + -0.325))) - cos(cos(log(x1)))))) + (((log(x1) + -0.325) + cos(sin(x1))) * cos(sin((x1 * sin((x1 * sin(log(x1))))))))) * x0) + cos(sin(cos(x0)))))) - (exp((log(((x1 * x0) * (((x1 * x0) * ((x1 * x0) - (sin(log(x1)) + -0.325))) - (exp(-0.08) + -0.325)))) + (((log(x1) + cos(-0.525)) * ((log(x1) + cos(-0.525)) * cos(log(x1)))) * cos(log(x1))))) + -0.325)))) + ((log(x1) + cos(-0.525)) * cos(log(x1)))
4,4004,0.231744,0.170728,0.207364,1.1999,11,6,20000,100,1120831,4.45843,0.889236,0.573372,sin(log(x0)) - log(exp(cos((x1 + sin(x1)))))
5,4005,0.311023,0.31668,0.324826,0.360286,110,16,20000,100,1807548,5.14612,1.00584,0.162665,(log((x1 * x0)) - (log(((exp((0.939 * cos(sin(x0)))) * -0.208) + ((log((0.111 + (x1 * x0))) - (x1 * sin((log((0.111 + (x1 * x0))) * log((x0 * x0)))))) - (log(((log(log(((x1 * x0) + (log(x1) - sin((x1 * x0)))))) + (log(x1) - (sin((0.939 * log((x1 * x0)))) * -0.208))) + ((x1 * x0) * (x1 * (0.3 - 0.119))))) * cos(x0))))) * -0.208)) + (log(((log((x0 + (x1 * log((x1 * x0))))) + (0.111 + (x1 * x0))) + (x1 * x0))) - (sin((0.939 * log((x0 * x0)))) * -0.208))
6,4006,0.242926,0.279269,0.27145,0.412129,185,17,20000,100,1788454,4.42432,1.02377,0.0558166,log((((log(((x0 * x1) * (((log(((x0 * x1) * log((x0 * x1)))) * (x0 * x1)) * (x0 * x1)) / ((cos(0.725) * x1) * log(x0))))) * ((log(((x1 / (x0 * x1)) * ((log(((x0 * ((log((x0 * x0)) * (x0 * x1)) * (x0 * sin(x1)))) + (x0 * (x1 * (x0 * x1))))) * x1) + (x1 * log(x0))))) * (x0 * x1)) * (x0 * x1))) * cos(log(x0))) * (log((((log(x0) * (x0 * x1)) * (((((x0 * x1) + (x0 * x1)) * x1) * (((x1 / (x0 * x1)) * (exp(0.667) * x1)) + (x0 * x1))) * x1)) + (x1 / (x0 * x1)))) * (((x0 * x1) * log(((((x0 * x1) + (x0 * x1)) * x1) * (((log((x0 * (x0 * x1))) * (x0 * x1)) * (((((sin(log(x0)) * (x0 * x1)) + (x0 * (x0 * (x0 * x1)))) * x1) * sin(log(x0))) * x1)) + (x1 / (x0 * x1)))))) * (x0 * (x0 * x1))))))
7,4007,0.278235,0.336801,0.315982,0.314716,171,15,20000,100,1632039,4.41816,0.872216,0.0369745,log(((x0 * x1) * ((((exp((log(((x1 * -0.379) - ((x0 * x1) * (x0 * x1)))) - ((log((x0 * x1)) * -0.379) - ((x0 * x1) * (x0 * x1))))) * x1) * log((((exp(((x0 - ((x0 * x1) * ((x0 * x1) * (x0 * x1)))) - ((log((x0 * x1)) * -0.379) - ((x0 * x1) * (x0 * x1))))) * -0.379) - (((x0 * (sin(x0) * ((x1 + 0.808) - -0.333))) - ((((x0 * x1) * (x0 * x1)) - (x0 * x1)) * (x0 * x1))) - x0)) - ((((x0 * x1) + x1) - ((x0 * x1) * (x0 * x1))) - (exp(((x0 / x1) - ((log((x0 * x1)) * -0.379) - (((x0 * x1) * (x0 * x1)) * (x0 * x1))))) - x1))))) * ((x0 * x1) - -0.201)) - ((x0 * x1) * (x0 * (sin(x0) * (exp((x0 * x1)) - cos((((x0 * x1) * cos((x0 * x1))) - (x0 * x1))))))))))
8,4008,0.27212,0.305863,0.242598,0.327337,106,17,20000,100,1304262,3.39677,0.655607,0.200302,log((x0 + ((((x0 * x1) / 0.409) * log((cos(((exp(x1) / x1) - ((x0 * x0) * ((x0 * (((x0 * x1) * x1) * (x0 * log((x1 * x0))))) / 0.409)))) + ((((exp(((x1 * x1) * (x0 * x0))) + (log((((log(x1) / x1) - exp((0.706 * (x0 * x0)))) * ((log(x1) * log(sin(x0))) - (-0.895 * 0.706)))) + (((x0 / 0.409) * (((x0 * x1) * (x1 * x0)) - ((x1 * x1) * (x0 * x0)))) * (x0 - x0)))) - sin((-0.895 * 0.706))) * x1) * (x0 * x1))))) + x1)))
9,4009,0.273501,0.262574,0.248397,1.62625,9,5,20000,100,1692418,4.38111,2.48639,-0.446688,exp(cos(x0)) + log(exp(exp(cos(x1))))
10,4010,0.236258,0.233774,0.216814,1.11216,56,16,20000,100,905795,3.26676,1.75077,-0.480533,cos((log(x1) + exp(cos(cos(((log(x1) * (cos(exp(0.99)) * log(((cos(log((log(x1) * sin(0.431)))) - log(x1)) * log(x1))))) * (log(((cos(log(x1)) - log(x1)) * cos((cos(0.431) * x0)))) * (cos(exp(0.99)) * sin(0.431))))))))) + exp(cos((cos(0.431) * x0)))
11,4011,0.182464,0.21598,0.194136,0.259407,69,14,20000,100,1179351,4.43486,1.01216,0.134722,((((cos(exp(cos(x0))) + log((x1 * x0))) + cos((log((log(sin(-0.746)) / exp(exp((x1 * (x1 * x0)))))) + log((x1 + sin((x0 * log((x1 * x0))))))))) + sin(log(x1))) + log((-0.979 - ((exp((log(cos((cos(exp(cos(x0))) - log(x1)))) + log(x0))) + log(x0)) + log(cos(cos(cos(cos(x0))))))))) + sin(log(x1))
12,4012,0.301063,0.314796,0.358845,0.34985,29,11,20000,100,886925,2.92485,1.14887,0.224538,log((x1 * (x0 * ((cos(cos((cos(log(log(x1))) + sin(cos(log(x0)))))) + ((cos(x1) * cos(x0)) + sin(log(x1)))) + log(x0)))))
13,4013,0.362421,0.368671,0.420833,0.373031,116,17,20000,100,858662,2.92028,1.13583,0.331582,log(((cos(cos(((((((sin(-0.038) / cos(0.158)) * (((x0 * x0) / sin((cos(x0) * sin(0.158)))) * sin(0.158))) + ((sin(0.158) * x1) * x0)) / (log((((x1 * 0.099) * ((x1 + sin(0.158)) + (((x1 + sin(0.158)) / x1) * sin(0.158)))) + (x1 * x0))) * sin(0.158))) / (sin(((-0.832 * (((log(x0) / x1) * cos(log(x0))) * x1)) - x1)) + (sin(0.158) * exp(((x1 + (x1 * x0)) + ((log(x0) / x1) * sin(0.158))))))) + (x1 * (x0 + sin((((sin(0.771) * (x1 * x0)) - log(cos(log(x0)))) - x1))))))) * sin(0.158)) + (x1 * x0)))
14,4014,0.132817,0.123195,0.135063,1.68598,139,16,20000,100,1300204,4.45162,3.08478,-0.21639,(((cos(cos(((cos(x1) - sin((log(log(exp(cos(x1)))) * (log(0.897) * exp(cos(cos(cos(cos(x0))))))))) + cos(x1)))) - ((cos(x0) - exp(cos(x0))) + cos((log(exp(cos(x1))) - -0.953)))) + cos(sin(x0))) + (((cos((log(exp(cos(x1))) - -0.953)) + cos(cos(cos(x0)))) + exp(cos(x0))) + exp(cos(x1)))) + ((((sin((log(((0.136 - log(x0)) - log((exp(log(x1)) + (cos(x1) - cos(0.761)))))) * (log(0.897) * exp(cos((cos(cos((cos(cos(x0)) + cos(x1)))) - ((cos(cos(x1)) - exp(cos((x0 - 0.177)))) + cos(exp(cos(x1)))))))))) - ((cos(cos(x1)) - (log(0.897) * cos(x0))) + cos(cos(log(cos(x0)))))) + cos(cos(x0))) + exp(cos(x0))) + exp(cos(x1)))
15,4015,0.280796,0.24389,0.241495,0.339321,232,17,20000,100,1526531,4.42147,0.929958,0.0425984,log(((((((log((-0.611 / x1)) * ((((x1 * (log((x0 + x0)) * ((x0 + x0) + x0))) - (x0 + sin(log(x1)))) * (x1 * x1)) * (x1 * x0))) / (sin(((((x0 - (((x1 * x1) * x1) * x0)) * x0) * (-0.665 / x1)) * (log((-0.611 / x1)) * (x1 * (x1 * x0))))) - ((x1 * x0) / -0.497))) * x0) * ((((x1 * (log(exp(exp((exp(log(x1)) + cos((-0.611 / x1)))))) * (x0 * x1))) * (((x0 + (log(exp(exp((exp(log(x1)) + cos((-0.611 / x1)))))) * x0)) / x1) + cos(cos(x1)))) * (cos(cos(x1)) * ((x0 + x0) + x0))) * cos(log(x1)))) * log((x0 + x0))) * ((log(((((log((x1 * x1)) * (x0 * x1)) / x1) + cos((-0.611 / x1))) * (x0 + ((x1 * x1) * x0)))) * ((((log((-0.611 / x1)) * (x1 * x1)) / (sin((((x1 * x0) * (-0.665 / x1)) * (log(exp(log(x0))) * (x1 * x0)))) - ((x1 * x0) / -0.497))) * x0) * ((((x1 * (log(exp(exp(((exp(0.186) + log(x1)) + cos((-0.611 / x1)))))) * (x0 * x1))) * (-0.611 / x1)) * (-0.665 / x1)) * log((((log(exp(exp(log(x0)))) * (x1 * x1)) / x1) * x0))))) / x1)))
16,4016,0.132722,0.111718,0.130734,1.36815,151,14,20000,100,1053318,3.60894,2.38448,0.116557,(((sin(log(x0)) - (exp(cos(x1)) + exp(((log(cos(x1)) + -0.227) - -0.794)))) + ((0.032 * exp(((0.032 * (log(x0) + cos(x1))) + cos(x0)))) + cos(x0))) - ((cos(x1) + exp(((0.032 * (cos(sin(log(x0))) - log(cos(x1)))) + ((0.032 * (sin(log(x0)) - sin(log(x0)))) + cos(x0))))) + exp(((0.032 * ((cos(x1) + log(0.267)) - sin(log(((sin(log(x0)) - log(cos(x1))) + 0.032))))) + cos(x0))))) + (((sin(log(x0)) - ((exp(cos(x1)) + (cos(sin(log(x0))) - -0.794)) + exp(((log(cos(x1)) + -0.227) - -0.794)))) + cos((cos(exp((cos(x0) - -0.794))) - -0.794))) - (cos(x1) + exp(((0.032 * (((0.032 * (exp(cos(0.421)) - (x1 + (log(cos(x1)) + 0.032)))) + cos(x0)) - (log(cos(x1)) + -0.297))) + cos(x0)))))
17,4017,0.228765,0.260419,0.23435,0.332821,136,16,20000,100,1317023,3.84037,0.692217,-0.0807609,log((sin(((((0.11 / 0.693) / (((0.11 / 0.693) - (log(x1) - cos(log(x1)))) - ((x1 * log((sin((sin(exp((x1 * x0))) + x1)) / ((((x0 - 0.37) * (x0 / 0.368)) * x0) * ((((x1 * x1) * x0) * ((x1 * x0) * (x1 * x0))) * (x1 * x0)))))) * cos(log(x1))))) / (((x1 * log((sin((0.041 / x1)) / (x0 * x0)))) * cos((0.041 / x1))) * ((x1 * x0) * cos((sin(log(x0)) + -0.158))))) / x1)) / ((x0 * x0) * ((x1 * log((sin((0.041 / x1)) / ((x0 * x0) * ((log(exp(-0.611)) * x0) * (x0 * (sin(cos(sin((x0 * x0)))) * x0))))))) * cos((log(log(((x0 - 0.37) * (x0 / 0.368)))) + -0.158))))))
