run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.104113,0.111477,0.120803,0.130634,123,17,20000,100,1727964,5.5731,0.807258,0.0634407,(sin(exp(sin((log(x0) + log(exp(sin(sin(log(x1))))))))) + log(exp((log(exp((log(x1) + log((log(log((-0.496 * x0))) * x0))))) + (((log(exp(sin((log(x1) + sin((log(x1) + sin(log(x1)))))))) + (((log((x1 * x0)) + log(exp(sin(log(x1))))) + log(exp(sin(exp(sin(log(x1))))))) + log(exp(sin(log(x0)))))) + log((log((x1 * x0)) * x0))) + log(exp((((log((x1 * x0)) + log(exp(sin((log(x1) + log(x1)))))) + exp(sin(exp(sin(log(x0)))))) + log(exp(sin(log((x0 * exp(sin(log(x0)))))))))))))))) + exp(sin((log(x1) + sin((log(x1) + sin(sin(log(x1))))))))
1,4001,0.238968,0.239879,0.208227,0.322375,305,17,20000,100,3458359,6.68777,1.04804,0.0375534,log(((((((x1 - 0.051) * log(x0)) + x1) * ((x0 * (((x1 - ((x1 - 0.051) * log(x0))) * log(x0)) + (x1 - 0.051))) * log(((((((x1 - 0.051) * (x0 * (((x1 + x1) * log(x0)) + x1))) * (x0 * (((x1 + x1) * log(x0)) + x1))) * ((x0 * x1) * log(((x1 * log(x0)) + x1)))) * (x0 * (((x1 + 0.051) * log(x0)) + x1))) + x1)))) * (0.051 * log(((((x1 * x1) * (((((x1 + x1) * ((((x1 - 0.051) * (x1 + x1)) + x1) * (x1 + (x1 - 0.051)))) * ((x0 * x1) * (log((x1 * (x1 + x1))) * ((((x1 + 0.174) + x1) * (x1 - 0.051)) + x1)))) + x1) * x1)) * (x1 + x1)) + x1)))) * (x0 * (((log(((x1 + x1) * (x1 + x1))) * (((x1 - 0.051) * log(x0)) + x1)) + x1) * ((x0 * (((log(((((x1 + x1) * ((((x1 - 0.051) * (x1 + x1)) + x1) * (x1 + x1))) * ((x0 * (((x1 - 0.051) * log(x0)) + x1)) * (log((x1 * (x1 + x1))) * (((x1 + x1) * (x1 + x1)) + x1)))) + x1)) * (((x1 - 0.051) * log(x0)) + x1)) + x1) * (x0 * (x0 * (((x1 + x1) * log(x0)) + x1))))) * log(((((((log((((x1 + x1) * (x1 + x1)) * (x1 + x1))) * (((x1 - 0.051) * log(x0)) + x1)) + x1) * (x0 * (((x1 + x1) * log(x0)) + x1))) * ((x0 * x1) * log(((x1 * log(x0)) + x1)))) * (x0 * (((x1 - 0.051) * (x0 * (((x1 + x1) * log(x0)) + x1))) + x1))) + x1)))))))
2,4002,0.150187,0.125066,0.121868,1.72354,66,17,20000,100,1140801,3.27987,4.36679,-0.430469,sin((exp(cos((cos(exp(cos(x0))) * cos(x0)))) + -0.809)) + (exp(cos(cos(cos(x1)))) + (cos(sin((cos(cos((exp(cos(cos(cos(x1)))) + (cos(exp(cos(cos(cos(log(x0)))))) + exp(cos(sin((cos(cos(cos(x0))) + sin(cos(cos(x1))))))))))) + exp(cos(x1))))) + (exp(cos(cos(cos(x0)))) + (cos(x1) + exp(cos(x0))))))
3,4003,0.0776171,0.0809295,0.0697263,1.229,333,17,20000,100,4143738,10.723,3.00024,-0.0506408,((((cos(x1) + exp(cos((sin(sin(-0.339)) / x1)))) + (((((cos(log(log(exp(x0)))) - log(x1)) + (cos(sin(x0)) + exp(cos(x0)))) + exp(cos(sin((0.833 + cos(x0)))))) + ((exp(cos(x0)) - cos((((cos(x1) - cos(exp(0.833))) - log(x1)) - log(x1)))) + (((exp(cos(x0)) - cos(((cos(x1) - cos(exp(0.833))) - log(x1)))) + (((cos(sin(x0)) - cos(((cos(cos(x0)) - cos(exp(0.833))) - log(x1)))) - cos(x0)) + cos(sin(x0)))) + cos(cos(cos(((cos(x1) - cos(x1)) - log(x1)))))))) + ((((cos(sin(exp(cos(sin(log(x1)))))) - (cos(x1) + exp(cos((sin(-0.339) / x1))))) + ((log(x1) - log(x1)) + (((cos(log(x1)) - cos(x0)) + exp(cos(x0))) + exp(cos(x0))))) + exp(cos(x0))) + (((cos(log(log(exp(x0)))) - log(x1)) + (cos(sin(exp(cos(x0)))) + exp(cos(x0)))) + exp(cos(sin((0.833 + cos(x0))))))))) + exp(cos(x0))) - cos(((cos(exp(cos(x0))) - cos(cos(x1))) + (cos(x1) + exp(cos(x0)))))) + (exp(-0.032) + (((cos(sin(x0)) - log(x1)) + (cos(x1) + exp(cos(x0)))) + ((((cos(sin((cos(x0) + (cos(x0) + cos(cos(x0)))))) - cos(x0)) + exp(sin(sin(-0.339)))) - cos(((cos(x1) - cos(exp(1.014))) - log(x1)))) + (((((((cos(sin((cos(sin(x0)) + exp(cos(x0))))) - cos(x0)) + exp(cos(x0))) - cos(((cos(x1) - cos(exp(1.014))) - log(x1)))) + (((cos((cos(sin(x0)) + cos(log(x0)))) + ((cos(x1) + exp(cos(x0))) + (((cos(sin(x0)) - cos(x0)) + (cos(sin(x0)) * exp(cos(x0)))) + exp(cos(x0))))) - log(x1)) + log(x1))) + ((cos(x1) + exp(cos(log(x0)))) + (cos(cos(x0)) + exp(cos(x0))))) - log(x1)) + log(x1)))))
4,4004,0.0993209,0.074453,0.0873922,0.684319,191,17,20000,100,2372328,7.07979,1.4273,0.0617238,((sin((sin(sin(cos(x0))) + sin(log(log(x1))))) + sin(sin((cos(x0) + sin(sin(sin((sin(sin(log(x1))) + log(x1))))))))) + ((log(x1) + (((log((x1 / cos(x0))) + ((log(x1) + ((((sin((log(x1) + sin(log(x1)))) + (sin(sin(log(x1))) - exp(cos(x0)))) - cos(x0)) + sin(log(x1))) - cos(x0))) + (sin((sin(sin(log(x1))) + sin(log(x1)))) + (sin(sin(log(x0))) - sin((x1 / x1)))))) + log((sin(sin(exp(0.448))) - cos(x0)))) - sin(log(x1)))) - exp(log(x1)))) + ((exp(sin((sin(log(x1)) + sin(sin(sin(sin(log(x1)))))))) - exp(cos(x0))) + ((sin(sin((sin(sin(log(x1))) + sin((sin(sin(sin((sin(sin(log(x1))) + sin(log(0.92)))))) + sin(log(x1))))))) + (sin(sin(sin(log(x0)))) - sin((x1 / x1)))) + (log(x0) + (sin(sin((sin(sin(log((x1 / cos(x0))))) + sin((log(x1) + sin((sin(sin(log(x1))) + sin(log(x1))))))))) + (sin(sin(log(x0))) - sin((x1 / x1)))))))
5,4005,0.273156,0.327423,0.314412,0.255627,214,17,20000,100,2083310,4.23235,1.21598,0.845444,sin(((0.939 * (((((log(((((-0.208 + ((((x0 * x1) * (x0 / x1)) * -0.208) * -0.208)) * ((((x0 * x1) * (x0 / x1)) + (log((x0 * x1)) / 0.073)) + ((0.939 * (x0 * x1)) * (x1 * x1)))) * ((-0.208 + ((((x0 * x1) * (x0 / x1)) * -0.208) * -0.208)) * (((x0 * x1) + (log((x0 * x1)) / 0.073)) + ((0.939 * (x0 * x1)) * (x1 * x1))))) * (((((x0 * x1) * (x0 / x1)) + (log((0.939 * (x0 / x1))) / 0.073)) + ((x0 - x1) * -0.208)) * (((log(log((x0 + x0))) + -0.208) + ((((x0 * x1) * (x0 / x1)) * -0.208) * -0.208)) * (((x0 * x1) + (log((x0 * x1)) / 0.073)) + ((x0 * x1) * (x1 * x1))))))) + (log((((log((x0 * x1)) + (log((0.939 * (x0 / x1))) / 0.073)) + ((x0 * x1) * -0.208)) * ((((x0 * x1) + (log((x0 * x1)) / 0.073)) + ((0.939 * (x0 * x1)) * (x1 * x1))) * log((0.939 * (x0 / x1)))))) + (log((x0 * x1)) / 0.073))) * -0.208) + (log((x0 * x1)) / 0.073)) * -0.208) - log(log((x0 * x1))))) * -0.208))
6,4006,0.136395,0.127357,0.151766,0.338872,139,16,20000,100,2125416,5.88071,0.724536,0.151026,(log((sin((x0 / exp(cos(0.527)))) * x1)) - ((((cos((((cos(log((x1 * x1))) * log((x1 * x1))) - log(((x0 / exp(cos(0.527))) * ((x0 * cos(x0)) * log(0.932))))) * (0.932 * -0.208))) - exp(cos(((x1 / x1) / x0)))) - sin((cos(cos((sin(sin(sin((x0 / exp(cos(0.527)))))) * x1))) * log((x1 * x1))))) - exp(cos((sin(((x1 / x1) / exp(cos(((x1 / x1) / x0))))) / x0)))) - sin((cos(cos(cos(cos((x0 / exp(cos(0.527))))))) * log((x1 * x1)))))) + sin((cos(cos(((log(0.932) / x0) + (cos(cos((sin((x0 / exp(cos(0.527)))) * (x1 / x1)))) * sin((cos(cos((cos(log((x1 * x1))) * x1))) * x1)))))) * log((x0 * x1))))
7,4007,0.195053,0.199159,0.259555,0.153142,108,17,20000,100,1532106,4.257,0.999625,0.162999,log(x1) + (log(((log((log((0.008 * log(((0.008 * ((x1 - cos((x0 + (x1 + x0)))) * cos((log(x1) + (x1 + x0))))) * log(exp(sin(sin(sin(log(x0)))))))))) * x0)) + sin(sin(sin((sin(-0.957) + (log((x0 * sin(-0.957))) + log((log((0.008 * x1)) * x0)))))))) * x0)) + ((log((log((log(((0.008 * (log(x1) * x0)) * x1)) * x0)) + sin((sin(-0.957) + (log((x0 * exp(log(exp(sin(log(x1))))))) + log(exp(log(exp(sin(log(x1))))))))))) + sin(log(exp(sin(log(x1)))))) + sin(sin(sin(log(x1))))))
8,4008,0.167536,0.198309,0.210033,0.316353,165,17,20000,100,2199994,5.36919,0.72016,0.108164,log((((((x0 * x1) * log((exp(exp(log(((sin(x1) + x1) * (sin(x1) + (sin(sin(x1)) + (x1 * log((x0 * (x0 * x1)))))))))) + exp(log(x0))))) * log((exp(exp(log((log(((sin(x1) + (sin(sin(x1)) + (x1 * log((x0 * x1))))) * (sin(x1) + (sin(x1) + x1)))) * (x0 * x1))))) + exp(x0)))) * log((exp(exp(log(((sin(sin(x1)) + (sin(x1) + (x1 * log((x0 * x1))))) * (sin(x1) + (sin(sin(x1)) + (x1 * exp(log(x0))))))))) + exp(log(x0))))) * log((exp(exp(log(log(((sin(x1) + ((sin(x1) + (sin(sin(x1)) + (x1 * log(x1)))) * cos(cos(cos(x1))))) * cos(cos(sin(x1)))))))) + exp(cos(exp(exp(log(((sin(x1) + ((sin(x1) + (sin(sin(sin(x1))) + (x1 * log(x1)))) * cos(cos(cos(x1))))) * cos(cos(cos((x0 * x1))))))))))))))
9,4009,0.159185,0.150656,0.202408,0.846724,114,17,20000,100,1415663,4.20026,1.10204,-0.167652,((((((0.429 / -0.801) * (cos((((log(log(x0)) + cos(log(cos(log(cos(x1)))))) + cos(x1)) / x0)) + log((x1 * x0)))) + (exp(cos(x1)) - cos(((cos(cos((cos((cos(log((x1 * x0))) / exp(log(x0)))) + exp(log(x0))))) / x0) / (0.429 / -0.732))))) - cos(cos(x1))) - cos(cos(x1))) + (exp(cos(x1)) - cos(((cos(cos(((-0.658 * (log(log((log(log(x0)) + cos(x1)))) + log(log((log((x1 * x0)) + log((x1 * x0))))))) + (exp(exp(x1)) - cos(x1))))) / x0) / exp(log(x0)))))) - cos((cos(cos((cos(0.192) / x0))) / x0))
