run,seed,size,train,val,expr
0,4000,1,0.990203,0.933955,x0
0,4000,2,0.739861,0.744322,log(x1)
0,4000,3,0.702672,0.73423,sin(log(x1))
0,4000,4,0.697691,0.728026,sin(sin(log(x1)))
0,4000,5,0.695453,0.724506,sin(sin(sin(log(x1))))
0,4000,6,0.692887,0.71665,sin(sin((log(x1) * -0.761)))
0,4000,7,0.69023,0.714015,sin(sin(sin((log(x1) * -0.698))))
0,4000,8,0.519638,0.439232,log((exp(cos(x1)) * (-0.637 / x0)))
0,4000,15,0.440283,0.405987,sin((log((exp(cos(x1)) * (log(x0) / (log(x0) * x0)))) * -0.637))
0,4000,16,0.439477,0.416844,sin(sin((log((exp(cos(x1)) * (log(x0) / (log(x0) * x0)))) * -0.637)))
0,4000,19,0.412805,0.415184,sin(sin(sin(((log((exp(cos(x1)) * (log(x0) / (log(x0) * x0)))) * -0.637) * -0.851))))
1,4001,1,0.990203,0.933955,x0
1,4001,2,0.739861,0.744322,log(x1)
1,4001,3,0.702672,0.73423,sin(log(x1))
1,4001,4,0.433484,0.401729,log((x0 * x1))
1,4001,4,0.433484,0.401729,log((x1 * x0))
1,4001,6,0.433484,0.401729,log((x0 * (x1 + x1)))
1,4001,6,0.433484,0.401729,log((x1 * (x0 * 0.601)))
1,4001,6,0.433484,0.401729,log((x1 * (x0 + x0)))
1,4001,8,0.43163,0.423657,log((x0 * (x1 + (0.713 - 0.601))))
1,4001,9,0.383973,0.387886,log((x1 * (x0 * exp(sin(log(x1))))))
1,4001,10,0.379101,0.373856,log((x1 * (x0 * exp(sin(sin(log(x1)))))))
1,4001,11,0.377404,0.366274,log((x1 * (x0 * exp(sin(sin(sin(log(x1))))))))
1,4001,12,0.354028,0.437106,log((x1 * (sin(log(x0)) + exp(log((x0 + x0))))))
1,4001,13,0.349519,0.35477,log((x1 * (x0 * exp(sin(log((x1 * (x0 * 0.601))))))))
1,4001,16,0.345853,0.366331,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * (x1 * x0))))
1,4001,17,0.304732,0.353676,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(log(x1))))))
1,4001,18,0.295389,0.34798,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(sin(log(x1)))))))
1,4001,19,0.291348,0.346247,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(sin(sin(log(x1))))))))
1,4001,20,0.289483,0.346071,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(sin(sin(sin(log(x1)))))))))
1,4001,21,0.288702,0.346622,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(sin(sin(sin(sin(log(x1))))))))))
1,4001,22,0.288518,0.347539,log((x1 * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(sin(sin(sin(sin(sin(log(x1)))))))))))
1,4001,24,0.267515,0.276396,log(((x1 * (x0 * exp(sin(log(x1))))) * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(log(x1))))))
2,4002,1,0.990203,0.933955,x0
2,4002,2,0.739861,0.744322,log(x1)
2,4002,3,0.702672,0.73423,sin(log(x1))
2,4002,4,0.433484,0.401729,log((x0 * x1))
3,4003,1,0.990203,0.933955,x0
3,4003,2,0.739861,0.744322,log(x1)
3,4003,3,0.702672,0.73423,sin(log(x1))
3,4003,4,0.433484,0.401729,log((x1 * x0))
3,4003,6,0.373098,0.380262,cos(x1) + exp(cos(x0))
3,4003,7,0.273501,0.262574,exp(cos(x1)) + exp(cos(x0))
4,4004,1,0.990203,0.933955,x0
4,4004,2,0.739861,0.744322,log(x1)
4,4004,3,0.702672,0.73423,sin(log(x1))
4,4004,4,0.433484,0.401729,log((x1 * x0))
4,4004,6,0.389523,0.389324,log(x1) - exp(cos(x0))
4,4004,7,0.308628,0.339724,sin(log(x1)) - exp(cos(x0))
5,4005,1,0.990203,0.933955,x0
5,4005,2,0.739861,0.744322,log(x1)
5,4005,3,0.702672,0.73423,sin(log(x1))
5,4005,4,0.433484,0.401729,log((x0 * x1))
5,4005,6,0.382854,0.380726,log(((x0 - -0.159) * x1))
5,4005,12,0.360797,0.426632,log(((log((x0 * x1)) * x0) * x1)) - cos(x1)
5,4005,16,0.337762,0.360751,log(((((log((x0 * x1)) * x0) * x1) * x0) * x1)) - cos(x1)
6,4006,1,0.990203,0.933955,x0
6,4006,2,0.739861,0.744322,log(x1)
6,4006,3,0.702672,0.73423,sin(log(x1))
6,4006,4,0.433484,0.401729,log((x0 * x1))
6,4006,4,0.433484,0.401729,log((x1 * x0))
6,4006,6,0.38057,0.39583,log((-0.032 + (x0 * x1)))
6,4006,8,0.35861,0.428355,log((0.046 + (0.046 + (x0 * x1))))
7,4007,1,0.990203,0.933955,x0
7,4007,2,0.739861,0.744322,log(x1)
7,4007,3,0.702672,0.73423,sin(log(x1))
7,4007,4,0.433484,0.401729,log((x0 * x1))
7,4007,4,0.433484,0.401729,log((x1 * x0))
7,4007,6,0.433484,0.401729,-0.485 * log((x1 * x0))
7,4007,6,0.433484,0.401729,-0.641 * log((x1 * x0))
7,4007,7,0.339372,0.384387,sin((-0.452 * log((x1 * x0))))
8,4008,1,0.990203,0.933955,x0
8,4008,2,0.739861,0.744322,log(x1)
8,4008,3,0.702672,0.73423,sin(log(x1))
8,4008,4,0.433484,0.401729,log((x1 * x0))
8,4008,6,0.433484,0.401729,log(((x1 + x1) * x0))
8,4008,11,0.384679,0.380163,log((x1 * (((x0 + x0) - exp(-0.945)) - -0.681)))
9,4009,1,0.990203,0.933955,x0
9,4009,2,0.739861,0.744322,log(x1)
9,4009,3,0.702672,0.73423,sin(log(x1))
9,4009,4,0.697691,0.728026,sin(sin(log(x1)))
9,4009,5,0.433484,0.401729,log(x1) + log(x0)
9,4009,6,0.422505,0.407934,log(x1) + sin(log(x0))
9,4009,8,0.400539,0.391026,cos(x1) - (log(x1) + log(x0))
9,4009,9,0.383973,0.387886,log(x1) + (sin(log(x1)) + log(x0))
9,4009,10,0.379101,0.373856,log(x1) + (sin(sin(log(x1))) + log(x0))
9,4009,11,0.377404,0.366274,log(x1) + (sin(sin(sin(log(x1)))) + log(x0))
9,4009,12,0.317381,0.292162,(cos(x1) - (sin(log(x0)) + log(x0))) - log(x1)
9,4009,16,0.296174,0.295603,(cos(x1) - (sin(log(x0)) + (sin(log(x1)) + log(x0)))) - log(x1)
10,4010,1,0.990203,0.933955,x0
10,4010,2,0.739861,0.744322,log(x1)
10,4010,3,0.702672,0.73423,sin(log(x1))
10,4010,4,0.433484,0.401729,log((x1 * x0))
10,4010,6,0.396212,0.410889,log(((x1 * x0) + 0.383))
11,4011,1,0.990203,0.933955,x0
11,4011,2,0.739861,0.744322,log(x1)
11,4011,3,0.702672,0.73423,sin(log(x1))
11,4011,4,0.433484,0.401729,log((x1 * x0))
11,4011,6,0.392088,0.393016,exp(cos(x1)) + cos(x0)
11,4011,7,0.375407,0.393573,cos((exp(cos(x1)) + cos(x0)))
11,4011,10,0.281334,0.27047,cos(cos(x0)) - (exp(cos(x1)) + cos(x0))
12,4012,1,0.990203,0.933955,x0
12,4012,2,0.739861,0.744322,log(x1)
12,4012,3,0.702672,0.73423,sin(log(x1))
12,4012,4,0.433484,0.401729,log((x0 * x1))
12,4012,4,0.433484,0.401729,log((x1 * x0))
12,4012,6,0.433484,0.401729,log((log(exp(x0)) * x1))
12,4012,6,0.433484,0.401729,log((x1 * log(exp(x0))))
12,4012,8,0.433484,0.401729,log((x1 * log(exp((-0.324 * x0)))))
12,4012,10,0.383078,0.387321,log(((x1 * (x0 * x1)) / exp(cos(x0))))
13,4013,1,0.990203,0.933955,x0
13,4013,2,0.739861,0.744322,log(x1)
13,4013,3,0.702672,0.73423,sin(log(x1))
13,4013,4,0.433484,0.401729,log((x0 * x1))
13,4013,4,0.433484,0.401729,log((x1 * x0))
13,4013,6,0.40697,0.448078,cos(x0) - sin(log(x1))
13,4013,7,0.387835,0.431088,sin((cos(x0) - sin(log(x1))))
13,4013,8,0.378591,0.421451,sin((sin(cos(x0)) - sin(log(x1))))
13,4013,9,0.376684,0.417391,sin((sin(cos(x0)) - sin(sin(log(x1)))))
13,4013,10,0.371878,0.412692,sin((sin(sin(cos(x0))) - sin(sin(log(x1)))))
14,4014,1,0.990203,0.933955,x0
14,4014,2,0.739861,0.744322,log(x1)
14,4014,3,0.702672,0.73423,sin(log(x1))
14,4014,4,0.697691,0.728026,sin(sin(log(x1)))
14,4014,5,0.463902,0.487235,cos(x1) + cos(x0)
14,4014,6,0.433484,0.401729,log((x0 / (0.059 / x1)))
14,4014,8,0.433484,0.401729,log((log(exp(x0)) / (0.059 / x1)))
14,4014,9,0.400539,0.391026,cos(x1) - log((x0 / (0.059 / x1)))
14,4014,11,0.400539,0.391026,cos(x1) - log((log(exp(x0)) / (0.059 / x1)))
14,4014,12,0.321731,0.307907,(cos(x1) - log((x0 / (0.059 / x1)))) + cos(x0)
14,4014,14,0.321731,0.307907,(cos(x1) - log((log(exp(x0)) / (0.059 / x1)))) + cos(x0)
14,4014,17,0.311197,0.29514,(cos(x1) - log((x0 / (0.059 / x1)))) - log(log((x0 / (0.059 / x0))))
14,4014,19,0.311197,0.29514,(cos(x1) - log((log(exp(x0)) / (0.059 / x1)))) - log(log((x0 / (0.059 / x0))))
15,4015,1,0.990203,0.933955,x0
15,4015,2,0.739861,0.744322,log(x1)
15,4015,3,0.702672,0.73423,sin(log(x1))
15,4015,4,0.433484,0.401729,log((x0 * x1))
15,4015,4,0.433484,0.401729,log((x1 * x0))
15,4015,6,0.384269,0.409187,log(((x0 - 0.043) * x1))
15,4015,8,0.379732,0.493565,log((((x0 - 0.043) - 0.043) * x1))
15,4015,11,0.369613,0.442264,log(((x1 * x0) + ((x1 * x0) + exp(-1.144))))
15,4015,15,0.356708,0.414839,log(((x0 * x1) + ((x0 * x1) + ((x0 * x1) + exp(-1.216)))))
15,4015,15,0.356708,0.414839,log(((x0 * x1) + ((x1 * x0) + ((x0 * x1) + exp(-1.216)))))
15,4015,15,0.356708,0.414839,log(((x1 * x0) + ((x1 * x0) + ((x0 * x1) + exp(-1.216)))))
15,4015,17,0.35243,0.416663,log((((x0 - 0.043) * x1) + ((x1 * x0) + ((x0 * x1) + exp(-1.216)))))
15,4015,17,0.35243,0.416663,log(((x0 * x1) + (((x0 - 0.043) * x1) + ((x0 * x1) + exp(-1.216)))))
16,4016,1,0.990203,0.933955,x0
16,4016,2,0.739861,0.744322,log(x1)
16,4016,3,0.702672,0.73423,sin(log(x1))
