run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.702007,5,11.27,8,2254
0,4000,2,600,0.702007,5,4.545,3,5605
0,4000,4,1000,0.700509,6,1.96,2,7032
0,4000,6,1400,0.695901,6,1.775,2,7946
0,4000,8,1800,0.672277,16,1.89,2,8719
0,4000,10,2200,0.672277,16,1.965,2,9644
0,4000,12,2600,0.672277,16,2.15,2,10607
0,4000,14,3000,0.672277,16,2.315,2,11645
0,4000,16,3400,0.672277,16,2.51,2,12799
0,4000,18,3800,0.672277,16,2.77,2,13987
0,4000,20,4200,0.573534,20,3.115,2,15322
0,4000,22,4600,0.573534,20,3.56,2,16781
0,4000,24,5000,0.573534,20,4.045,3,18374
0,4000,26,5400,0.573534,20,4.61,3,20188
0,4000,28,5800,0.573534,20,5.165,4,22332
0,4000,30,6200,0.573534,20,5.855,5,24496
0,4000,32,6600,0.519638,14,5.485,5,26945
0,4000,34,7000,0.519638,14,5.945,6,29368
0,4000,36,7400,0.519638,14,6.315,6,31920
0,4000,38,7800,0.519638,12,5.705,6,34360
0,4000,40,8200,0.519638,12,5.845,6,36721
0,4000,42,8600,0.519638,12,5.915,6,39088
0,4000,44,9000,0.519638,12,5.96,6,41657
0,4000,46,9400,0.519638,12,6.005,6,44232
0,4000,48,9800,0.519638,12,6.06,6,46603
0,4000,50,10200,0.519638,12,6.065,6,49158
0,4000,52,10600,0.519638,12,5.955,6,51583
0,4000,54,11000,0.519638,12,5.98,6,54081
0,4000,56,11400,0.519638,12,5.93,5,56494
0,4000,58,11800,0.519638,12,6.055,5,58949
0,4000,60,12200,0.519638,12,6.015,5,61497
0,4000,62,12600,0.519638,12,6.13,6,63979
0,4000,64,13000,0.443516,17,6.23,6,66568
0,4000,66,13400,0.443516,17,6.24,6,69118
0,4000,68,13800,0.443516,17,5.47,5,71499
0,4000,70,14200,0.440283,15,5.735,5,74007
0,4000,72,14600,0.440283,15,5.83,5,76471
0,4000,74,15000,0.440283,15,5.96,5,78782
0,4000,76,15400,0.440283,15,3.495,3,80705
0,4000,78,15800,0.440283,15,3.575,3,82165
0,4000,80,16200,0.440283,15,3.635,3,83714
0,4000,82,16600,0.440283,15,3.68,3,85280
0,4000,84,17000,0.440283,15,3.785,4,86823
0,4000,86,17400,0.439477,16,3.975,4,88543
