run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.440283,0.405987,0.401297,0.914675,15,7,20000,99,100785,0.736622,1.18201,0.830256,sin((log((exp(cos(x1)) * (log(x0) / (log(x0) * x0)))) * -0.637))
1,4001,0.267515,0.276396,0.257866,0.291556,24,7,20000,99,109037,0.808158,0.993508,0.154928,log(((x1 * (x0 * exp(sin(log(x1))))) * ((sin(log(x0)) + exp(log((x0 + x0)))) * exp(sin(log(x1))))))
2,4002,0.433484,0.401729,0.371753,0.314826,4,2,20000,99,51971,0.617787,1.19838,0.290633,log((x0 * x1))
3,4003,0.273501,0.262574,0.248397,1.62625,7,3,20000,99,72245,0.662092,2.48639,-0.446688,exp(cos(x1)) + exp(cos(x0))
4,4004,0.308628,0.339724,0.308752,1.34205,7,3,20000,99,85457,0.699527,1.80883,0.48792,sin(log(x1)) - exp(cos(x0))
5,4005,0.337762,0.360751,0.336549,0.27325,16,8,20000,99,70690,0.671153,1.20769,0.12034,log(((((log((x0 * x1)) * x0) * x1) * x0) * x1)) - cos(x1)
6,4006,0.38057,0.39583,0.396265,0.355158,6,3,20000,99,69914,0.647843,1.15926,0.317828,log((-0.032 + (x0 * x1)))
7,4007,0.339372,0.384387,0.379341,0.292262,7,4,20000,99,74002,0.663733,1.11278,-0.928269,sin((-0.452 * log((x1 * x0))))
8,4008,0.384679,0.380163,0.430615,0.360087,11,5,20000,99,63248,0.656886,0.922452,0.322621,log((x1 * (((x0 + x0) - exp(-0.945)) - -0.681)))
9,4009,0.317381,0.292162,0.280131,0.354219,12,5,20000,99,79647,0.702631,1.16315,-0.202922,(cos(x1) - (sin(log(x0)) + log(x0))) - log(x1)
10,4010,0.433484,0.401729,0.371753,0.314826,4,2,20000,99,57412,0.648721,1.19838,0.290633,log((x1 * x0))
11,4011,0.281334,0.27047,0.253822,1.60648,10,4,20000,99,81944,0.687949,1.59289,0.471329,cos(cos(x0)) - (exp(cos(x1)) + cos(x0))
12,4012,0.383078,0.387321,0.400532,0.413699,10,4,20000,99,68641,0.678444,1.21166,0.171141,log(((x1 * (x0 * x1)) / exp(cos(x0))))
13,4013,0.433484,0.401729,0.371753,0.314826,4,2,20000,99,77090,0.707371,1.19838,0.290633,log((x1 * x0))
14,4014,0.311197,0.29514,0.320116,0.37394,19,6,20000,99,92481,0.74348,0.414248,-0.205358,(cos(x1) - log((log(exp(x0)) / (0.059 / x1)))) - log(log((x0 / (0.059 / x0))))
15,4015,0.433484,0.401729,0.371753,0.314826,4,2,20000,99,78513,0.702524,1.19838,0.290633,log((x1 * x0))
16,4016,0.376004,0.386519,0.421266,1.16194,10,6,20000,99,76540,0.67345,1.20315,0.752487,sin((sin(log((sin(-0.216) + x1))) - cos(x0)))
17,4017,0.364751,0.371451,0.335662,0.37825,13,7,20000,99,56855,0.649091,1.19072,0.133444,log(((x1 * ((x1 * log((x1 * x0))) * x0)) * x0))
18,4018,0.323871,0.376373,0.338156,0.328967,17,5,20000,99,66760,0.669204,1.94392,-1.20167,exp((((-0.322 * -0.132) + (sin(-0.561) * x0)) * ((x1 * x0) * (x1 * 0.229))))
19,4019,0.433484,0.401729,0.371753,0.314826,6,4,20000,99,55142,0.649713,1.19838,0.290633,log((x1 * exp(log(x0))))
20,4020,0.273501,0.262574,0.248397,1.62625,7,3,20000,99,65460,0.659002,2.48639,-0.446688,exp(cos(x0)) + exp(cos(x1))
21,4021,0.213644,0.197484,0.196329,0.227383,23,6,20000,99,93760,0.767641,1.04061,0.167627,sin(sin(log(x1))) + (sin(log((x0 * x0))) + (sin(log(x0)) + (sin(log(x1)) + log((x1 * x0)))))
22,4022,0.341477,0.365871,0.347154,0.329749,15,6,20000,99,68132,0.666808,1.13512,0.142171,log((x1 * (exp(sin(log(x1))) * ((x1 * (x0 - 0.345)) * x0))))
23,4023,0.208151,0.179246,0.208046,1.71618,14,7,20000,99,105119,0.761016,2.1515,-0.434014,exp(cos(x0)) - (sin(exp(cos(exp(cos(x0))))) - exp(cos(x1)))
24,4024,0.339488,0.31743,0.30489,1.03378,7,4,20000,99,72983,0.665918,1.18793,-0.784898,sin((cos(x1) - sin(log(x0))))
25,4025,0.308628,0.339724,0.308752,1.34205,7,3,20000,99,68693,0.666167,1.80883,-0.48792,exp(cos(x0)) - sin(log(x1))
26,4026,0.255492,0.223886,0.256571,0.100253,10,5,20000,99,79052,0.695196,0.955587,0.692397,sin(sin(sin(log(x0)))) + sin(sin(log(x1)))
27,4027,0.292159,0.356974,0.308007,0.302818,25,10,20000,99,109035,0.806114,0.938741,0.03745,log((((exp(log((exp(((x0 * x1) * (x0 * x1))) * x0))) * (x1 * x0)) * (x0 * (x1 * x0))) * x1))
28,4028,0.308628,0.339724,0.308752,1.34205,7,3,20000,99,69166,0.657182,1.80883,-0.48792,exp(cos(x0)) - sin(log(x1))
29,4029,0.308628,0.339724,0.308752,1.34205,7,3,20000,99,72184,0.675772,1.80883,0.48792,sin(log(x1)) - exp(cos(x0))
