run,seed,gen,evals,best_train,best_size,mean_size,median_size,nodes
0,4000,0,200,0.702007,5,11.27,8,2254
0,4000,2,596,0.433484,7,6.355,5,5137
0,4000,4,992,0.379101,9,5.58,5,7340
0,4000,6,1388,0.371152,14,9,8,10563
0,4000,8,1784,0.300926,21,10.92,10,14702
0,4000,10,2180,0.263677,28,14.805,13,20015
0,4000,12,2576,0.234747,28,21.11,21,27535
0,4000,14,2972,0.234747,28,29.04,28,38375
0,4000,16,3368,0.234747,28,31.845,30,50670
0,4000,18,3764,0.218521,34,34.94,32,64046
0,4000,20,4160,0.19486,62,35.565,34,78339
0,4000,22,4556,0.181665,57,42.21,41,94327
0,4000,24,4952,0.181665,57,51.025,54,113751
0,4000,26,5348,0.179927,53,53.625,56,135244
0,4000,28,5744,0.174919,45,50.94,53,155658
0,4000,30,6140,0.174919,45,48.715,48,175116
0,4000,32,6536,0.171253,79,49.94,48,194517
0,4000,34,6932,0.174919,45,47.63,47,213766
0,4000,36,7328,0.174919,45,44.765,45,231724
0,4000,38,7724,0.173347,54,43.55,44,249246
0,4000,40,8120,0.171485,43,42.635,43,266569
0,4000,42,8516,0.156941,56,43.37,42,283798
0,4000,44,8912,0.156941,56,45.05,44,301407
0,4000,46,9308,0.157848,53,48.785,50,320461
0,4000,48,9704,0.154778,53,52.425,54,340912
0,4000,50,10100,0.153475,55,52.965,54,361984
0,4000,52,10496,0.154789,55,51.425,52,382775
0,4000,54,10892,0.149469,58,50.485,52,403017
0,4000,56,11288,0.145542,67,53.335,53,424065
0,4000,58,11684,0.145542,67,53.505,52,445449
0,4000,60,12080,0.145542,67,53.145,52,466243
0,4000,62,12476,0.14516,66,53.515,52,486915
0,4000,64,12872,0.144235,71,53.96,56,508173
0,4000,66,13268,0.144037,68,54.41,55,530144
0,4000,68,13664,0.144405,65,52.375,53.5,551259
0,4000,70,14060,0.148282,64,52.62,51,572137
0,4000,72,14456,0.143395,89,53.605,54,593495
0,4000,74,14852,0.14402,57,53.035,53.5,614624
0,4000,76,15248,0.144527,56,51.015,50,634995
0,4000,78,15644,0.152818,47,53.415,54,655710
0,4000,80,16040,0.149064,97,51.685,50.5,676488
0,4000,82,16436,0.150534,55,50.105,49.5,696945
0,4000,84,16832,0.150534,55,49.925,50,716769
0,4000,86,17228,0.151235,63,50.615,49,737149
0,4000,88,17624,0.147282,90,49.6,49,756893
0,4000,90,18020,0.148157,95,49.96,49,776441
0,4000,92,18416,0.139048,84,49.52,48,795991
0,4000,94,18812,0.144644,84,51.515,50,816080
0,4000,96,19208,0.150912,49,49.395,49,835910
0,4000,98,19604,0.150912,49,46.735,48,854892
0,4000,100,20000,0.151099,51,50.155,49,874370
1,4001,0,200,0.688135,9,12.98,9,2596
1,4001,2,596,0.410737,8,6.055,5,5396
1,4001,4,992,0.410737,8,7.825,6,8321
1,4001,6,1388,0.38451,12,8.23,8,11521
