run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.15178,0.134254,0.131558,0.234559,57,11,20000,100,874370,5.51253,1.30322,0.130042,sin(log((log((x0 + x0)) * (x0 + x0)))) + (sin(log((log((x0 + x0)) * (x0 + x0)))) + (sin(sin(log(x1))) + (sin(sin(sin(sin(sin(log((-0.496 * x0))))))) + ((sin(log((-0.496 * x0))) - exp(cos(x1))) + (sin(sin(sin(log(x1)))) + log((x1 * x0)))))))
1,4001,0.302967,0.291817,0.280637,0.295158,42,14,20000,100,634637,1.87709,0.906859,0.0349114,log((((((((((x1 * (x1 * x1)) * x0) * exp((((x1 * (sin(x1) + x1)) * x0) * x0))) * log((x1 + x1))) * x0) * log((cos(log(x1)) * (x1 + x1)))) * x0) * x0) * x1))
2,4002,0.134932,0.114228,0.119672,0.0872495,43,10,20000,100,748950,4.00164,0.902427,0.157043,((log(x1) + sin(log((x0 + x0)))) + sin(log((sin(sin((-0.161 * 0.848))) + x0)))) + ((sin((log(x1) + sin(sin(sin(sin(log(x1))))))) + sin(sin(log(x0)))) * exp(cos(sin(sin(sin(sin(log(x1))))))))
3,4003,0.121879,0.130753,0.130176,0.491974,69,15,20000,100,951485,4.17927,0.565196,-0.202935,exp(cos(x0)) - (log((log(x0) - exp((log(x0) + (cos(cos((cos(cos((cos(-0.79) + log(x1)))) + log(x1)))) + (cos(cos((cos(cos((cos(-0.79) + log(x1)))) + log(x1)))) + (cos(cos(x0)) + (cos(cos(log((x0 + x0)))) + sin(log(x1)))))))))) + (cos(cos((cos((cos(x0) * sin((x1 / 0.645)))) + log(x1)))) + log(x1)))
4,4004,0.10505,0.102146,0.0949659,1.12597,53,11,20000,100,875838,4.22417,2.02556,0.188061,(((sin(exp(cos(exp(cos(x0))))) - exp(cos(x0))) - log(cos((x0 * -0.226)))) - exp(sin(cos(x1)))) + (((((sin(exp(cos(exp(cos(x1))))) + cos(x0)) + (sin(log(x1)) - exp(cos(x0)))) - exp(cos(x0))) - exp(sin(cos(x1)))) + sin(exp(cos(x1))))
5,4005,0.234669,0.194891,0.255884,0.442578,65,16,20000,100,782850,2.05444,1.20652,0.109519,(log(((log((x1 * x0)) * (x0 * x1)) * (log((log((((((x0 * x1) * x0) * (log((((x0 * x0) * (x0 / 0.607)) * x1)) * (x1 / -0.824))) * (log(((x0 * x0) * (x0 / 0.607))) * (x1 / -0.824))) * x1)) * x1)) * (x0 * x1)))) - cos(((x1 / -0.824) / -0.824))) - cos((x0 / -0.747))
6,4006,0.14562,0.138082,0.136784,0.857894,62,17,20000,100,750543,2.17575,1.29403,0.0933131,((((((((((log(((log((x0 * exp(0.566))) * log((x1 + x1))) * (exp(0.667) * (x0 * x1)))) - cos(x0)) - cos(cos(x1))) - cos((x0 * exp(0.633)))) - cos(x1)) - cos((x1 + x1))) - cos(x0)) - cos(x1)) - cos((x0 * exp(0.633)))) - cos(x1)) - cos((x1 + x1))) - cos(x0)
7,4007,0.102703,0.0923649,0.111103,0.100158,56,12,20000,100,844517,3.12079,0.838895,0.135981,(sin(log((0.044 + x0))) + (log((((x0 * exp(sin((sin(log(x1)) + log(x1))))) * exp(sin(log((x0 * (0.044 + x0)))))) * x1)) + exp(sin((sin(log((0.044 + x0))) + sin(sin(log(x1)))))))) + sin((log(x1) + sin(sin(sin(sin((sin(log(x1)) + log(x1))))))))
8,4008,0.130601,0.0905901,0.0843199,0.118961,44,9,20000,100,789986,2.66723,0.997737,0.135993,(sin(log(x0)) + sin((log(x1) + sin(log(x1))))) + ((((log((x0 * x1)) + sin(log((x0 * x0)))) + sin(sin((sin(log(x0)) + sin(log(x0)))))) + sin(log(x1))) + sin((log(x1) + sin(log(x1)))))
9,4009,0.204202,0.195208,0.186446,0.719869,50,13,20000,100,979331,3.51862,0.916733,-0.112499,((cos(x1) + log(((cos(x1) / x0) / ((0.471 / x0) + log(exp(x0)))))) + log((0.471 / (x0 * x1)))) + (cos(x1) + (cos(x1) + log(((log(x0) + log(log(log(0.596)))) / (log(x0) + cos(cos(log(cos(log(cos(log(x0))))))))))))
10,4010,0.0708328,0.0734468,0.0706085,0.124301,57,12,20000,100,963448,3.7379,0.947942,0.161079,(log(x1) + ((sin((sin(log(x1)) + log(x1))) + sin(log(x0))) - cos(0.314))) + (sin(sin(((sin(log(x0)) + log(x0)) + log(x0)))) + (log(x0) + (sin((sin(log(x1)) + sin((log(x1) + sin((log(x1) + sin(log(x1)))))))) + exp(log((log(x0) - log(0.314)))))))
11,4011,0.118294,0.0782967,0.0792646,0.433473,58,13,20000,100,827793,5.26926,0.657048,-0.1752,cos(x0) - (((cos(cos(sin(sin(sin(log(x0)))))) + (cos(cos(x0)) + (cos(cos(x0)) + sin(sin((sin((sin(log(x1)) + log(x1))) + log(x1))))))) + sin((sin(log(x1)) + log(x1)))) + (sin(log(x0)) + (sin((sin(sin(sin(sin(log(x0))))) + sin(log(x0)))) + log(x1))))
12,4012,0.2685,0.231003,0.236072,0.843241,46,15,20000,100,524448,2.42436,1.12964,1.88362,sin((sin(cos(cos((cos(exp(cos(x0))) - cos(x1))))) * sin((sin(cos(cos((cos(exp(cos(x0))) - cos(x1))))) * sin(sin((sin(cos(cos(x1))) * (sin(cos(cos(sin((exp(cos(x0)) - cos(x1)))))) * log((x1 * x0))))))))))
13,4013,0.316645,0.332952,0.375324,0.374651,37,12,20000,100,623273,2.87737,0.988593,0.306278,log(((cos(sin(sin((cos(cos(((x0 * x1) * log((x0 * x1))))) / x1)))) + ((x0 * x1) - sin((x0 * x1)))) + ((x0 * x1) - cos(cos(cos(exp((x0 * x1))))))))
14,4014,0.171759,0.0980759,0.11897,1.15412,58,11,20000,100,752131,3.60098,2.09953,0.155512,(((x0 / x0) + cos(x1)) + (cos(x1) - ((exp(((x0 / x0) + cos(x1))) - sin((log(x0) + sin(log(x0))))) - cos(x1)))) - ((exp(((x0 / x0) + cos(x1))) - sin((sin((log(x0) + sin((sin(log(x0)) + log((x0 / x0)))))) + sin(log(x0))))) - log(x0))
15,4015,0.223045,0.226561,0.183464,0.274825,74,17,20000,100,875504,3.54868,1.18966,0.0674524,log((0.509 + log(x0))) + log((((x1 * (0.92 * (((x0 / log((x1 * log(x1)))) * log(log((0.509 + log(x0))))) * (((x1 * ((x0 / cos(0.805)) * log((sin(x1) + x1)))) * log(((x0 / cos(log((((x1 + x1) / -0.8) * (sin(x1) + x1))))) * (x1 + x1)))) * ((x1 * x0) * log((x1 + x1))))))) * x0) * log((x1 * x0))))
16,4016,0.167841,0.167157,0.161703,0.233445,52,11,20000,100,831947,3.24443,1.09777,0.153922,sin(sin(log(((log(x0) - (sin(exp(sin(x0))) - exp(sin(log(x0))))) * x0)))) + (log((x1 * x0)) + (log(((log(x0) - (log(cos(x1)) - exp(sin(sin(log(x0)))))) * sin(exp(sin(sin(sin(log(x0)))))))) - (cos(x1) - sin(sin(log(x1))))))
17,4017,0.140905,0.115187,0.14534,1.27261,37,11,20000,100,711279,2.75328,3.71541,-0.41047,log(((exp(exp(cos(x0))) / (((exp(cos(cos(x0))) / exp(exp(cos(x1)))) / exp(exp(cos(x1)))) * 0.16)) / (exp(cos(x1)) / exp(cos((x0 / exp(exp(cos(exp(cos(x0)))))))))))
18,4018,0.250313,0.169677,0.191255,0.635055,57,13,20000,100,910342,3.44773,1.97791,-0.256871,(exp(cos(exp(log(x1)))) + exp(sin(-0.621))) + ((((log(x0) + log(x1)) + exp(cos(x0))) + cos(((cos(cos((cos(cos(log(x0))) + cos(cos(exp(log(x1))))))) + exp(sin(-0.621))) + (cos(x1) + exp(cos((cos(cos(x1)) + log(x1)))))))) + ((log(x0) + log(x1)) / -0.621))
19,4019,0.341087,0.320817,0.293075,0.373642,70,13,20000,100,656464,1.54069,1.10276,0.0473086,log(((((log((log(((log((x1 / -0.379)) * (x1 * x0)) * (x1 * x0))) * x0)) * (x1 * x0)) * (log((x1 / -0.379)) * (x1 * x0))) * (((log((log(((log((x1 / -0.429)) * (x1 * x0)) * (x1 * (x1 * x0)))) * x0)) * (x1 * x0)) * (log((x1 / -0.379)) * (x1 * x0))) * (x1 * x0))) * (x1 * x0)))
20,4020,0.096901,0.100779,0.100997,1.39689,48,13,20000,100,873238,3.48212,2.00047,-0.0479915,log((exp((exp(exp(cos(x0))) * exp(cos(x0)))) * exp(((((exp(exp(cos(x1))) - log(x0)) - log(((x1 * log(x0)) / sin(0.525)))) - exp(cos(x0))) + log((cos(exp(cos(x0))) * exp(exp(exp(cos((cos(sin(0.525)) * x1)))))))))))
