run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
0,4000,0.269555,0.327847,0.291483,0.321011,44,16,20000,146,284478,1.04971,3.31097,-1.82446,exp(sin((sin(sin(sin(sin(sin(sin(sin(sin(((log((x1 * (x0 * -0.384))) * cos((x1 / x1))) * -0.614))))))))) * cos(sin(sin(sin(((log((x1 * log((x1 * (x0 * -0.384))))) * cos((x1 - x1))) * -0.614))))))))
1,4001,0.261762,0.28624,0.273871,0.266818,71,12,20000,142,1226343,4.34913,1.14262,0.0756394,log((((x0 * x1) * ((((0.652 + log(x1)) * (x1 * (x0 / (log(x0) + cos(x1))))) * (0.652 + log(x0))) * (x0 * x1))) * log((log(((x1 * x0) * (((x0 * -0.218) * (x0 * x1)) * ((x1 * x0) * log((x0 / (log(x0) + cos(x1)))))))) * ((x1 * x0) * (0.652 + ((x1 * x0) * (log(x0) + cos(x1)))))))))
2,4002,0.228347,0.22365,0.232338,0.520229,141,16,20000,140,946283,3.28969,0.839916,0.0821843,log(((x0 + 0.089) * (((((x0 + (x0 + sin(-0.859))) * log((sin(x1) + x1))) * (((cos((0.089 * x1)) + (((0.089 * (x0 + ((x0 + (x0 + -0.97)) * (x0 + sin(-0.859))))) + 0.183) * log((x1 + x1)))) + ((x0 + (x0 + ((((x0 + x0) * log((sin(x1) + x1))) + (x0 + -0.97)) + ((log((x0 + 0.183)) * log(((x0 + 0.089) + 0.183))) + log(log(0.089)))))) * log((x1 + x1)))) * (((x0 + (((-0.859 * log(((x0 + 0.089) + 0.183))) + (x0 + (x0 + sin(-0.859)))) + (x0 + sin(x1)))) * (((x0 + 0.089) + 0.183) * x1)) * (x1 + x1)))) * cos((0.089 * (x0 + ((x0 + (x0 + sin(-0.859))) * log(((x0 + 0.089) + 0.183))))))) * (0.089 + x1))))
3,4003,0.157232,0.143044,0.1714,1.33722,79,17,20000,139,987723,3.6323,2.37677,-0.139428,((exp(cos(x0)) - log((0.399 + log(x1)))) - ((cos(log(x1)) - (exp(cos((0.399 + (0.465 + log(x1))))) + (exp(cos(cos(exp(cos(log(x1)))))) - ((cos(log(x1)) - (exp(cos(cos(exp(cos(log(exp(cos(x0)))))))) + (exp(cos(x0)) - (0.399 + (0.465 + log(x1)))))) + cos(cos(x0)))))) - exp(cos(x0)))) - ((cos(cos(x1)) - (exp(cos(x0)) + cos(x1))) + log(exp(cos(x0))))
4,4004,0.185601,0.170475,0.167015,1.33459,28,10,20000,138,344592,1.30407,2.18003,0.402543,(sin(sin(sin(sin(sin(sin(sin(log(x1)))))))) - exp(cos(x0))) + ((cos(x0) - exp(cos(x0))) + sin(sin(sin(log((x1 + -0.09))))))
5,4005,0.246649,0.288537,0.257375,0.3332,84,16,20000,146,1150958,2.66265,0.982281,0.0701109,log((x0 * (((x0 * x1) * log((exp((x0 * ((x0 * x1) * x1))) * x1))) * ((((x0 * x1) * log(((((log((x0 * x1)) * x1) * log((((log((x0 * x1)) * x1) * x1) * x1))) * log((x0 * (x0 * x1)))) * x1))) * log((((x0 * (x0 + x0)) * log((x0 * ((x0 * (x0 * x1)) * (x0 * log(((x1 / x1) - (x0 + x0)))))))) * (x0 * x1)))) * x1))))
6,4006,0.227549,0.241798,0.23283,0.235391,63,11,20000,136,866711,2.78596,1.07375,0.140056,log(((((cos(cos((cos(log(x1)) / (-0.311 * x0)))) * (x0 * x1)) * (cos(cos((cos(cos(-0.807)) / (-0.311 * x0)))) + log(x1))) * (cos(cos((cos(cos(cos(cos(-0.807)))) / (-0.311 * x0)))) + log(x0))) * (cos((cos(cos(-0.807)) / log(x1))) + log((cos(-0.807) * exp((x0 * ((x0 * x1) * x1))))))))
7,4007,0.122194,0.0808348,0.0803831,0.100689,69,14,20000,136,724883,2.73141,1.00279,0.128873,(sin(log(x0)) + ((sin((sin(sin(log(x0))) + sin(sin((sin(sin(log(x0))) + (sin(sin(log(x0))) + sin(sin(log(x0))))))))) + sin((sin(log(x1)) + sin((sin(sin(sin((sin(log(x1)) + log(x1))))) + sin(log(x1))))))) + ((sin((sin(log(x1)) + log(x1))) + sin(log((x0 * x0)))) + log((x0 * x1))))) + sin(log(x1))
8,4008,0.231771,0.190701,0.220944,0.0408526,20,10,20000,136,249855,0.692721,0.957034,0.966867,sin(sin(sin(sin(sin(sin(sin(sin(log(x0))))))))) + sin(sin(sin(sin(sin(sin(sin(log(x1))))))))
9,4009,0.224737,0.292347,0.23704,0.305172,120,17,20000,148,617978,1.81642,-0.118665,0.55979,log((log(((exp(log((x1 / sin((x1 / x0))))) + exp(exp(log(((0.185 + ((x1 * x0) + (x0 * x1))) + (x1 * x0)))))) + exp(((x1 + -0.73) + (x1 * x0))))) + (0.185 + exp(log(exp(log(log(((exp(log((x1 / sin(sin((x1 / x0)))))) + exp(exp(log(((0.185 + ((x1 * x0) + (x0 * x1))) + (x1 * x0)))))) + exp((log((x1 / sin((x1 / x0)))) + (((((cos(x1) + (x1 * x0)) + (x1 * x0)) / (cos(x1) + (x0 + x1))) + ((cos((x1 + -0.73)) / (cos(x1) + (x0 + x1))) + (x1 / (cos(x1) + (x0 + x1))))) * x0))))))))))))
10,4010,0.164832,0.181917,0.16067,1.24073,118,13,20000,133,1279615,4.09839,1.90938,0.0747427,(((cos(x1) + cos(x0)) - (exp(log(cos(x0))) + (cos(x0) - -0.019))) + ((((-0.019 - exp(cos(x0))) - cos(sin(x1))) + (-0.019 - exp(cos(x1)))) - (cos(x1) + cos(x0)))) + (((((log(log((x1 * x0))) - cos(x0)) - (cos(log(cos(x0))) + cos((x0 + -0.019)))) + ((log(cos(log(cos(0.021)))) + (((cos(x1) + cos(x0)) - (exp(log(cos(x0))) + cos(x1))) + (((log((x1 * (x0 + -0.019))) - cos(-0.019)) + (-0.019 - exp(cos(x0)))) - cos(x1)))) - (cos(x1) + (cos(x1) + exp(cos(x0)))))) - (cos(x1) + log(log((x1 * x0))))) - log(cos(x1)))
11,4011,0.2798,0.223309,0.241062,1.20637,7,3,20000,134,113537,0.841215,1.81319,0.503253,sin(log(x0)) - exp(cos(x1))
12,4012,0.192703,0.153118,0.160014,0.699496,56,17,20000,141,510389,3.53649,1.10157,0.12678,((((log(((x0 * exp(sin(sin(log((exp(sin(sin(log(x1)))) * x1)))))) * x1)) - cos(x0)) - log(cos(x0))) - cos(x0)) - cos(exp(sin(log((exp(sin(log((exp(sin(log(x1))) * x1)))) * x1)))))) - cos(exp(sin(log((exp(sin(sin(log((x0 * x0))))) * x1)))))
13,4013,0.230213,0.17806,0.183475,0.457452,17,10,20000,131,152172,0.692974,1.74307,-0.534269,exp(sin(sin((sin(cos(x1)) - sin(sin(sin(sin(log(x1))))))))) - sin(log(x0))
14,4014,0.129416,0.125797,0.135965,1.63358,29,7,20000,133,418797,2.36802,2.26136,-0.0855091,exp(cos(log(x0))) + (((exp(exp(cos(x0))) - exp(cos(cos(x0)))) + (exp(cos(log(x1))) - cos(cos(log(x0))))) + exp(exp(cos(x1))))
15,4015,0.231771,0.190701,0.220944,0.0408526,20,10,20000,138,226835,0.947184,0.957034,0.966867,sin(sin(sin(sin(sin(sin(sin(sin(log(x0))))))))) + sin(sin(sin(sin(sin(sin(sin(log(x1))))))))
16,4016,0.104009,0.0684856,0.0748909,0.0467818,44,17,20000,139,383268,1.73176,0.985038,1.23963,sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin((log(x0) * (-0.909 * -0.909)))))))))))))))) + sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(sin(((log(x1) * (-0.909 * -0.909)) * (-0.909 * -0.909)))))))))))))))
17,4017,0.255888,0.297306,0.253705,0.351768,151,17,20000,142,1308813,3.97296,1.07495,0.0664303,log(((x1 * x0) * ((log(((((x1 + x1) + (x0 - x0)) * (cos(0.833) * x1)) * (log(((x1 * (log(((x1 * x0) * x0)) * x0)) * ((x1 * (log(((x0 * x0) * x0)) * x0)) * x0))) * x1))) * (x1 * x0)) * (((log(((sin((0.911 / x0)) / cos(((x1 * x0) * x0))) * (log((((((x1 * (x1 * x0)) * x0) * (log(sin(sin(0.507))) * x0)) * x0) * exp(x0))) * (x1 * x0)))) * (x1 * x0)) * log((log((x1 * (log(((x1 * x0) * x0)) * x0))) * (log(((x1 * x0) * (((x1 / (log(sin(sin(0.507))) * x0)) * x0) * (x1 * x0)))) * (x1 * x0))))) * log((x1 * (log((((x1 * (log(sin(sin(0.507))) * (x0 * x0))) * x0) * (x1 * x0))) * x0)))))))
